
[00:00:00.000 --> 00:00:04.600]  不知大家想起過去年輕時代
[00:18:05.240 --> 00:18:07.640]  我會有很大的阻力在當中
[00:18:07.640 --> 00:18:11.200]  因為我很擔心我當中會失去朋友
[00:18:11.200 --> 00:18:14.720]  這就是人面對的困難
[00:18:14.720 --> 00:18:17.520]  甚至更大的困難是甚麼
[00:18:17.520 --> 00:18:20.200]  你的心會被塑造
[00:18:20.200 --> 00:18:23.880]  這個世界會不斷塑造你的心去想甚麼
[00:18:25.520 --> 00:18:28.960]  當我們的心慢慢塑造的時候
[00:18:28.960 --> 00:18:31.120]  有時我們很明知道
[00:18:31.120 --> 00:18:32.840]  我們應該做甚麼的時候
[00:18:32.840 --> 00:18:34.400]  我們卻做不到
[00:18:34.400 --> 00:18:35.560]  我舉個例子給大家聽
[00:18:35.560 --> 00:18:38.000]  用我的故事告訴大家
[00:18:38.000 --> 00:18:41.640]  可能大家都知道我爸爸是誰
[00:18:41.640 --> 00:18:43.680]  就是蘇牧師
[00:18:43.680 --> 00:18:48.440]  我爸爸在我心裡有一個形象
[00:18:48.440 --> 00:18:50.400]  我小時候真的當他是英雄
[00:18:50.400 --> 00:18:53.760]  很厲害,我會覺得他很無敵
[00:18:53.840 --> 00:18:56.480]  小時候看見他有田徑、游泳
[00:18:56.480 --> 00:18:57.960]  籃球、足球校隊
[00:18:57.960 --> 00:18:59.800]  想不明白是怎樣發生的
[00:18:59.800 --> 00:19:02.800]  然後有甚麼自學小提琴、八級
[00:19:02.800 --> 00:19:05.680]  總之我覺得很多東西
[00:19:05.680 --> 00:19:07.040]  這個爸爸真的很厲害
[00:19:07.040 --> 00:19:08.280]  我很羨慕他
[00:19:08.280 --> 00:19:10.800]  家裡的獎牌是整個盒子裝著的
[00:19:10.800 --> 00:19:12.080]  我一直看見就說
[00:19:12.080 --> 00:19:15.960]  我將來也很想成為一個很厲害的人
[00:19:15.960 --> 00:19:18.640]  還要適逢我還有一個妹妹
[00:19:18.640 --> 00:19:21.560]  我的妹妹也是很厲害,真的無敵
[00:19:21.640 --> 00:19:24.120]  小學的時候,由小一至小五
[00:19:24.120 --> 00:19:25.480]  都是全級第一
[00:19:25.480 --> 00:19:28.680]  小六就比較慘,全級第二
[00:19:28.680 --> 00:19:32.920]  但這個妹妹,我從小到大都覺得
[00:19:32.920 --> 00:19:35.280]  我挺羨慕她
[00:19:35.280 --> 00:19:37.320]  小學的時候,我還會說
[00:19:37.320 --> 00:19:40.800]  「她五千,我二千,沒關係」
[00:19:40.800 --> 00:19:44.000]  到了中學,當我正在尋找自己
[00:19:44.000 --> 00:19:45.160]  我發覺自己很沮喪
[00:19:45.160 --> 00:19:46.280]  好像無論如何都找不到
[00:19:46.280 --> 00:19:48.720]  究竟觀察者是怎樣的人
[00:19:48.720 --> 00:19:50.920]  你擅長甚麼
[00:19:51.000 --> 00:19:52.400]  我都會問這些問題
[00:19:52.400 --> 00:19:54.480]  甚至小時候有時我都會問一個問題
[00:19:54.480 --> 00:19:56.720]  「其實我是否領養回來的」
[00:19:56.720 --> 00:19:58.720]  「其實沒有人告訴我」
[00:19:58.720 --> 00:20:01.840]  可能我都會有這些問題在腦裡發生
[00:20:01.840 --> 00:20:05.040]  我很希望可以做到一些事情
[00:20:05.040 --> 00:20:06.160]  可以去成就
[00:20:06.160 --> 00:20:09.240]  可以讓人看見我,覺得自己有價值
[00:20:09.240 --> 00:20:11.680]  所以我去到…
[00:20:11.680 --> 00:20:13.200]  即使我追不到也更好
[00:20:13.200 --> 00:20:15.600]  但當我發現我以為自己追到
[00:20:15.600 --> 00:20:16.920]  問題就來了
[00:20:16.920 --> 00:20:19.640]  因為我去到美國時,我讀大學
[00:20:19.720 --> 00:20:21.560]  突然之間,不知為何
[00:20:21.560 --> 00:20:25.400]  我進了一間全美國首12的工程學校
[00:20:25.400 --> 00:20:28.320]  我突然覺得原來這些東西是可以追的
[00:20:28.320 --> 00:20:29.080]  當我努力一點
[00:20:29.080 --> 00:20:32.240]  可能我進了MIT也不止
[00:20:32.240 --> 00:20:34.920]  所以當時我設定了一個目標給自己
[00:20:34.920 --> 00:20:37.640]  我很想努力可以進入MIT
[00:20:37.640 --> 00:20:40.240]  可以做機械人設計師
[00:20:40.240 --> 00:20:42.760]  我還給了很多原因的夢想
[00:20:42.760 --> 00:20:45.320]  「911」倒塌了
[00:20:45.320 --> 00:20:47.560]  如果有機械人去救人就好了
[00:20:47.640 --> 00:20:50.320]  很理想地去說
[00:20:50.320 --> 00:20:52.000]  但其實我心裡知道
[00:20:52.000 --> 00:20:55.040]  我也很想別人覺得我厲害
[00:20:55.040 --> 00:20:58.000]  但有些事情不是你努力就可以的
[00:20:58.000 --> 00:21:01.160]  MIT不是你努力就能入讀,對吧
[00:21:01.160 --> 00:21:03.560]  我慢慢發覺,其實我一直讀書時
[00:21:03.560 --> 00:21:04.440]  我的成績…
[00:21:04.440 --> 00:21:06.840]  即使我有時拼了很大的努力
[00:21:06.840 --> 00:21:08.120]  頭部分可能是A
[00:21:08.120 --> 00:21:10.640]  然後突然去到最後,變成了C
[00:21:10.640 --> 00:21:12.640]  很不明白,很痛苦
[00:21:12.640 --> 00:21:15.680]  然後我就不斷去想如何處理
[00:21:15.680 --> 00:21:17.320]  我要努力讀書,對吧
[00:21:17.400 --> 00:21:19.200]  這樣解決的問題,對吧
[00:21:19.200 --> 00:21:22.000]  你的成績不好,努力讀書便解決方法
[00:21:22.000 --> 00:21:23.240]  通常都是這樣想
[00:21:23.240 --> 00:21:25.760]  所以我不斷去催谷自己
[00:21:25.760 --> 00:21:27.040]  不斷喝咖啡
[00:21:27.040 --> 00:21:29.640]  當時我可以一天喝10杯咖啡
[00:21:29.640 --> 00:21:32.000]  然後喝咖啡喝到咖啡沒用
[00:21:32.000 --> 00:21:35.640]  我開始去找一些咖啡丸
[00:21:35.640 --> 00:21:37.080]  幫自己不斷提神
[00:21:37.080 --> 00:21:40.600]  可以整個月都是4時才睡覺
[00:21:40.600 --> 00:21:42.840]  我覺得我開始去追求這件事
[00:21:42.840 --> 00:21:45.840]  只要我努力,我便可以達到一個目標
[00:21:45.920 --> 00:21:47.920]  我便可以入讀MIT
[00:21:47.920 --> 00:21:50.560]  但始終真的沒辦法
[00:21:50.560 --> 00:21:52.280]  因為有些人是無法比拚的
[00:21:52.280 --> 00:21:55.200]  我慢慢發覺原來我的同學也是這樣想
[00:21:55.200 --> 00:21:56.960]  甚至他們更厲害
[00:21:56.960 --> 00:21:58.760]  他們簡直是吸毒,你知道嗎
[00:21:58.760 --> 00:22:02.240]  我的同學當時讀書讀到一個程度
[00:22:02.240 --> 00:22:04.680]  他們在吸一些類似冰毒的物體
[00:22:04.680 --> 00:22:07.600]  令他們整個星期只睡7小時
[00:22:07.600 --> 00:22:09.120]  他們可以背誦整本書
[00:22:09.120 --> 00:22:11.080]  然後考取A
[00:22:11.160 --> 00:22:16.520]  很不公平的一件事,我這個牧師仔
[00:22:16.520 --> 00:22:18.440]  我當時是怎樣想的
[00:22:18.440 --> 00:22:21.760]  其實我在想,這種藥在哪裡找到
[00:22:21.760 --> 00:22:24.120]  這些毒品在哪裡找到
[00:22:24.120 --> 00:22:25.920]  我明明知道在吸毒是不對的
[00:22:25.920 --> 00:22:28.920]  即是現在那個…
[00:22:28.920 --> 00:22:32.880]  你明白的,對,不提神
[00:22:32.880 --> 00:22:36.040]  明明知道不應該這樣做
[00:22:36.040 --> 00:22:38.080]  但我心裡有很強烈的意欲
[00:22:38.160 --> 00:22:41.320]  我很想得到這東西
[00:22:41.320 --> 00:22:43.360]  簡直是神物
[00:22:43.360 --> 00:22:47.120]  這樣我就可以入讀MIT,對吧
[00:22:47.120 --> 00:22:48.400]  我也很想跟你們說
[00:22:48.400 --> 00:22:50.120]  我也很想說出那句話
[00:22:50.120 --> 00:22:51.840]  「我的心迴轉了」
[00:22:51.840 --> 00:22:54.680]  「以致我最後沒有吃」
[00:22:54.680 --> 00:22:55.880]  我也很想說這句
[00:22:55.880 --> 00:22:56.920]  不過現實是怎樣
[00:22:56.920 --> 00:22:59.040]  其實現實是我最後找不到
[00:22:59.040 --> 00:23:00.800]  買不到這東西
[00:23:00.800 --> 00:23:04.080]  因為他們怎會賣給我
[00:23:04.160 --> 00:23:08.560]  其實當時的我仍然沉溺在那裡
[00:23:08.560 --> 00:23:11.400]  只要我努力,我就可以做到
[00:23:11.400 --> 00:23:15.600]  我的天國就是當我可以入讀MIT
[00:23:15.600 --> 00:23:18.120]  成為機械人設計師,對吧
[00:23:18.120 --> 00:23:21.200]  但這個夢想,這個天國
[00:23:21.200 --> 00:23:25.880]  它是將我跟神的關係拉得越來越遠
[00:23:25.880 --> 00:23:29.200]  我心裡慢慢越來越有很多苦讀
[00:23:29.200 --> 00:23:30.240]  很多不明白
[00:23:30.240 --> 00:23:31.640]  跟神吵了很多架
[00:23:31.640 --> 00:23:33.840]  好像覺得神不愛我
[00:23:33.920 --> 00:23:36.520]  正正因為當風浪來到的時候
[00:23:36.520 --> 00:23:37.520]  我沒有體會得多
[00:23:37.520 --> 00:23:40.400]  我沒有相信,沒有從心而發地相信
[00:23:40.400 --> 00:23:41.800]  上帝才是好的那個
[00:23:41.800 --> 00:23:44.040]  上帝才是我值得跟隨的那個
[00:23:44.040 --> 00:23:46.120]  上帝的天國才是最好的
[00:23:46.120 --> 00:23:47.920]  我體會不到這東西
[00:23:47.920 --> 00:23:51.160]  我們的生命裡會有很多東西
[00:23:51.160 --> 00:23:52.560]  在扭曲我們
[00:23:52.560 --> 00:23:54.760]  以致我們的心沒辦法
[00:23:54.760 --> 00:23:56.760]  去愛慕我們的神更多
[00:23:56.760 --> 00:23:59.200]  但其實今時今日
[00:23:59.200 --> 00:24:02.080]  我們的青少年同樣面對這件事
[00:24:02.160 --> 00:24:05.360]  可能現在很多人都會不斷說
[00:24:05.360 --> 00:24:07.040]  現在的青少年怎樣怎樣
[00:24:07.040 --> 00:24:09.840]  這樣好不好,或者有很多評論
[00:24:09.840 --> 00:24:12.920]  但其實如果你進入他們的世界
[00:24:12.920 --> 00:24:16.280]  你會明白他們正在面對的事情很不容易
[00:24:16.280 --> 00:24:18.560]  他們的心裡可能有很多東西都很想
[00:24:18.560 --> 00:24:19.440]  追求美善
[00:24:19.440 --> 00:24:24.640]  或者很想好好讀書、好好發揮
[00:24:24.640 --> 00:24:28.440]  但這個世界其實不斷在扭曲他們的生命
[00:24:28.520 --> 00:24:32.440]  讓他們在心裡沒辦法得到那份平安
[00:24:32.440 --> 00:24:38.040]  沒辦法回到上帝的使命當中
[00:24:38.040 --> 00:24:39.680]  我舉個例子
[00:24:39.680 --> 00:24:42.600]  其實我曾經試過牧養一個青少年
[00:24:42.600 --> 00:24:44.880]  他跟我說他的學校是名校
[00:24:44.880 --> 00:24:46.760]  大家不要猜是哪一間
[00:24:46.760 --> 00:24:47.720]  他在當中
[00:24:47.720 --> 00:24:51.440]  這間名校是因為他要追求排名
[00:24:51.440 --> 00:24:55.240]  不斷追求,所以他會不斷娶學生
[00:24:55.320 --> 00:24:59.560]  當時我的青少年凌晨2時收到一份功課
[00:24:59.560 --> 00:25:02.640]  要在當天早上8時交到出來
[00:25:02.640 --> 00:25:06.280]  2時,當時我最多不睡覺
[00:25:06.280 --> 00:25:08.640]  可能看漫畫,我小時候
[00:25:08.640 --> 00:25:12.320]  但現在的青少年竟然可以在凌晨2時收到功課
[00:25:12.320 --> 00:25:14.400]  要在早上再交到
[00:25:14.400 --> 00:25:16.760]  還有我另一個青少年
[00:25:16.760 --> 00:25:18.120]  也是讀另一間名校
[00:25:18.120 --> 00:25:20.120]  大家不要猜了
[00:25:20.120 --> 00:25:24.440]  這間名校的成績沒那麼好
[00:25:24.520 --> 00:25:27.880]  他突然發現當時的老師對他特別差
[00:25:27.880 --> 00:25:29.680]  有些是嚴重的
[00:25:29.680 --> 00:25:32.320]  好像針對他的狀態
[00:25:32.320 --> 00:25:33.800]  他後來才知道
[00:25:33.800 --> 00:25:35.520]  原來他的成績不好
[00:25:35.520 --> 00:25:39.880]  會影響他全班的整體分數
[00:25:39.880 --> 00:25:44.120]  甚至會影響老師的薪金
[00:25:44.120 --> 00:25:47.920]  是否有獎勵之類
[00:25:47.920 --> 00:25:51.400]  這件事令他很沮喪
[00:25:51.480 --> 00:25:57.040]  我覺得原來人會因為我的成績不好而討厭我
[00:25:57.040 --> 00:26:01.440]  其實人本身可以做得很單純
[00:26:01.440 --> 00:26:05.280]  我努力,成功就成功,失敗就失敗
[00:26:05.280 --> 00:26:08.400]  但其實世界會有另一把聲音告訴他
[00:26:08.400 --> 00:26:11.120]  如果你做得不好,你在影響別人
[00:26:11.120 --> 00:26:14.440]  你會被人仇視
[00:26:14.440 --> 00:26:16.600]  大英姐妹,你能否體會到
[00:26:16.600 --> 00:26:20.400]  其實世界不斷在扭曲我們的心
[00:26:20.480 --> 00:26:24.800]  以致我們無法跟隨上帝
[00:26:24.800 --> 00:26:31.200]  以致…究竟回教會還是追求讀書
[00:26:31.200 --> 00:26:34.600]  可能他們心裡也很不容易
[00:26:34.600 --> 00:26:35.920]  再多說一點給大家聽
[00:26:35.920 --> 00:26:37.600]  我有一個女兒
[00:26:37.600 --> 00:26:39.760]  我女兒正在讀幼稚園
[00:26:39.760 --> 00:26:41.520]  其實已經開始說
[00:26:41.520 --> 00:26:45.760]  現在讀兩間幼稚園是正常的
[00:26:45.760 --> 00:26:48.160]  早上讀一間,下午再讀一間
[00:26:48.240 --> 00:26:51.240]  晚上就做兩份功課
[00:26:51.240 --> 00:26:57.000]  你不去保存科已經算是輕鬆一點
[00:26:57.000 --> 00:27:00.000]  我聽完之後很迷茫
[00:27:00.000 --> 00:27:03.320]  香港已經不斷去到一個地步
[00:27:03.320 --> 00:27:05.400]  其實已經很極端
[00:27:05.400 --> 00:27:08.280]  將來的小朋友、青少年會是怎樣
[00:27:08.280 --> 00:27:09.920]  我再問一句
[00:27:09.920 --> 00:27:12.480]  將來的自殺案會是怎樣
[00:27:12.480 --> 00:27:14.960]  其實真的很令人擔心
[00:27:15.040 --> 00:27:18.440]  青少年是生出來的一張白紙
[00:27:18.440 --> 00:27:21.480]  他們可以理解到很多世界是美善的
[00:27:21.480 --> 00:27:25.000]  但這個世界要將他們扭曲
[00:27:25.000 --> 00:27:29.040]  他們心裡很想去認識創造他們的主
[00:27:29.040 --> 00:27:31.120]  但有時很多東西在阻礙他們
[00:27:31.120 --> 00:27:34.120]  以致他們無法專注
[00:27:34.120 --> 00:27:36.800]  去認識上帝的愛是怎樣的一件事
[00:27:36.800 --> 00:27:41.200]  大英姐妹,不知道你這一刻的你
[00:27:41.200 --> 00:27:44.480]  有否體會到青少年人當中的困難
[00:27:44.560 --> 00:27:48.360]  或者其實的確是一個我們面對的現實
[00:27:48.360 --> 00:27:52.840]  就是我們面對生命裡的困難、擔憂
[00:27:52.840 --> 00:27:55.600]  其實我們要去跟隨也很不容易
[00:27:55.600 --> 00:27:57.200]  究竟出路在哪裡
[00:27:57.200 --> 00:28:00.520]  其實在後部分的經文都會告訴我們
[00:28:00.520 --> 00:28:03.600]  而且這正正就是我們要專注
[00:28:03.600 --> 00:28:05.560]  我們要去追求的一件事
[00:28:05.560 --> 00:28:08.720]  我們一起進入最後一部分的經文
[00:28:08.720 --> 00:28:11.840]  最後一部分的經文就會告訴我們
[00:28:11.840 --> 00:28:14.160]  當我們在生命裡面對困難
[00:28:14.240 --> 00:28:15.360]  挑戰的時間
[00:28:15.360 --> 00:28:18.240]  我們應付不來,我們軟弱了
[00:28:18.240 --> 00:28:20.400]  那出路究竟在哪裡
[00:28:20.400 --> 00:28:21.880]  讓我們一起去看這段經文
[00:28:21.880 --> 00:28:23.520]  當中就會告訴我們
[00:28:23.520 --> 00:28:25.160]  上一版的「Power Point」
[00:28:25.160 --> 00:28:26.040]  怎樣畫
[00:28:26.040 --> 00:28:29.000]  對了,就是告訴我們
[00:28:29.000 --> 00:28:31.400]  原來主耶穌是我們的出路
[00:28:31.400 --> 00:28:35.120]  原來主耶穌是我們的幫助、依靠
[00:28:35.120 --> 00:28:39.360]  並且祂在當中將恩典和憐憫帶過來
[00:28:39.360 --> 00:28:40.920]  有時我們都做不好
[00:28:40.920 --> 00:28:43.120]  我們在面前做得不好
[00:28:43.200 --> 00:28:46.280]  有時我們都無法有力去面對我們的使命
[00:28:46.280 --> 00:28:48.360]  但其實我們可以去找祂
[00:28:48.360 --> 00:28:50.320]  我們可以找祂幫助
[00:28:50.320 --> 00:28:52.480]  當我們去禱告
[00:28:52.480 --> 00:28:55.560]  甚至我們知道身邊的人有需要
[00:28:55.560 --> 00:28:57.480]  我們為他們代禱的時候
[00:28:57.480 --> 00:29:00.680]  其實我們可能成為了他們扶持的一個
[00:29:00.680 --> 00:29:04.440]  讓我們一起讀這段經文,好嗎
[00:29:04.440 --> 00:29:05.680]  一起讀,請
[00:29:05.680 --> 00:29:06.760]  「既然…」
[00:29:13.200 --> 00:29:14.200]  「既然…」
[00:29:14.200 --> 00:29:37.520]  「作及時的幫助」
[00:29:37.520 --> 00:29:39.320]  在這裡很想先解釋
[00:29:39.320 --> 00:29:42.200]  在舊約當中有兩個身分
[00:29:42.280 --> 00:29:44.360]  第一個身分就是先知
[00:29:44.360 --> 00:29:46.000]  第二個就是祭司
[00:29:46.000 --> 00:29:48.560]  然後軍王是第三個
[00:29:48.560 --> 00:29:50.600]  先知其實是代表上帝
[00:29:50.600 --> 00:29:53.280]  去跟上帝的子民說話
[00:29:53.280 --> 00:29:55.960]  告訴他們上帝叫他們這樣做
[00:29:55.960 --> 00:29:57.760]  上帝要他們回轉
[00:29:57.760 --> 00:30:00.880]  而祭司其實是代表人的身分
[00:30:00.880 --> 00:30:03.240]  去向上帝代求
[00:30:03.240 --> 00:30:05.720]  很多時候那時候的祭司去獻祭
[00:30:05.720 --> 00:30:08.840]  去幫他們獻梵祭、去認罪
[00:30:08.840 --> 00:30:10.080]  其實這一切都是…
[00:30:10.160 --> 00:30:13.560]  主耶穌其實正正是三樣東西
[00:30:13.560 --> 00:30:16.320]  他同時是先知、祭司和軍王
[00:30:16.320 --> 00:30:19.800]  並且特別要強調祭司這個身分
[00:30:19.800 --> 00:30:21.360]  祭司是怎樣的
[00:30:21.360 --> 00:30:24.720]  他代表人去向上帝代求
[00:30:24.720 --> 00:30:27.440]  並且在經文中告訴我們
[00:30:27.440 --> 00:30:30.240]  正正因為他願意去道成肉身
[00:30:30.240 --> 00:30:32.360]  來到這個世界成為人的樣式
[00:30:32.360 --> 00:30:34.200]  他可以去代表人
[00:30:34.200 --> 00:30:37.320]  同時亦因為他沒有犯罪
[00:30:37.400 --> 00:30:43.040]  他可以成為我們中間的中寶
[00:30:43.040 --> 00:30:46.680]  主耶穌來到我們的生命裡
[00:30:46.680 --> 00:30:49.800]  正正就是要將我們帶回天賦裡
[00:30:49.800 --> 00:30:52.400]  我們自己沒有辦法、沒有能力去做到
[00:30:52.400 --> 00:30:55.560]  我們面對生命的使命
[00:30:55.560 --> 00:30:58.760]  其實我們一定不行、一定做不到
[00:30:58.760 --> 00:31:03.040]  但在當中,主耶穌會不斷幫助我們
[00:31:03.040 --> 00:31:04.240]  就算我們做不到
[00:31:04.240 --> 00:31:06.400]  有時候會軟弱、會跌倒的時候
[00:31:06.480 --> 00:31:09.400]  其實我們可以在主耶穌裡
[00:31:09.400 --> 00:31:11.720]  得到恩典和憐憫
[00:31:11.720 --> 00:31:14.960]  弟兄姊妹,主耶穌這個角色
[00:31:14.960 --> 00:31:17.960]  他不只是一個奮鬥主任的角色
[00:31:17.960 --> 00:31:20.240]  好像不斷挑剔著你
[00:31:20.240 --> 00:31:24.120]  而是他在當中要幫助我們
[00:31:24.120 --> 00:31:27.160]  我們做不到,很困難的時候
[00:31:27.160 --> 00:31:29.880]  上帝的恩典臨到,就是要幫助我們
[00:31:29.880 --> 00:31:32.360]  以致我們可以去突破
[00:31:32.360 --> 00:31:34.880]  待會我們會有一個見證
[00:31:34.960 --> 00:31:38.400]  是一個青少年分享的見證
[00:31:38.400 --> 00:31:41.840]  他在當中體會到上帝如何幫助他
[00:31:41.840 --> 00:31:45.760]  以致他生命裡有一個轉變的方向
[00:31:45.760 --> 00:31:50.000]  我們很想給這位青少爺Janice掌聲
[00:31:50.000 --> 00:32:04.000]  大家好,我是來自青少部
[00:32:04.080 --> 00:32:06.120]  大專做三年級的Janice
[00:32:06.120 --> 00:32:10.440]  我的背景不是在基督教家庭下長大的
[00:32:10.440 --> 00:32:14.480]  我小時候開始對信仰一點也不了解
[00:32:14.480 --> 00:32:17.000]  我在中學因為讀基督教學校
[00:32:17.000 --> 00:32:18.760]  才開始有一點認識
[00:32:18.760 --> 00:32:20.360]  而且我第一次聽到福音
[00:32:20.360 --> 00:32:22.720]  也是在學校的聖誕崇拜
[00:32:22.720 --> 00:32:24.440]  而我的性格從小到大
[00:32:24.440 --> 00:32:27.480]  都一直會為未來的事而擔憂
[00:32:27.480 --> 00:32:29.680]  特別是一些我自己無法控制
[00:32:29.680 --> 00:32:32.080]  或者未來未知的事
[00:32:32.160 --> 00:32:34.480]  無論在學業上或其他事情上
[00:32:34.480 --> 00:32:37.160]  都很容易令我覺得很焦慮
[00:32:37.160 --> 00:32:39.280]  在我過往的生命裡
[00:32:39.280 --> 00:32:42.880]  我經常會為一些未知的事而擔憂
[00:32:42.880 --> 00:32:46.640]  很怕事情不能像我計劃好地進行
[00:32:46.640 --> 00:32:48.120]  達不到自己的要求
[00:32:48.120 --> 00:32:50.440]  所以經常會做很多背後計劃
[00:32:50.440 --> 00:32:52.320]  以及做最壞的打算
[00:32:52.320 --> 00:32:54.880]  就像我讀中三的時候會想
[00:32:54.880 --> 00:32:56.880]  如果我讀不到自己想讀的科目
[00:32:56.880 --> 00:32:58.280]  那可以怎麼辦
[00:32:58.280 --> 00:33:00.080]  讀中六的時候又會想
[00:33:00.080 --> 00:33:01.480]  如果我無法入讀大學
[00:33:01.560 --> 00:33:02.880]  或者有些科目不合格
[00:33:02.880 --> 00:33:04.040]  升不了高級碟
[00:33:04.040 --> 00:33:05.480]  那可以怎麼辦
[00:33:05.480 --> 00:33:08.080]  以前的我經常會因為這些如果
[00:33:08.080 --> 00:33:12.080]  因為很想把一切都控制在自己的計劃裡
[00:33:12.080 --> 00:33:15.160]  因為希望自己可以達到自己的期望
[00:33:15.160 --> 00:33:18.520]  所以令自己的內心經常感到很多不安
[00:33:18.520 --> 00:33:20.640]  對於很多未來的未知之數
[00:33:20.640 --> 00:33:21.920]  以及擔心的事情
[00:33:21.920 --> 00:33:25.360]  不能像我計劃好地進行
[00:33:25.360 --> 00:33:28.480]  就是令我生命最未能安息的地方
[00:33:28.560 --> 00:33:31.720]  我會回教會是因為我男朋友帶我回來
[00:33:31.720 --> 00:33:33.680]  在我剛剛回教會的時候
[00:33:33.680 --> 00:33:35.480]  我只有崇拜
[00:33:35.480 --> 00:33:37.360]  所以一開始我對於這個信仰
[00:33:37.360 --> 00:33:39.040]  仍然有很多疑惑
[00:33:39.040 --> 00:33:41.560]  以及未能理解的地方
[00:33:41.560 --> 00:33:43.360]  但當我聽著聽著才發現
[00:33:43.360 --> 00:33:46.960]  原來這個信仰是指我和神的一種關係
[00:33:46.960 --> 00:33:51.600]  發現神的愛是無條件的
[00:33:51.600 --> 00:33:53.200]  我不需要做得很好
[00:33:53.200 --> 00:33:55.080]  祂也會去看顧我
[00:33:55.160 --> 00:33:58.920]  以及和我過往所認識的一切都很不同
[00:33:58.920 --> 00:34:02.240]  這種關係好像特別可以安慰我
[00:34:02.240 --> 00:34:05.320]  所以我就想去跟隨這個信仰
[00:34:05.320 --> 00:34:07.840]  然後在我回來幾個月之後
[00:34:07.840 --> 00:34:12.640]  Walshman就帶我去一間有蟑螂的餐廳裡吃飯
[00:34:12.640 --> 00:34:16.440]  然後就在吃飯的時候做了決志祈禱
[00:34:16.440 --> 00:34:22.720]  我很記得在我信了之後
[00:34:22.800 --> 00:34:27.600]  有一段時間要準備加一些應用程式去大學
[00:34:27.600 --> 00:34:31.280]  當時我連一個申請都沒有收到
[00:34:31.280 --> 00:34:32.560]  我就開始在想
[00:34:32.560 --> 00:34:35.440]  我會不會去到最後連一個申請都收不到
[00:34:35.440 --> 00:34:37.240]  如果我不能讀書怎麼辦
[00:34:37.240 --> 00:34:39.440]  我就會越想越不安
[00:34:39.440 --> 00:34:43.160]  不知道如果最壞的情況真的發生了
[00:34:43.160 --> 00:34:44.600]  那可以怎麼做好
[00:34:44.600 --> 00:34:46.000]  所以我就祈禱
[00:34:46.000 --> 00:34:48.280]  把我的不安都跟祂說
[00:34:48.280 --> 00:34:50.640]  希望祂可以撫平我的焦慮
[00:34:50.640 --> 00:34:52.360]  之後在一次的崇拜裡面
[00:34:52.440 --> 00:34:54.440]  我聽到一首歌裡面的歌詞
[00:34:54.440 --> 00:34:57.960]  就好像是上帝在回應我的禱告
[00:34:57.960 --> 00:35:00.880]  那一刻我內心馬上覺得很感動
[00:35:00.880 --> 00:35:04.200]  那也是我第一次真正體會到神
[00:35:04.200 --> 00:35:05.480]  另外有一次
[00:35:05.480 --> 00:35:10.120]  當時同事有很多事情要處理
[00:35:10.120 --> 00:35:13.040]  要做群組項目、溫習、考車
[00:35:13.040 --> 00:35:16.600]  加上那段時間是我高中最後一個考試
[00:35:16.600 --> 00:35:18.000]  所以這件事對我來說
[00:35:18.000 --> 00:35:20.920]  是對能否回到大學很重要的
[00:35:21.000 --> 00:35:22.880]  那段時間我就開始覺得
[00:35:22.880 --> 00:35:26.400]  我無法再靠自己一個人去做所有事情
[00:35:26.400 --> 00:35:30.120]  對於事情發展的結果就有很多不安
[00:35:30.120 --> 00:35:33.720]  我覺得就算我做多少計劃和後備方案
[00:35:33.720 --> 00:35:34.840]  都是沒有用的
[00:35:34.840 --> 00:35:37.760]  正因為這樣,所以我就向神祷告
[00:35:37.760 --> 00:35:40.320]  把一切的事交託給祂
[00:35:40.320 --> 00:35:42.520]  求祂帶走我的重擔
[00:35:42.520 --> 00:35:44.080]  求祂帶領我
[00:35:44.080 --> 00:35:46.560]  有一天,我在開電話的時候
[00:35:46.560 --> 00:35:48.440]  看到一段靈修經文
[00:35:48.520 --> 00:35:51.200]  借已忽所書的三章二十節
[00:35:51.200 --> 00:35:54.920]  說「神能照著運行在我們心裡的大力」
[00:35:54.920 --> 00:35:57.080]  「匆匆足足地成就一切」
[00:35:57.080 --> 00:35:59.400]  「超越我們所求所想的」
[00:35:59.400 --> 00:36:01.040]  這段經文令我覺得
[00:36:01.040 --> 00:36:03.760]  不僅是上帝在回禱我的禱告
[00:36:03.760 --> 00:36:05.880]  更多是祂給我的提醒
[00:36:05.880 --> 00:36:10.040]  無論我面對甚麼苦難、多難
[00:36:10.040 --> 00:36:11.640]  祂都會在這裡陪著我
[00:36:11.640 --> 00:36:14.840]  只要全心相信祂,專注在神那裡
[00:36:14.840 --> 00:36:16.680]  祂就會成就一切
[00:36:16.680 --> 00:36:18.280]  雖然我看完這段經文之後
[00:36:18.360 --> 00:36:21.280]  還是不會知道事前的結果會是怎樣
[00:36:21.280 --> 00:36:24.560]  但就像祂的話語特別令我安心
[00:36:24.560 --> 00:36:27.320]  更加堅定地相信祂的安排
[00:36:27.320 --> 00:36:32.040]  就是祂的話語可以令我體會到安息
[00:36:32.040 --> 00:36:33.840]  經過這些事之後
[00:36:33.840 --> 00:36:37.880]  就令我發現過往很多事都只是靠我自己
[00:36:37.880 --> 00:36:40.360]  不是很想計劃好所有事情
[00:36:40.360 --> 00:36:42.520]  去控制一些未知之數
[00:36:42.520 --> 00:36:44.440]  但就是因為我無法放手
[00:36:44.440 --> 00:36:46.200]  而且經常會過度思考
