
[00:00:00.000 --> 00:00:05.360]  各位聽聽節目的各位朋友你們好
[00:19:50.160 --> 00:19:54.320]  對整個中國宣教事公有極大的負面影響
[00:19:54.320 --> 00:19:58.560]  尤其是在知識分子當中就更加如是
[00:19:58.560 --> 00:20:01.760]  所以福音污染和世俗化
[00:20:01.760 --> 00:20:05.840]  對整個宣教工作帶來極大的負面影響
[00:20:05.840 --> 00:20:09.360]  《時詩記》第六章有關機電的故事
[00:20:09.360 --> 00:20:11.440]  就是一個很好的例子
[00:20:11.440 --> 00:20:13.840]  或者我們看看這段經文
[00:20:13.840 --> 00:20:15.520]  《再三的失敗》
[00:20:15.520 --> 00:20:18.480]  有關米殿人欺凌以色列人
[00:20:18.480 --> 00:20:22.080]  和神派遣事司機電拯救他們
[00:20:22.080 --> 00:20:23.920]  是一個很長的故事
[00:20:23.920 --> 00:20:27.920]  由六章一節一直到八章三十二節為止
[00:20:27.920 --> 00:20:30.560]  在這一章裏我們集中討論
[00:20:30.560 --> 00:20:35.120]  以色列人一再失敗的原因和神拯救的計劃
[00:20:35.120 --> 00:20:38.880]  首先再次從一個救贖歷史的角度
[00:20:38.880 --> 00:20:42.080]  去看看以色列一再失敗的經過
[00:20:42.080 --> 00:20:45.360]  自從亞當犯罪之後被逐出伊甸園
[00:20:45.360 --> 00:20:46.800]  通信隔離
[00:20:46.800 --> 00:20:48.640]  但神願意愛他們
[00:20:48.640 --> 00:20:52.400]  為人們預備了一個救贖計劃
[00:20:52.400 --> 00:20:55.840]  所以早在《創世紀》第三章的時候
[00:20:55.840 --> 00:20:58.880]  聖經就說女人的後裔即彌賽亞
[00:20:58.880 --> 00:21:00.800]  要雙撒旦的頭
[00:21:00.800 --> 00:21:02.640]  《創世紀》第二章十五節
[00:21:02.640 --> 00:21:05.200]  神祝福亞當和後裔
[00:21:05.200 --> 00:21:08.400]  讓他們生養眾多遍滿全地
[00:21:08.400 --> 00:21:12.080]  但人卻繼續犯罪和離棄神
[00:21:12.080 --> 00:21:14.560]  終日思想盡都是我
[00:21:14.560 --> 00:21:17.680]  最後神就用洪水毀滅這個世界
[00:21:17.680 --> 00:21:20.080]  但卻保留羅亞的一家
[00:21:20.080 --> 00:21:21.920]  並且以羅亞納約
[00:21:21.920 --> 00:21:26.560]  地患存留的時候寒暑架式
[00:21:26.560 --> 00:21:29.840]  冬夏晝夜永不停止
[00:21:29.840 --> 00:21:32.080]  《創世紀》第八章二十二節
[00:21:32.080 --> 00:21:34.000]  但人一再離棄神
[00:21:34.000 --> 00:21:35.760]  要建立自己的王國
[00:21:35.760 --> 00:21:37.200]  善造巴別塔
[00:21:37.200 --> 00:21:38.800]  傳揚自己的名
[00:21:38.800 --> 00:21:40.640]  神就擾亂他們的口音
[00:21:40.640 --> 00:21:42.320]  叫他們分散在地上
[00:21:42.320 --> 00:21:45.360]  《創世紀》第十一章一至二百節
[00:21:45.360 --> 00:21:47.200]  雖是如此
[00:21:47.200 --> 00:21:49.360]  神仍然眷顧他們
[00:21:49.360 --> 00:21:52.160]  神減少了亞伯拉罕和他納約
[00:21:52.160 --> 00:21:54.400]  答應他後裔極其繁多
[00:21:54.400 --> 00:21:55.920]  各道從他而納
[00:21:55.920 --> 00:21:57.440]  君王從他而出
[00:21:57.440 --> 00:22:00.080]  後裔好像海邊的沙
[00:22:00.080 --> 00:22:01.520]  天上的星那麼多
[00:22:01.520 --> 00:22:03.840]  人一再一次失敗
[00:22:03.840 --> 00:22:06.000]  在埃及遺留四百年
[00:22:06.000 --> 00:22:07.280]  神興起摩西
[00:22:07.280 --> 00:22:08.960]  帶領以色列人出埃及
[00:22:08.960 --> 00:22:11.120]  來到流瀨漁默的英許地
[00:22:11.120 --> 00:22:12.720]  但來到英許地之後
[00:22:12.720 --> 00:22:14.560]  以色列人又一再失敗
[00:22:14.560 --> 00:22:16.000]  屢屢離棄神
[00:22:16.000 --> 00:22:18.480]  神就興起士師拯救他們
[00:22:18.480 --> 00:22:20.880]  這就是《士師記》的故事
[00:22:20.880 --> 00:22:22.960]  這個故事告訴我們
[00:22:22.960 --> 00:22:26.000]  我們看到以色列人的失敗
[00:22:26.000 --> 00:22:28.880]  一而再再而三的失敗
[00:22:28.880 --> 00:22:31.680]  《士師記》時代過去了
[00:22:31.680 --> 00:22:33.360]  神就減少了大衛
[00:22:33.360 --> 00:22:35.680]  建立王國又要他納約
[00:22:35.680 --> 00:22:39.600]  英許大衛的後裔將來會建立個永恆的國度
[00:22:39.600 --> 00:22:41.920]  撒姆爾記下第七章十六節
[00:22:41.920 --> 00:22:45.280]  但以色列又再一次失敗
[00:22:45.280 --> 00:22:46.160]  離棄神
[00:22:46.160 --> 00:22:48.160]  神的憤怒淋到他身上
[00:22:48.160 --> 00:22:49.280]  叫他亡國
[00:22:49.280 --> 00:22:50.960]  秘魯至巴比倫
[00:22:50.960 --> 00:22:54.800]  但神又連續使用多斯的古列王
[00:22:54.800 --> 00:22:57.360]  讓以色列人再次回歸故土
[00:22:57.360 --> 00:22:58.560]  重建聖殿
[00:22:58.560 --> 00:23:01.120]  但這一切都是指向耶穌
[00:23:01.120 --> 00:23:03.840]  因為耶穌基督就要承傳
[00:23:03.840 --> 00:23:06.400]  阿伯拉罕摩西大衛所納的約
[00:23:06.400 --> 00:23:09.440]  建立這個天國在地約天
[00:23:09.440 --> 00:23:13.120]  帶領我們離開慰勞罪惡之地
[00:23:13.120 --> 00:23:15.520]  但耶穌來是分兩次來的
[00:23:15.520 --> 00:23:17.040]  第一次來是拯救我們
[00:23:17.040 --> 00:23:18.560]  釘身在十字架
[00:23:18.560 --> 00:23:20.160]  救我們脫離罪惡
[00:23:20.160 --> 00:23:23.040]  有次是聖靈在我們心裏面作憑據
[00:23:23.040 --> 00:23:25.840]  將來必要再臨審判活人死人
[00:23:25.840 --> 00:23:27.520]  建立新天新地
[00:23:27.520 --> 00:23:29.680]  這就是神的救贖計劃
[00:23:29.680 --> 00:23:32.080]  我們必須從一個大的圖畫
[00:23:32.080 --> 00:23:34.560]  去理解時思記的故事
[00:23:34.560 --> 00:23:36.240]  我們才會明白
[00:23:36.240 --> 00:23:39.040]  我們再來看看時思記的故事
[00:23:39.040 --> 00:23:41.040]  第六章一至五節
[00:23:41.040 --> 00:23:45.920]  以色列人又行耶和華眼中看為惡的事
[00:23:45.920 --> 00:23:50.000]  耶和華將他交在米殿人手中七年
[00:23:50.000 --> 00:23:52.960]  米殿人壓制以色列人
[00:23:52.960 --> 00:23:56.960]  以色列人因為米殿人在身上掘洞
[00:23:56.960 --> 00:23:58.800]  建造營債
[00:23:58.800 --> 00:24:01.600]  以色列人每逢殺種的時候
[00:24:01.600 --> 00:24:05.440]  那些米殿人阿瑪力人和當方人
[00:24:05.440 --> 00:24:08.720]  就好像蝗蟲一樣來攻打他們
[00:24:08.720 --> 00:24:10.240]  搶了他們的糧食
[00:24:10.240 --> 00:24:11.840]  對著他們安營
[00:24:11.840 --> 00:24:14.240]  毀壞土產直到家殺
[00:24:14.240 --> 00:24:18.160]  沒有給以色列人留下半點的食物
[00:24:18.160 --> 00:24:20.880]  牛羊奴都沒有完全留下
[00:24:20.880 --> 00:24:25.120]  因為這些人是帶著生畜的帳篷來
[00:24:25.120 --> 00:24:27.120]  就像蝗蟲一樣
[00:24:27.120 --> 00:24:32.560]  人和駱駝無數進入國內毀壞全地
[00:24:32.560 --> 00:24:36.320]  這一回壓制以色列的是米殿人
[00:24:36.320 --> 00:24:38.320]  究竟米殿人是什麼人呢?
[00:24:38.320 --> 00:24:41.920]  有學者相信米殿人其實是阿伯拉罕的後裔
[00:24:41.920 --> 00:24:44.640]  根據創世紀第25章
[00:24:44.640 --> 00:24:46.880]  阿伯拉罕其實有八個兒子
[00:24:46.880 --> 00:24:49.120]  除了以撒從撒拉山
[00:24:49.120 --> 00:24:51.440]  以撒瑪利從夏甲山
[00:24:51.440 --> 00:24:56.880]  還有和基斯拉出的森蘭、若山、米旦、米殿
[00:24:56.880 --> 00:24:59.200]  伊斯巴和希亞
[00:24:59.200 --> 00:25:01.680]  米殿人就是米殿的後裔
[00:25:01.680 --> 00:25:04.720]  根據創世紀第25章第6節
[00:25:04.720 --> 00:25:06.800]  他們居住在若旦河的東邊
[00:25:06.800 --> 00:25:11.680]  大概他們散居在Gulf of Khabar的附近
[00:25:11.680 --> 00:25:14.000]  大多數是遊牧民族
[00:25:14.000 --> 00:25:18.080]  當摩西因為撒人要離開埃及的時候
[00:25:18.080 --> 00:25:21.600]  他就逃到米殿人當中娶了一個妻子
[00:25:21.600 --> 00:25:25.760]  並且提去俄府葉蒂羅看養40年
[00:25:25.760 --> 00:25:28.880]  本來以色列人和米殿人是友好的
[00:25:28.880 --> 00:25:31.920]  但當米殿人靠攏摩亞人的時候
[00:25:31.920 --> 00:25:33.680]  彼此關係就變壞了
[00:25:33.680 --> 00:25:36.560]  這記載在文素紀22章和25章
[00:25:36.560 --> 00:25:40.320]  神就吩咐摩西以米殿人為敵人
[00:25:40.320 --> 00:25:41.840]  到了時私的時代
[00:25:41.840 --> 00:25:44.960]  米殿人和阿瑪利人開始欺壓以色列人
[00:25:44.960 --> 00:25:49.360]  其實因為以色列人犯罪神就使用米殿人和阿瑪利人
[00:25:49.360 --> 00:25:50.960]  去教訓以色列人
[00:25:50.960 --> 00:25:53.120]  雖然以色列人受米殿人欺壓
[00:25:53.120 --> 00:25:54.160]  只有七年
[00:25:54.160 --> 00:25:56.160]  比前兩次為短
[00:25:56.160 --> 00:25:59.680]  但這個災禍是最厲害影響最大
[00:25:59.680 --> 00:26:05.280]  因為米殿人不單止要求以色列人按時進貢
[00:26:05.280 --> 00:26:07.840]  而且更是聯群結隊
[00:26:07.840 --> 00:26:11.600]  甚至帶著生畜進入以色列境內搶掠
[00:26:11.600 --> 00:26:15.120]  將所有土產和牛羊一掃而空
[00:26:15.120 --> 00:26:19.280]  令到他們陷入一個經濟極之困苦的境況
[00:26:19.280 --> 00:26:21.440]  為何以色列人一再失敗呢?
[00:26:21.440 --> 00:26:24.720]  這就是福音世俗化的老問題
[00:26:24.720 --> 00:26:26.080]  到了這個時候
[00:26:26.080 --> 00:26:30.320]  以色列人入了迦南地約二百年
[00:26:30.320 --> 00:26:33.520]  當我們看看28至32節這段聖經
[00:26:33.520 --> 00:26:35.120]  就嚇了你一跳
[00:26:35.120 --> 00:26:38.480]  以色列人竟然淪落到一個這樣的地位
[00:26:38.480 --> 00:26:43.600]  從前他們平時就敬拜土地神巴力
[00:26:43.600 --> 00:26:46.800]  戰爭的時候就敬拜耶和華神
[00:26:46.800 --> 00:26:49.600]  因為當耶和華是一個尖神
[00:26:49.600 --> 00:26:52.320]  或者他們會自變
[00:26:52.320 --> 00:26:54.560]  我不要放棄耶和華
[00:26:54.560 --> 00:26:57.200]  所謂適時務者為俊傑
[00:26:57.200 --> 00:27:00.160]  平時耕種的時候我就拜巴力
[00:27:00.160 --> 00:27:03.040]  他是土地公公 土地阿神
[00:27:03.040 --> 00:27:05.920]  戰爭發難的時候我們就敬拜耶和華
[00:27:05.920 --> 00:27:09.040]  誰對我有利我就敬拜誰
[00:27:09.040 --> 00:27:12.080]  到了這個時代就完全不同了
[00:27:12.080 --> 00:27:14.880]  只有巴力沒有耶和華
[00:27:14.880 --> 00:27:17.520]  28至32節城裡的人清早起來
[00:27:17.520 --> 00:27:19.360]  見巴力的壇插毀
[00:27:19.360 --> 00:27:21.920]  壇旁的木偶砍下
[00:27:21.920 --> 00:27:25.600]  第二隻牛獻在新壇的禮物就彼此說
[00:27:25.600 --> 00:27:27.360]  這是誰作的呢?
[00:27:27.360 --> 00:27:28.880]  他們查訪之後就說
[00:27:28.880 --> 00:27:32.400]  這個一定是阿斯的兒子基店做的
[00:27:32.400 --> 00:27:35.280]  城裡的人就對約阿斯說
[00:27:35.280 --> 00:27:36.720]  把你兒子交出來
[00:27:36.720 --> 00:27:38.160]  讓我們致死他
[00:27:38.160 --> 00:27:40.400]  因為他插毀了巴力的壇
[00:27:40.400 --> 00:27:42.960]  砍下壇旁的木偶
[00:27:42.960 --> 00:27:44.880]  約阿斯回答
[00:27:44.880 --> 00:27:46.720]  攻擊他的眾人
[00:27:46.720 --> 00:27:50.080]  你們以為巴力真倫嗎?
[00:27:50.080 --> 00:27:52.080]  你們要救他嗎?
[00:27:52.080 --> 00:27:54.000]  誰為他真倫?
[00:27:54.000 --> 00:27:56.400]  趁早將誰致死?
[00:27:56.400 --> 00:27:58.480]  巴力若果是神
[00:27:58.480 --> 00:28:00.400]  有人插毀他藤
[00:28:00.400 --> 00:28:03.920]  讓他為自己真倫
[00:28:03.920 --> 00:28:08.960]  所以當時的人就稱基店為耶路巴力
[00:28:08.960 --> 00:28:11.600]  意思就是他插毀了巴力的壇
[00:28:11.600 --> 00:28:14.080]  讓巴力和他真倫
[00:28:14.080 --> 00:28:15.760]  這回真是大件事
[00:28:15.760 --> 00:28:18.160]  城裡的人清早起來
[00:28:18.160 --> 00:28:22.720]  呈現在眼前的就是巴力的祭壇被插毀
[00:28:22.720 --> 00:28:26.080]  祭壇的木偶被人打爛了
[00:28:26.080 --> 00:28:28.960]  取而代之是一個新築的壇
[00:28:28.960 --> 00:28:31.200]  是為耶和華所築的壇
[00:28:31.200 --> 00:28:34.000]  並且有牛腱在祭壇上
[00:28:34.000 --> 00:28:36.320]  這群人反應極大
[00:28:36.320 --> 00:28:38.880]  隨之而來就要追擊事件
[00:28:38.880 --> 00:28:40.800]  很快他就水落石出了
[00:28:40.800 --> 00:28:44.000]  是約阿斯的兒子基店所作的
[00:28:44.000 --> 00:28:47.600]  於城中有人就向約阿斯施壓
[00:28:47.600 --> 00:28:49.040]  將你兒子交出來
[00:28:49.040 --> 00:28:50.400]  讓我們致死他
[00:28:50.400 --> 00:28:52.960]  因為他插毀了巴力的壇
[00:28:52.960 --> 00:28:55.280]  砍下壇旁的木偶
[00:28:55.280 --> 00:28:59.520]  以色列人竟然之間淪落到這樣的地步
[00:28:59.520 --> 00:29:02.320]  不單止是背叛耶和華神
[00:29:02.320 --> 00:29:05.680]  反而為了要維護巴力的假神
[00:29:05.680 --> 00:29:09.760]  竟要殺為耶和華出頭的基店
[00:29:09.760 --> 00:29:14.560]  恐怕這些案例不住在這個歷史亂發生
[00:29:14.560 --> 00:29:16.800]  令人不倫而學
[00:29:16.800 --> 00:29:19.840]  我們想不到在緊急的關頭
[00:29:19.840 --> 00:29:22.400]  約阿斯會挺身而出
[00:29:22.400 --> 00:29:25.520]  和那群群眾據理力爭
[00:29:25.520 --> 00:29:27.280]  你看看他怎樣辯論
[00:29:27.280 --> 00:29:29.840]  如果巴力是一個真神
[00:29:29.840 --> 00:29:31.920]  有人插毀了他的壇
[00:29:31.920 --> 00:29:33.920]  他一定為自己爭論
[00:29:33.920 --> 00:29:36.880]  意思是他一定會保護自己
[00:29:36.880 --> 00:29:39.600]  如今那些以色列人
[00:29:39.600 --> 00:29:42.560]  為巴力爭論只有一個後果
[00:29:42.560 --> 00:29:45.440]  誰為巴力爭論的他必死
[00:29:45.440 --> 00:29:47.120]  為何約阿斯這樣說
[00:29:47.120 --> 00:29:49.360]  你看看下面的分析你就會明白
[00:29:49.360 --> 00:29:51.280]  如果巴力是真神
[00:29:51.280 --> 00:29:53.920]  他自己沒有能力去救自己
[00:29:53.920 --> 00:29:57.360]  如今以色列人為他爭論企圖去救他
[00:29:57.360 --> 00:30:01.600]  這表示他們不信巴力有自救的能力
[00:30:01.600 --> 00:30:04.800]  所以他們挺身而出去救巴力
[00:30:04.800 --> 00:30:06.800]  你猜巴力會怎樣想
[00:30:06.800 --> 00:30:09.120]  當然是將這群以色列人致死
[00:30:09.120 --> 00:30:12.880]  結論是如果你們相信巴力是真神
[00:30:12.880 --> 00:30:15.840]  你們絕對不能和他爭論
[00:30:15.840 --> 00:30:17.840]  假如巴力不是真神
[00:30:17.840 --> 00:30:19.840]  耶和華才是真的時候
[00:30:19.840 --> 00:30:22.560]  你們竟然為假神爭論
[00:30:22.560 --> 00:30:25.120]  豈不是得罪了耶和華真神
[00:30:25.120 --> 00:30:27.120]  所以你們必死
[00:30:27.120 --> 00:30:30.560]  所以他們這樣做無論巴力是真還是假
[00:30:30.560 --> 00:30:32.240]  他們都一定死
[00:30:32.240 --> 00:30:35.840]  所以提議你們不要再為巴力爭論
[00:30:35.840 --> 00:30:39.200]  就讓巴力自己以機電爭論吧
[00:30:39.200 --> 00:30:43.680]  這豈不是最上乘聰明的方法
[00:30:43.680 --> 00:30:46.400]  他的說話果然跟就後
[00:30:46.400 --> 00:30:48.800]  那些以色列人只能罷手
[00:30:48.800 --> 00:30:53.120]  他們自當日起稱機電為耶路巴力
[00:30:53.120 --> 00:30:56.160]  意思就是他拆毀了他的壇
[00:30:56.160 --> 00:30:58.800]  讓巴力和他爭論
[00:30:58.800 --> 00:31:01.680]  約克斯就是用一個很簡單的方法
[00:31:01.680 --> 00:31:03.680]  讓他們明白
[00:31:03.680 --> 00:31:05.680]  我們要做一個結論
[00:31:05.680 --> 00:31:08.160]  首先我們要留意機電的父親
[00:31:08.160 --> 00:31:11.040]  約克斯的辯論和邏輯
[00:31:11.040 --> 00:31:14.160]  他勸告以色列人不要為巴力爭論
[00:31:14.160 --> 00:31:17.600]  因為這樣是小看了巴力
[00:31:17.600 --> 00:31:19.600]  以為他是無力自救
[00:31:19.600 --> 00:31:22.400]  要靠這群嘍囉以色列人去保護
[00:31:22.400 --> 00:31:24.400]  如果巴力是真的
[00:31:24.400 --> 00:31:28.240]  他一定會對這些以色列人很憤怒
[00:31:28.240 --> 00:31:29.600]  你以為你是什麼
[00:31:29.600 --> 00:31:30.640]  以為救我嗎
[00:31:30.640 --> 00:31:31.680]  以為我自己不行嗎
[00:31:31.680 --> 00:31:33.200]  是要你先出手嗎
[00:31:33.200 --> 00:31:36.480]  因為他們不相信巴力是一個沒有能力的神
[00:31:36.480 --> 00:31:39.280]  相反如果耶和華是真神的時候
[00:31:39.280 --> 00:31:40.240]  巴力是假的
[00:31:40.240 --> 00:31:42.240]  耶和華一定會責罰以色列人
[00:31:42.240 --> 00:31:44.240]  簡單的邏輯就指出
[00:31:44.240 --> 00:31:46.240]  以色列人的蠢材
[00:31:46.240 --> 00:31:48.240]  選擇一條死路
[00:31:48.240 --> 00:31:50.240]  所以提出一個簡而清的道路
[00:31:50.240 --> 00:31:52.240]  不要再為巴力效量
[00:31:52.240 --> 00:31:54.240]  讓巴力自己和機電爭論
[00:31:54.240 --> 00:31:57.760]  所以機電就稱為耶路巴力
[00:31:57.760 --> 00:31:59.760]  看完這個故事之後
[00:31:59.760 --> 00:32:02.880]  我們試試去解答先前提出的三個個案
[00:32:02.880 --> 00:32:05.520]  第一個個案其實並不複雜
[00:32:05.520 --> 00:32:10.320]  我們不需要去改猶太人文化背景的聖經
[00:32:10.320 --> 00:32:12.320]  將耶穌形容為一條蛇
[00:32:12.320 --> 00:32:13.760]  而不是羔羊
[00:32:13.760 --> 00:32:15.760]  來遷就當地文化的背景
[00:32:15.760 --> 00:32:20.080]  我們可以用他們所能理解的語言來解釋
[00:32:20.080 --> 00:32:23.440]  代罪的羔羊在猶太人文化是什麼意思
[00:32:23.440 --> 00:32:26.720]  其實這是一個非常重要的聖經原則
[00:32:26.720 --> 00:32:31.280]  我們的責任是要去解釋聖經本來的意思
[00:32:31.280 --> 00:32:34.960]  而不是更改聖經的意思來遷就我們的文化
[00:32:34.960 --> 00:32:38.480]  所以我們按照正義分解上帝的道
[00:32:38.480 --> 00:32:40.480]  作為一個無愧的工人
[00:32:40.480 --> 00:32:42.480]  這是每一個信徒
[00:32:42.480 --> 00:32:44.480]  每一個傳道人必須要留意的
[00:32:44.480 --> 00:32:46.480]  至於第二個個案
[00:32:46.480 --> 00:32:49.440]  就是有關讀經時應用的問題
[00:32:49.440 --> 00:32:52.960]  如果你硬邦邦將聖經應用在生活裏
[00:32:52.960 --> 00:32:55.440]  這是一件非常危險的事
[00:32:55.440 --> 00:32:58.560]  個案所提到的問題是一個很好的例子
[00:32:58.560 --> 00:33:00.560]  我們看看舊約的聖經
[00:33:00.560 --> 00:33:03.680]  不少聖經的人物包括阿伯拉罕、大衛
[00:33:03.680 --> 00:33:05.680]  都多過一個妻子
[00:33:05.680 --> 00:33:08.560]  但是神卻沒有將我們踢出救恩門外
[00:33:08.560 --> 00:33:13.280]  聖經的重點是神的救贖、寬恕和體諒
[00:33:13.280 --> 00:33:16.480]  聖經不是一本倫理法律的大典
[00:33:16.480 --> 00:33:18.720]  我們讀聖經的時候不會問
[00:33:18.720 --> 00:33:21.520]  究竟這段聖經給我們什麼道德教訓
[00:33:21.520 --> 00:33:22.160]  不是
[00:33:22.160 --> 00:33:27.360]  而是這段聖經給我們一個認識神的救贖有多少
[00:33:27.360 --> 00:33:29.360]  至於第三個個案
[00:33:29.360 --> 00:33:31.920]  是有關宣教策略的問題
[00:33:31.920 --> 00:33:35.360]  我以為傳教士不理會當地的文化
[00:33:35.360 --> 00:33:37.760]  是眼光短小的做法
[00:33:37.760 --> 00:33:40.640]  更有文化侵略之嫌
[00:33:40.640 --> 00:33:42.640]  為了要保存文化
[00:33:42.640 --> 00:33:45.360]  省多少時間是值得
[00:33:45.360 --> 00:33:47.360]  我曾經做過一個研究
[00:33:47.360 --> 00:33:52.160]  是比較早期傳教士在雲南和貴州的宣教工作
[00:33:52.160 --> 00:33:56.880]  英國秦道會著名的傳教士Samuel Pollak
[00:33:56.880 --> 00:34:01.680]  在1907年在石門磡開設教會和學校
[00:34:01.680 --> 00:34:03.280]  到了1920年
[00:34:03.280 --> 00:34:07.520]  基督教在花苗族竟然佔了95%
[00:34:07.520 --> 00:34:09.120]  非常成功
[00:34:09.120 --> 00:34:10.640]  但到了1921年
[00:34:10.640 --> 00:34:14.240]  進度開始銳減到49%
[00:34:14.240 --> 00:34:16.880]  到了1956年減到200人
[00:34:16.880 --> 00:34:20.160]  到了1963年整個教會都關了門
[00:34:20.160 --> 00:34:21.920]  聖祭一事
[00:34:21.920 --> 00:34:26.160]  這個教會一踏入1950年開始衰落
[00:34:26.160 --> 00:34:29.600]  到了1963年教會都關了門
[00:34:29.600 --> 00:34:30.800]  但很奇怪
[00:34:30.800 --> 00:34:35.600]  距離Samuel Pollak這個石門磡的教會沒多遠
[00:34:35.600 --> 00:34:38.800]  有內地會宣教士所創立的教會
[00:34:38.800 --> 00:34:42.480]  在1944年整個教會都是苗人主領
[00:34:42.480 --> 00:34:46.880]  他們的領袖就是內地會培養出來的王志明牧師
[00:34:46.880 --> 00:34:49.680]  1951年這個教會增長到5000人
[00:34:49.680 --> 00:34:53.440]  到1980年已經有12000人
[00:34:53.440 --> 00:34:56.080]  現時的信徒人數超過3萬人
[00:34:56.080 --> 00:34:58.480]  聚會的地方散佈整個山區
[00:34:58.480 --> 00:35:00.560]  超過100個聚會點
[00:35:00.560 --> 00:35:03.760]  為什麼這兩間教會有這麼大的分別呢?
[00:35:03.760 --> 00:35:06.160]  根據中國學者張坦的研究
[00:35:06.160 --> 00:35:10.240]  是因為內地會積極推行中國教會的本色化
[00:35:10.240 --> 00:35:12.240]  由中國人擔任領袖
[00:35:12.240 --> 00:35:14.960]  詩歌採取當地文化背景的音樂
[00:35:14.960 --> 00:35:16.480]  每個堂會都是獨立
[00:35:16.480 --> 00:35:19.200]  大部分侍工是由會友帶領
[00:35:19.200 --> 00:35:21.200]  在經濟上他們完全獨立
[00:35:21.200 --> 00:35:24.400]  不需要依靠警察會或外國的支援
[00:35:24.400 --> 00:35:29.280]  這樣看來本色化是宣教當早的道路
[00:35:29.280 --> 00:35:31.920]  但本色化不等於世俗化
[00:35:31.920 --> 00:35:34.240]  也不等於更改福音
[00:35:34.240 --> 00:35:37.040]  正如耶穌在路加福音第五章所說
[00:35:37.040 --> 00:35:39.040]  伸走舊瓶的例子
[00:35:39.040 --> 00:35:41.040]  福音是不變的
[00:35:41.040 --> 00:35:42.720]  就像伸走一樣
[00:35:42.720 --> 00:35:44.960]  但承載福音的瓶子
[00:35:44.960 --> 00:35:46.960]  卻是要不住更生
[00:35:46.960 --> 00:35:48.720]  換句話說
[00:35:48.720 --> 00:35:51.200]  傳福音的方法可以千變萬化
[00:35:51.200 --> 00:35:52.880]  因時而異
[00:35:52.880 --> 00:35:56.800]  但福音卻是永遠永遠不變
[00:35:56.800 --> 00:35:59.600]  德國神學家摩馬說
[00:35:59.600 --> 00:36:02.960]  今天所有基督徒面對的問題
[00:36:02.960 --> 00:36:06.560]  英文可以說identity relevant
[00:36:06.560 --> 00:36:08.560]  我們所傳的福音
[00:36:08.560 --> 00:36:11.280]  就是聖經所說的福音
[00:36:11.280 --> 00:36:13.280]  不是世俗化了
[00:36:13.280 --> 00:36:16.000]  不是改變了
[00:36:16.000 --> 00:36:18.800]  是就當地文化的一個福音
[00:36:18.800 --> 00:36:20.000]  但另一方面
[00:36:20.000 --> 00:36:22.400]  我們傳揚這個福音的時候
[00:36:22.400 --> 00:36:25.200]  卻是針對當時的需要
[00:36:25.200 --> 00:36:26.400]  relevant的
[00:36:26.400 --> 00:36:27.680]  是有效的
[00:36:27.680 --> 00:36:29.040]  是導育的
[00:36:29.040 --> 00:36:30.400]  是超然的
[00:36:30.400 --> 00:36:32.960]  這永遠就像一個矛盾
[00:36:32.960 --> 00:36:34.960]  基督教的本色
[00:36:34.960 --> 00:36:36.880]  當地文化的需要
[00:36:36.880 --> 00:36:37.840]  加在一起
[00:36:37.840 --> 00:36:39.040]  要relevant
[00:36:39.040 --> 00:36:42.720]  同時不會失去了福音的真實意味
[00:36:42.720 --> 00:36:45.200]  這就是我們需要去讀
[00:36:45.200 --> 00:36:46.800]  也是我們做傳道人
[00:36:46.800 --> 00:36:48.080]  在每一個教會
[00:36:48.080 --> 00:36:49.680]  我們需要去明白
[00:36:49.680 --> 00:36:50.960]  去了解
[00:36:50.960 --> 00:36:52.960]  看完這段聖經
[00:36:52.960 --> 00:36:54.960]  真的值得我們思想
[00:36:54.960 --> 00:36:57.600]  今天在美國的教會裏面
[00:36:57.600 --> 00:36:59.200]  是不是世俗化了
[00:36:59.200 --> 00:37:02.400]  是不是多多少少已經失去了我們
[00:37:02.400 --> 00:37:04.880]  對聖經真正的本相
[00:37:04.880 --> 00:37:06.880]  真正的面貌
[00:37:06.880 --> 00:37:08.880]  保羅說你們要按著
[00:37:08.880 --> 00:37:11.680]  正義分解真理的道
[00:37:11.680 --> 00:37:13.680]  我們有沒有這樣做
[00:37:13.680 --> 00:37:16.800]  而我們也都會看到保羅說
[00:37:16.800 --> 00:37:18.800]  我在甚麼人就成為了甚麼人
[00:37:18.800 --> 00:37:20.560]  我在猶太人當中是猶太人
[00:37:20.560 --> 00:37:22.320]  我在外邦人當中是外邦人
[00:37:22.320 --> 00:37:23.520]  relevant
[00:37:23.520 --> 00:37:25.520]  identity and relevant
[00:37:25.520 --> 00:37:27.520]  永遠是走在一起
[00:37:27.520 --> 00:37:29.520]  好我們同心同意
[00:37:29.520 --> 00:37:31.520]  天父我們感謝你
[00:37:31.520 --> 00:37:33.520]  給你寶貴的話語提醒我們
[00:37:33.520 --> 00:37:35.520]  讓我們在今天
[00:37:35.520 --> 00:37:37.520]  活在這個世界裏面的時候
[00:37:37.520 --> 00:37:39.520]  我們要傳揚一個
[00:37:39.520 --> 00:37:41.520]  不是褪色的福音
[00:37:41.520 --> 00:37:43.520]  不是妥協的福音
[00:37:43.520 --> 00:37:45.520]  是聖經裏面所說的福音
[00:37:45.520 --> 00:37:47.520]  但另一方面
[00:37:47.520 --> 00:37:49.520]  我們說的福音的時候
[00:37:49.520 --> 00:37:51.520]  悉切每個民族
[00:37:51.520 --> 00:37:53.520]  每個國家每個人心的需要
