
[00:00:00.000 --> 00:00:04.800]  主:靈佑姐妹平安!感謝神我們能夠一起來相聚
[00:16:29.400 --> 00:16:30.400]  這麻瘋病人
[00:16:30.400 --> 00:16:31.400]  他們去到哪裡
[00:16:31.400 --> 00:16:33.400]  他們有責任什麼呢
[00:16:33.400 --> 00:16:34.400]  如果萬一在郊外
[00:16:34.400 --> 00:16:36.400]  碰到有人
[00:16:36.400 --> 00:16:38.400]  他必須自己喊什麼呢
[00:16:38.400 --> 00:16:40.400]  不潔淨
[00:16:40.400 --> 00:16:42.400]  這是他的律例
[00:16:42.400 --> 00:16:45.400]  他們要喊不潔淨
[00:16:45.400 --> 00:16:47.400]  基本上這個人是很痛苦的
[00:16:47.400 --> 00:16:49.400]  因為他一患了這個病
[00:16:49.400 --> 00:16:52.400]  基本上就是與家人
[00:16:52.400 --> 00:16:53.400]  工作
[00:16:53.400 --> 00:16:55.400]  朋友
[00:16:55.400 --> 00:16:57.400]  神的群體
[00:16:57.400 --> 00:17:01.400]  完全隔絕
[00:17:01.400 --> 00:17:04.400]  但是你看到這裡面
[00:17:04.400 --> 00:17:05.400]  在舊約
[00:17:05.400 --> 00:17:06.400]  他講了這個東西
[00:17:06.400 --> 00:17:08.400]  可能以前你們沒有留意
[00:17:08.400 --> 00:17:11.400]  如果這個人要得潔淨
[00:17:11.400 --> 00:17:13.400]  他覺得自己被潔淨了
[00:17:13.400 --> 00:17:14.400]  只有上帝能夠潔淨他
[00:17:14.400 --> 00:17:16.400]  他突然間發現自己
[00:17:16.400 --> 00:17:18.400]  我的皮膚好像好了
[00:17:18.400 --> 00:17:20.400]  好像被潔淨了
[00:17:20.400 --> 00:17:21.400]  然後要怎麼樣呢
[00:17:21.400 --> 00:17:25.400]  原來要有一些儀式
[00:17:25.400 --> 00:17:26.400]  從宗教的層面
[00:17:26.400 --> 00:17:29.400]  上帝在教以色列的一些東西
[00:17:29.400 --> 00:17:31.400]  裡面有救贖的含義
[00:17:31.400 --> 00:17:32.400]  藏在裡面
[00:17:32.400 --> 00:17:34.400]  今天我們理解了
[00:17:34.400 --> 00:17:39.400]  他要有兩隻鳥的儀式來獻祭的
[00:17:39.400 --> 00:17:41.400]  那麼一隻鳥是要殺掉的
[00:17:41.400 --> 00:17:43.400]  然後要讓牠的血
[00:17:43.400 --> 00:17:45.400]  在水那邊流過的
[00:17:45.400 --> 00:17:49.400]  這個血要溶於活水流過的水
[00:17:49.400 --> 00:17:50.400]  這代表什麼呢
[00:17:50.400 --> 00:17:54.400]  是預表基督要為我們流血
[00:17:54.400 --> 00:17:57.400]  要為我們流血來洗淨我們的
[00:17:57.400 --> 00:18:00.400]  第二隻鳥就是象徵著
[00:18:00.400 --> 00:18:02.400]  其實是你的新生命
[00:18:02.400 --> 00:18:04.400]  放飛第二隻鳥
[00:18:04.400 --> 00:18:05.400]  沾了那個血之後
[00:18:05.400 --> 00:18:07.400]  然後把鳥放生
[00:18:07.400 --> 00:18:10.400]  然後這象徵你的新人復活了
[00:18:10.400 --> 00:18:11.400]  自由了
[00:18:11.400 --> 00:18:14.400]  這個是不是跟我們的洗禮有點像
[00:18:14.400 --> 00:18:16.400]  你的老我是怎麼樣
[00:18:16.400 --> 00:18:19.400]  下去水裡面好像被埋葬
[00:18:19.400 --> 00:18:21.400]  被殺死了
[00:18:21.400 --> 00:18:24.400]  然後你的新我是從水裡上來
[00:18:24.400 --> 00:18:27.400]  自由了一個新造的人
[00:18:27.400 --> 00:18:29.400]  而且你還可以怎麼樣呢
[00:18:29.400 --> 00:18:35.400]  重新地回到這個營裡面
[00:18:35.400 --> 00:18:40.400]  就預表罪人能夠回歸上帝
[00:18:40.400 --> 00:18:42.400]  好 弟兄姊妹
[00:18:42.400 --> 00:18:46.400]  這是聖經中麻風病的一些寓意
[00:18:46.400 --> 00:18:48.400]  可能你以前沒有聽過
[00:18:48.400 --> 00:18:49.400]  那麼今天你聽了
[00:18:49.400 --> 00:18:51.400]  希望你能夠更了解
[00:18:51.400 --> 00:18:53.400]  原來在聖經裡面麻風病
[00:18:53.400 --> 00:18:56.400]  有這樣的一個屬靈的含義在裡面
[00:18:56.400 --> 00:18:58.400]  包含了管教
[00:18:58.400 --> 00:19:00.400]  包含了罪的嚴重性
[00:19:00.400 --> 00:19:01.400]  罪的蔓延性
[00:19:01.400 --> 00:19:04.400]  還有救贖隱藏在裡面
[00:19:04.400 --> 00:19:06.400]  而且它說明了一件事情
[00:19:06.400 --> 00:19:09.400]  只有上帝才能夠救贖
[00:19:09.400 --> 00:19:11.400]  它的麻風病能夠好
[00:19:11.400 --> 00:19:13.400]  基本上不是靠自己
[00:19:13.400 --> 00:19:14.400]  不是靠什麼草藥
[00:19:14.400 --> 00:19:16.400]  只能夠靠什麼呢
[00:19:16.400 --> 00:19:20.400]  靠上帝的拯救
[00:19:20.400 --> 00:19:25.400]  馬可福音又有什麼主旨呢
[00:19:25.400 --> 00:19:27.400]  基本上整本馬可福音
[00:19:27.400 --> 00:19:31.400]  第一節是這樣說的
[00:19:31.400 --> 00:19:33.400]  請大家讀第一節給我聽
[00:19:33.400 --> 00:19:39.400]  一二 開始
[00:19:39.400 --> 00:19:40.400]  好 謝謝
[00:19:40.400 --> 00:19:42.400]  這就是整本馬可福音的
[00:19:42.400 --> 00:19:44.400]  第一章第一節
[00:19:44.400 --> 00:19:46.400]  開宗明義的要告訴我們
[00:19:46.400 --> 00:19:48.400]  整本馬可福音
[00:19:48.400 --> 00:19:51.400]  要告訴我們耶穌是神的兒子
[00:19:51.400 --> 00:19:54.400]  這整個馬可福音要告訴我們
[00:19:54.400 --> 00:19:59.400]  裡面有福音 有好消息
[00:19:59.400 --> 00:20:00.400]  就是我們大家都知道
[00:20:00.400 --> 00:20:02.400]  耶穌為我們死
[00:20:02.400 --> 00:20:04.400]  使我們能夠得救恩
[00:20:04.400 --> 00:20:05.400]  這個好消息
[00:20:05.400 --> 00:20:07.400]  所以整本馬可福音有這個目的
[00:20:07.400 --> 00:20:09.400]  要讓我們知道
[00:20:09.400 --> 00:20:11.400]  耶穌是誰 是神的兒子
[00:20:11.400 --> 00:20:14.400]  而且在第九到第十一節有個見證
[00:20:14.400 --> 00:20:16.400]  這個見證是說到
[00:20:16.400 --> 00:20:18.400]  耶穌他去了拿撒勒
[00:20:18.400 --> 00:20:22.400]  在約旦河受了約翰的洗
[00:20:22.400 --> 00:20:23.400]  拾起約翰的洗
[00:20:23.400 --> 00:20:24.400]  從水一上來
[00:20:24.400 --> 00:20:26.400]  看見天就裂開了
[00:20:26.400 --> 00:20:28.400]  這是很多人的見證
[00:20:28.400 --> 00:20:33.400]  所以約翰寫在約翰福音的時候
[00:20:33.400 --> 00:20:34.400]  就把它記錄下來
[00:20:34.400 --> 00:20:36.400]  這是當時很多人的見證
[00:20:36.400 --> 00:20:38.400]  每個人都看見天裂開了
[00:20:38.400 --> 00:20:41.400]  聖靈好像鴿子的形狀
[00:20:41.400 --> 00:20:43.400]  降在耶穌身上
[00:20:43.400 --> 00:20:46.400]  又有聲音從天上說
[00:20:46.400 --> 00:20:49.400]  你是我的愛子 我喜悅你
[00:20:49.400 --> 00:20:52.400]  這是馬可福音他的目的
[00:20:52.400 --> 00:20:53.400]  如果從馬可福音的主旨
[00:20:53.400 --> 00:20:55.400]  是要告訴我們
[00:20:55.400 --> 00:20:57.400]  耶穌是神的兒子
[00:20:57.400 --> 00:20:59.400]  我們一起來看
[00:20:59.400 --> 00:21:02.400]  今天這段經文要告訴我們什麼呢?
[00:21:02.400 --> 00:21:04.400]  今天這段經文要告訴我們
[00:21:04.400 --> 00:21:07.400]  耶穌是一位怎樣的救主
[00:21:07.400 --> 00:21:09.400]  我們再把這段經文看一遍
[00:21:09.400 --> 00:21:11.400]  請弟兄姊妹來念
[00:21:11.400 --> 00:21:12.400]  弟兄念單數節
[00:21:12.400 --> 00:21:15.400]  姊妹念雙數節好不好?
[00:21:15.400 --> 00:21:16.400]  從姊妹開始
[00:21:16.400 --> 00:21:17.400]  一二七
[00:21:17.400 --> 00:21:19.400]  耶穌動了慈心
[00:21:19.400 --> 00:21:21.400]  就伸手摸他
[00:21:21.400 --> 00:21:24.400]  說:我肯你竭盡了把
[00:21:24.400 --> 00:21:26.400]  主嚴厲的囑咐他
[00:21:26.400 --> 00:21:28.400]  就打發他走
[00:21:28.400 --> 00:21:29.400]  那人出去
[00:21:29.400 --> 00:21:31.400]  道說許多的話
[00:21:31.400 --> 00:21:33.400]  把這事傳揚開了
[00:21:33.400 --> 00:21:37.400]  叫耶穌以後不得再冥冥的進城
[00:21:37.400 --> 00:21:39.400]  只好在外邊曠野地方
[00:21:39.400 --> 00:21:43.400]  人從各處都救了他來
[00:21:43.400 --> 00:21:44.400]  這段經文裡面
[00:21:44.400 --> 00:21:47.400]  我覺得很多人覺得最難理解的是
[00:21:47.400 --> 00:21:50.400]  為什麼耶穌叫他不要跟別人講?
[00:21:50.400 --> 00:21:53.400]  為什麼耶穌做了這個神蹟之後
[00:21:53.400 --> 00:21:54.400]  叫他不要跟別人講?
[00:21:54.400 --> 00:21:55.400]  我請問你
[00:21:55.400 --> 00:22:00.400]  如果有一天你能夠治好你的家人的病
[00:22:00.400 --> 00:22:02.400]  你會叫他不要跟別人講嗎?
[00:22:02.400 --> 00:22:04.400]  還是你會跟別人講?
[00:22:04.400 --> 00:22:06.400]  我竟然會有這個能力
[00:22:06.400 --> 00:22:09.400]  耶穌是叫他不要跟別人講
[00:22:09.400 --> 00:22:10.400]  你要謹慎
[00:22:10.400 --> 00:22:13.400]  而且是嚴厲的囑咐他
[00:22:13.400 --> 00:22:14.400]  你要謹慎
[00:22:14.400 --> 00:22:15.400]  什麼話都不可告訴人
[00:22:15.400 --> 00:22:18.400]  這個是我們如果熟悉聖經
[00:22:18.400 --> 00:22:20.400]  最容易理解的
[00:22:20.400 --> 00:22:22.400]  因為耶穌出來傳道
[00:22:22.400 --> 00:22:24.400]  祂有祂的時間表
[00:22:24.400 --> 00:22:26.400]  當時候的人
[00:22:26.400 --> 00:22:30.400]  在期望一個怎麼樣的救世主
[00:22:30.400 --> 00:22:32.400]  怎麼樣的彌賽亞
[00:22:32.400 --> 00:22:35.400]  推翻羅馬政府的
[00:22:35.400 --> 00:22:38.400]  推翻羅馬政府的一個領袖
[00:22:38.400 --> 00:22:40.400]  所以耶穌來的時候
[00:22:40.400 --> 00:22:44.400]  真的很像幾百年都沒有出現過的
[00:22:44.400 --> 00:22:46.400]  以前的先知
[00:22:46.400 --> 00:22:48.400]  能夠呼風喚雨
[00:22:48.400 --> 00:22:49.400]  能夠行神蹟
[00:22:49.400 --> 00:22:52.400]  他們想起了以前就約的先知
[00:22:52.400 --> 00:22:58.400]  以前也是這樣帶領我們把敵人打跑的
[00:22:58.400 --> 00:22:59.400]  他們在等
[00:22:59.400 --> 00:23:02.400]  他們以為是這樣的一個領袖
[00:23:02.400 --> 00:23:05.400]  耶穌知道他們有誤解
[00:23:05.400 --> 00:23:09.400]  但是耶穌要行神蹟證明他是神的兒子
[00:23:09.400 --> 00:23:12.400]  他又不想他們有這個誤解
[00:23:12.400 --> 00:23:15.400]  而且耶穌需要三年多的時間
[00:23:15.400 --> 00:23:16.400]  做一件事情
[00:23:16.400 --> 00:23:18.400]  你們猜到是什麼嗎?
[00:23:18.400 --> 00:23:22.400]  星期日假不用這樣久
[00:23:22.400 --> 00:23:25.400]  三年多的時間要做什麼呢?
[00:23:25.400 --> 00:23:28.400]  做一件很重要的事情
[00:23:28.400 --> 00:23:30.400]  傳福音
[00:23:30.400 --> 00:23:31.400]  定在十日假
[00:23:31.400 --> 00:23:33.400]  還有呢?
[00:23:33.400 --> 00:23:36.400]  Discipleship 非常好
[00:23:36.400 --> 00:23:40.400]  就是做建立門徒
[00:23:40.400 --> 00:23:42.400]  一群人
[00:23:42.400 --> 00:23:44.400]  他們也是猶太人
[00:23:44.400 --> 00:23:46.400]  他們也是以為有彌賽亞
[00:23:46.400 --> 00:23:48.400]  要來推翻羅馬政府
[00:23:48.400 --> 00:23:52.400]  但是耶穌知道他的計劃
[00:23:52.400 --> 00:23:54.400]  來了之後他要死
[00:23:54.400 --> 00:23:55.400]  然後升天
[00:23:55.400 --> 00:24:01.400]  把傳福音給全世界的人的任務交給門徒
[00:24:01.400 --> 00:24:03.400]  以人傳給人
[00:24:03.400 --> 00:24:05.400]  靠著神傳給人
[00:24:05.400 --> 00:24:08.400]  所以這三年的時間是要建立門徒的
[00:24:08.400 --> 00:24:10.400]  所以時間還沒到
[00:24:10.400 --> 00:24:14.400]  他不能夠讓他的使命這麼快
[00:24:14.400 --> 00:24:17.400]  就被人家以為他是要來擁護他
[00:24:17.400 --> 00:24:19.400]  來推翻羅馬政府等等的
[00:24:19.400 --> 00:24:23.400]  所以他結果就要怎麼樣呢?
[00:24:23.400 --> 00:24:26.400]  以後不得再冥冥地進城
[00:24:26.400 --> 00:24:30.400]  只好在外邊曠野的地方去了
[00:24:30.400 --> 00:24:33.400]  所以他叫人家守住這個秘密
[00:24:33.400 --> 00:24:34.400]  有這樣的一個意思
[00:24:34.400 --> 00:24:35.400]  就這麼簡單
[00:24:35.400 --> 00:24:38.400]  現在我要請大家專心地來看
[00:24:38.400 --> 00:24:40.400]  到底耶穌是一位怎麼樣的救主
[00:24:40.400 --> 00:24:41.400]  第一
[00:24:41.400 --> 00:24:43.400]  他是滿有能力的救主
[00:24:43.400 --> 00:24:45.400]  他說
[00:24:45.400 --> 00:24:48.400]  我肯 你潔淨了吧
[00:24:48.400 --> 00:24:50.400]  耶穌只要說我肯
[00:24:50.400 --> 00:24:52.400]  你潔淨了吧
[00:24:52.400 --> 00:24:55.400]  大麻風就立刻離開這個人
[00:24:55.400 --> 00:24:57.400]  他就潔淨了
[00:24:57.400 --> 00:25:02.400]  我們每個人都需要知道
[00:25:02.400 --> 00:25:04.400]  在當時候的社會
[00:25:04.400 --> 00:25:08.400]  麻風病是一個死刑
[00:25:08.400 --> 00:25:11.400]  基本上等於一個死刑
[00:25:11.400 --> 00:25:16.400]  立刻要跟自己的太太 兒女離開
[00:25:16.400 --> 00:25:18.400]  不能夠再留在這裡
[00:25:18.400 --> 00:25:20.400]  很可憐的
[00:25:20.400 --> 00:25:22.400]  每個人一聽到麻風病就知道
[00:25:22.400 --> 00:25:25.400]  這個是一個活著的死人
[00:25:25.400 --> 00:25:27.400]  A living dead
[00:25:27.400 --> 00:25:29.400]  然後沒有辦法
[00:25:29.400 --> 00:25:31.400]  當時候也很怕他傳染
[00:25:31.400 --> 00:25:32.400]  但今天我們知道
[00:25:32.400 --> 00:25:34.400]  如果是講今天的麻風病
[00:25:34.400 --> 00:25:37.400]  會不會傳染呢?
[00:25:37.400 --> 00:25:39.400]  會 但是很難
[00:25:39.400 --> 00:25:42.400]  除非你長期的跟這個人在一起
[00:25:42.400 --> 00:25:46.400]  他要長期的 重複的
[00:25:46.400 --> 00:25:48.400]  有那個吐膜
[00:25:48.400 --> 00:25:50.400]  或者是飲食
[00:25:50.400 --> 00:25:52.400]  分享得到才會
[00:25:52.400 --> 00:25:53.400]  但是現在很難
[00:25:53.400 --> 00:25:55.400]  當時候他們很怕
[00:25:55.400 --> 00:25:56.400]  他們也不知道發生什麼事
[00:25:56.400 --> 00:25:58.400]  反正一個中了
[00:25:58.400 --> 00:26:00.400]  過了不久 家人也會中
[00:26:00.400 --> 00:26:02.400]  他們就有這個觀念 很害怕
[00:26:02.400 --> 00:26:05.400]  那麼他們
[00:26:05.400 --> 00:26:08.400]  耶穌的能力是能夠立刻
[00:26:08.400 --> 00:26:09.400]  使這個麻風病
[00:26:09.400 --> 00:26:11.400]  在他們的歷史裡面
[00:26:11.400 --> 00:26:16.400]  誰才能夠使麻風病被解禁
[00:26:16.400 --> 00:26:18.400]  在他們的歷史裡面
[00:26:18.400 --> 00:26:19.400]  猶太人的歷史裡面
[00:26:19.400 --> 00:26:21.400]  只有誰才能夠使
[00:26:21.400 --> 00:26:23.400]  這個麻風病被解禁
[00:26:23.400 --> 00:26:25.400]  只有神
[00:26:25.400 --> 00:26:27.400]  耶穌其實是在
[00:26:27.400 --> 00:26:29.400]  透露了 表明了他的身份
[00:26:29.400 --> 00:26:32.400]  他是神的兒子
[00:26:32.400 --> 00:26:34.400]  而且他蠻有能力
[00:26:34.400 --> 00:26:37.400]  我們的主是蠻有能力的主
[00:26:37.400 --> 00:26:41.400]  我不知道你在你的困難裡面
[00:26:41.400 --> 00:26:45.400]  你有時候是不是忘了這一點
[00:26:45.400 --> 00:26:47.400]  我們人真的是很差的
[00:26:47.400 --> 00:26:49.400]  我們很軟弱的
[00:26:49.400 --> 00:26:51.400]  我們一下子提醒自己
[00:26:51.400 --> 00:26:53.400]  主啊 你蠻有能力
[00:26:53.400 --> 00:26:54.400]  然後困難來到我們生命中的時候
[00:26:54.400 --> 00:26:56.400]  我們就會怎麼樣
[00:26:56.400 --> 00:26:58.400]  害怕
[00:26:58.400 --> 00:27:00.400]  然後就會怎麼樣
[00:27:00.400 --> 00:27:02.400]  用自己的方法想要解決
[00:27:02.400 --> 00:27:04.400]  就不禱告
[00:27:04.400 --> 00:27:05.400]  就不求神
[00:27:05.400 --> 00:27:07.400]  我們求的是什麼呢
[00:27:07.400 --> 00:27:10.400]  我們的朋友有沒有什麼好的意見
[00:27:10.400 --> 00:27:12.400]  有沒有什麼好的人脈
[00:27:12.400 --> 00:27:14.400]  有沒有什麼好的資源
[00:27:14.400 --> 00:27:16.400]  我們口口聲聲說
[00:27:16.400 --> 00:27:19.400]  主啊 你是蠻有能力的主
[00:27:19.400 --> 00:27:22.400]  但是我想問大家
[00:27:22.400 --> 00:27:24.400]  有多少人第一時間
[00:27:24.400 --> 00:27:25.400]  有遇到問題的時候
[00:27:25.400 --> 00:27:27.400]  是禱告的呢
[00:27:27.400 --> 00:27:30.400]  還是禱告是最後一個選項
[00:27:30.400 --> 00:27:31.400]  這個不行了
[00:27:31.400 --> 00:27:32.400]  這個方法不行了
[00:27:32.400 --> 00:27:33.400]  第二個方法不行了
[00:27:33.400 --> 00:27:35.400]  突然間你又想起
[00:27:35.400 --> 00:27:41.400]  我還可以禱告
[00:27:41.400 --> 00:27:43.400]  我們都犯過這樣的錯誤
[00:27:43.400 --> 00:27:45.400]  包括我自己也犯過這樣的錯誤
[00:27:45.400 --> 00:27:49.400]  但是我希望你信主越久
[00:27:49.400 --> 00:27:53.400]  你就越把這個主是蠻有能力的主
[00:27:53.400 --> 00:27:56.400]  根植在你的細胞裡面
[00:27:56.400 --> 00:27:58.400]  以致你習慣的是什麼呢
[00:27:58.400 --> 00:28:03.400]  第一時間就問上帝
[00:28:03.400 --> 00:28:05.400]  我最近遇到了一個困難
[00:28:05.400 --> 00:28:09.400]  因為我們栽培的一個弟兄
[00:28:09.400 --> 00:28:12.400]  我們發現原來他
[00:28:12.400 --> 00:28:14.400]  我們栽培不久而已
[00:28:14.400 --> 00:28:18.400]  我們發現他原來在婚姻上的事情
[00:28:18.400 --> 00:28:21.400]  不是很清楚
[00:28:21.400 --> 00:28:23.400]  他住在廣州
[00:28:23.400 --> 00:28:25.400]  我跟另外一個弟兄
[00:28:25.400 --> 00:28:27.400]  還跑上去廣州去找他
[00:28:27.400 --> 00:28:31.400]  他不知道原來聖經告訴我們
[00:28:31.400 --> 00:28:33.400]  不可以隨隨便便離婚
[00:28:33.400 --> 00:28:36.400]  你要盡量的挽回
[00:28:36.400 --> 00:28:38.400]  然後他其實很想去
[00:28:38.400 --> 00:28:41.400]  另外一個地方接受栽培
[00:28:41.400 --> 00:28:42.400]  他很愛主的
[00:28:42.400 --> 00:28:47.400]  可是他在內地沒有受到很好的培訓
[00:28:47.400 --> 00:28:49.400]  他還問了牧者
[00:28:49.400 --> 00:28:52.400]  牧者好像也沒有給他很清楚的回覆
[00:28:52.400 --> 00:28:56.400]  他就以為沒問題就去離婚
[00:28:56.400 --> 00:28:59.400]  我們要做一個決定
[00:28:59.400 --> 00:29:05.400]  要不要推薦他去接受其他的門徒訓練
[00:29:05.400 --> 00:29:08.400]  第一件事情我就跟那個弟兄說
[00:29:08.400 --> 00:29:12.400]  你讓我回去禱告
[00:29:12.400 --> 00:29:13.400]  我大概有一個想法
[00:29:13.400 --> 00:29:16.400]  但是我要回去禱告
[00:29:16.400 --> 00:29:17.400]  我要回去禱告
[00:29:17.400 --> 00:29:18.400]  因為什麼呢
[00:29:18.400 --> 00:29:19.400]  不是說我沒有想法
[00:29:19.400 --> 00:29:21.400]  不是說我自封了這麼多年
[00:29:21.400 --> 00:29:22.400]  沒有經驗
[00:29:22.400 --> 00:29:23.400]  不是這些
[00:29:23.400 --> 00:29:29.400]  而是我要在主裡面得到一個信心
[00:29:29.400 --> 00:29:31.400]  因為我們知道聖經教我們
[00:29:31.400 --> 00:29:33.400]  若非藉著信
[00:29:33.400 --> 00:29:37.400]  我們不能夠得神喜悅
[00:29:37.400 --> 00:29:38.400]  我們每一個決定
[00:29:38.400 --> 00:29:40.400]  巴不得我們每一個決定
[00:29:40.400 --> 00:29:42.400]  是憑信心在上帝面前做
[00:29:42.400 --> 00:29:44.400]  而我們就問心無愧
[00:29:44.400 --> 00:29:46.400]  我們是真的憑信心去做的
[00:29:46.400 --> 00:29:47.400]  我們沒有人可以確定
[00:29:47.400 --> 00:29:50.400]  我們每一次的決定都是100%正確
[00:29:50.400 --> 00:29:51.400]  對嗎
[00:29:51.400 --> 00:29:52.400]  我們沒有辦法確定
[00:29:52.400 --> 00:29:55.400]  我們每一次的決定都100%正確的
[00:29:55.400 --> 00:29:57.400]  沒有人可以保證
[00:29:57.400 --> 00:29:59.400]  但是我們可以保證什麼呢
[00:29:59.400 --> 00:30:01.400]  我們可以保證
[00:30:01.400 --> 00:30:05.400]  我至少真心的在上帝面前做過了禱告
[00:30:05.400 --> 00:30:08.400]  而且我有了一個信心
[00:30:08.400 --> 00:30:10.400]  在合理的時間
[00:30:10.400 --> 00:30:12.400]  我要做決定的時間之前
[00:30:12.400 --> 00:30:15.400]  我已經有一個信心知道該怎麼做
[00:30:15.400 --> 00:30:17.400]  我在神面前已經怎麼樣呢
[00:30:17.400 --> 00:30:20.400]  問心無愧了
[00:30:20.400 --> 00:30:21.400]  對嗎
[00:30:21.400 --> 00:30:22.400]  我希望弟兄姐妹
[00:30:22.400 --> 00:30:24.400]  你每次要做重要的決定的時候
[00:30:24.400 --> 00:30:27.400]  好好地操練
[00:30:27.400 --> 00:30:28.400]  你怎樣都好
[00:30:28.400 --> 00:30:32.400]  你總是有一個選擇一選擇二
[00:30:32.400 --> 00:30:34.400]  不知道哪一個的時候
[00:30:34.400 --> 00:30:35.400]  你就先好好禱告
[00:30:35.400 --> 00:30:38.400]  禱告到你的信心偏向哪一邊
[00:30:38.400 --> 00:30:40.400]  你就已經盡力了
[00:30:40.400 --> 00:30:43.400]  在神面前你真的是已經盡力了
[00:30:43.400 --> 00:30:44.400]  盡力了
[00:30:44.400 --> 00:30:45.400]  你就憑心
[00:30:45.400 --> 00:30:47.400]  神就喜悅你那個決定
[00:30:47.400 --> 00:30:48.400]  不代表你那個決定會錯
[00:30:48.400 --> 00:30:50.400]  但是就算錯
[00:30:50.400 --> 00:30:53.400]  因為你已經在上帝面前做了喜悅的
[00:30:53.400 --> 00:30:56.400]  符合聖經的教導
[00:30:56.400 --> 00:30:59.400]  又為上帝給你信心
[00:30:59.400 --> 00:31:02.400]  祂的恩典會夠你用的
[00:31:02.400 --> 00:31:06.400]  我們就是活在這樣的智慧跟平安當中
[00:31:06.400 --> 00:31:09.400]  明白嗎
[00:31:09.400 --> 00:31:12.400]  耶穌是蠻有能力的
[00:31:12.400 --> 00:31:13.400]  對你也是
[00:31:13.400 --> 00:31:15.400]  不是只是對靈傳道蠻有能力
[00:31:15.400 --> 00:31:18.400]  對你也是蠻有能力的
[00:31:18.400 --> 00:31:19.400]  好好的信靠祂
[00:31:19.400 --> 00:31:21.400]  第二
[00:31:21.400 --> 00:31:23.400]  耶穌是一個怎麼樣的救主呢
[00:31:23.400 --> 00:31:27.400]  祂是使人完整的救主
[00:31:27.400 --> 00:31:30.400]  你看這人
[00:31:30.400 --> 00:31:33.400]  他說他出去道說許多的話
[00:31:33.400 --> 00:31:35.400]  我不知道你有沒有從這句話裡面
[00:31:35.400 --> 00:31:38.400]  看到一些端兒
[00:31:38.400 --> 00:31:40.400]  你知不知道這個人
[00:31:40.400 --> 00:31:42.400]  他本來這麼多年
[00:31:42.400 --> 00:31:44.400]  我不知道多少年了
[00:31:44.400 --> 00:31:50.400]  他是不能夠跟人說話的
[00:31:50.400 --> 00:31:57.400]  他是必須好像被遺棄的
[00:31:57.400 --> 00:32:00.400]  我們不能怪他你知道嗎
[00:32:00.400 --> 00:32:01.400]  因為他
[00:32:01.400 --> 00:32:04.400]  我們不能怪他不聽耶穌的話
[00:32:04.400 --> 00:32:05.400]  到處去跟人家說
[00:32:05.400 --> 00:32:08.400]  主耶穌也沒有怪他
[00:32:08.400 --> 00:32:10.400]  因為他突然間被釋放了
[00:32:10.400 --> 00:32:14.400]  他突然間被帶回這個群體了
[00:32:14.400 --> 00:32:16.400]  他的孩子他要抱住他
[00:32:16.400 --> 00:32:19.400]  他的妻子他要抱住他
[00:32:19.400 --> 00:32:20.400]  他要親他們
[00:32:20.400 --> 00:32:22.400]  他要抱在他懷裡
[00:32:22.400 --> 00:32:24.400]  他要說我潔淨了
[00:32:24.400 --> 00:32:25.400]  他要跟很多人說很多話
[00:32:25.400 --> 00:32:26.400]  他第一件事情
[00:32:26.400 --> 00:32:28.400]  最想跟人家說的就是
[00:32:28.400 --> 00:32:31.400]  誰抑制了我
[00:32:31.400 --> 00:32:32.400]  可是我不知道你有沒有看到
[00:32:32.400 --> 00:32:34.400]  他能夠跟人說話
[00:32:34.400 --> 00:32:37.400]  這是一個完整的人
[00:32:37.400 --> 00:32:38.400]  一個人不完整的時候
[00:32:38.400 --> 00:32:40.400]  就是當我們被隔離的時候
[00:32:40.400 --> 00:32:43.400]  你知道一個人最痛苦的時候
[00:32:43.400 --> 00:32:44.400]  不是什麼嗎
[00:32:44.400 --> 00:32:48.400]  不是你的人生不成功
[00:32:48.400 --> 00:32:51.400]  不是你的事業不成功
[00:32:51.400 --> 00:32:53.400]  一個人最痛苦的是什麼呢
[00:32:53.400 --> 00:32:58.400]  就是你事業再成功都沒有人理
[00:32:58.400 --> 00:33:01.400]  Nobody cares
[00:33:01.400 --> 00:33:05.400]  沒有一個人理會
[00:33:05.400 --> 00:33:07.400]  就是你不重要
[00:33:07.400 --> 00:33:10.400]  在這個世界上一點都不重要
[00:33:10.400 --> 00:33:14.400]  哪怕你多成功都好
[00:33:14.400 --> 00:33:17.400]  人之所以為人
[00:33:17.400 --> 00:33:22.400]  因為我們有我你的關係
[00:33:22.400 --> 00:33:24.400]  我們有一個小的我你
[00:33:24.400 --> 00:33:26.400]  跟一個大的我你
[00:33:26.400 --> 00:33:29.400]  我跟上帝的關係
[00:33:29.400 --> 00:33:33.400]  我們人就是在感情上
[00:33:33.400 --> 00:33:36.400]  在關係上
[00:33:36.400 --> 00:33:38.400]  我們認識了自己
[00:33:38.400 --> 00:33:42.400]  身份性格喜好
[00:33:42.400 --> 00:33:45.400]  你的身份你是怎樣的一個人
[00:33:45.400 --> 00:33:47.400]  那個關係很重要
[00:33:47.400 --> 00:33:50.400]  一個麻瘋病人是很孤單
[00:33:50.400 --> 00:33:53.400]  但是上帝使他的人生完整了
[00:33:53.400 --> 00:33:54.400]  又帶回去
[00:33:54.400 --> 00:33:58.400]  沒有了群體人不完整
[00:33:58.400 --> 00:34:02.400]  沒有了群體人不完整
[00:34:02.400 --> 00:34:03.400]  第三
