
[00:00:00.000 --> 00:00:02.240]  各位弟兄姊妹,平安!
[00:23:35.000 --> 00:23:39.000]  才能夠將各樣的教訓
[00:23:39.000 --> 00:23:41.000]  來教導別人
[00:23:41.000 --> 00:23:44.000]  第三點更加是適切性
[00:23:44.000 --> 00:23:47.000]  這裡更加是講出有三點
[00:23:47.000 --> 00:23:50.000]  是要按著人的不同的需要
[00:23:50.000 --> 00:23:53.000]  來講出適合的話
[00:23:53.000 --> 00:23:57.000]  例如有些人對這個真道有懷疑的時候
[00:23:57.000 --> 00:24:00.000]  你就要講出這個例證
[00:24:00.000 --> 00:24:03.000]  如果對於犯罪的人
[00:24:03.000 --> 00:24:05.000]  你更加要責備他
[00:24:05.000 --> 00:24:08.000]  而對於那些怕死
[00:24:08.000 --> 00:24:10.000]  或者有憂慮的人
[00:24:10.000 --> 00:24:13.000]  你更加要講說話來鼓勵他
[00:24:13.000 --> 00:24:16.000]  用神的話來鼓勵他
[00:24:16.000 --> 00:24:18.000]  不要害怕
[00:24:18.000 --> 00:24:23.000]  所以傳道的人除了對神的話語
[00:24:23.000 --> 00:24:25.000]  要有裝備之外
[00:24:25.000 --> 00:24:27.000]  更加是對對象
[00:24:27.000 --> 00:24:30.000]  傳福音的對象都需要去了解
[00:24:30.000 --> 00:24:33.000]  一個對人的靈魂有負擔
[00:24:33.000 --> 00:24:37.000]  你才能夠將神的話語來活學活用
[00:24:37.000 --> 00:24:41.000]  來講出來
[00:24:41.000 --> 00:24:43.000]  講完這裡
[00:24:43.000 --> 00:24:45.000]  古來也繼續講到
[00:24:45.000 --> 00:24:48.000]  為什麼要傳福音
[00:24:48.000 --> 00:24:51.000]  在第三節講到
[00:24:51.000 --> 00:24:57.000]  因為時候要到,主的日子是近的
[00:24:57.000 --> 00:25:00.000]  時日無多
[00:25:00.000 --> 00:25:03.000]  第二點就是有關於時代的需要
[00:25:03.000 --> 00:25:04.000]  大家都知道
[00:25:04.000 --> 00:25:06.000]  在這個末後的日子裡
[00:25:06.000 --> 00:25:08.000]  人的心是很敗壞
[00:25:08.000 --> 00:25:10.000]  道德是淪喪
[00:25:10.000 --> 00:25:12.000]  正如剛才我所舉的這個例
[00:25:12.000 --> 00:25:14.000]  這樣的說話都可以講得出來
[00:25:14.000 --> 00:25:19.000]  其實人是需要福音來光照他
[00:25:19.000 --> 00:25:23.000]  傳道的人更加是要來分辨是非
[00:25:23.000 --> 00:25:26.000]  來講純正的福音
[00:25:26.000 --> 00:25:28.000]  不是好的就講
[00:25:28.000 --> 00:25:30.000]  不好的就不講
[00:25:30.000 --> 00:25:37.000]  這樣的話只會變成成功神學的講者
[00:25:37.000 --> 00:25:39.000]  第三點就是說
[00:25:39.000 --> 00:25:41.000]  工人的託付
[00:25:41.000 --> 00:25:45.000]  他都知道提摩泰是保羅的接班人
[00:25:45.000 --> 00:25:49.000]  傳道也是神給他的職份
[00:25:49.000 --> 00:25:52.000]  所以他一定要一生盡忠職守
[00:25:52.000 --> 00:25:58.000]  來完成神給他的福音託付
[00:25:58.000 --> 00:26:02.000]  講到這裡我又和大家再講一個
[00:26:02.000 --> 00:26:07.000]  宣教士的一生來做一個結束
[00:26:07.000 --> 00:26:11.000]  我想大家都很認識這個瑪麗遜
[00:26:11.000 --> 00:26:15.000]  她在1807年的時候
[00:26:15.000 --> 00:26:18.000]  受到倫敦傳道會的差派
[00:26:18.000 --> 00:26:20.000]  坐船從英國
[00:26:20.000 --> 00:26:22.000]  她首先去到紐約
[00:26:22.000 --> 00:26:26.000]  然後再來中國宣教
[00:26:26.000 --> 00:26:29.000]  因為當時沒有直航
[00:26:29.000 --> 00:26:33.000]  讓她去到中國
[00:26:33.000 --> 00:26:34.000]  原因就是說
[00:26:34.000 --> 00:26:40.000]  外國人不准在中國居住和傳福音
[00:26:40.000 --> 00:26:42.000]  所以當她去到中國的時候
[00:26:42.000 --> 00:26:50.000]  她就躲在廣州的十三巷倉庫居住
[00:26:50.000 --> 00:26:53.000]  之後趁著這段時間
[00:26:53.000 --> 00:26:58.000]  她更加努力地學習廣東話
[00:26:58.000 --> 00:27:02.000]  後來因為她受聘於東印度公司
[00:27:02.000 --> 00:27:09.000]  所以她才能夠留下在廣州
[00:27:09.000 --> 00:27:12.000]  在受聘期間
[00:27:12.000 --> 00:27:15.000]  她就偷偷地傳福音
[00:27:15.000 --> 00:27:17.000]  教聖經
[00:27:17.000 --> 00:27:18.000]  教了一年
[00:27:18.000 --> 00:27:21.000]  沒有人信耶穌
[00:27:21.000 --> 00:27:23.000]  教了兩年
[00:27:23.000 --> 00:27:25.000]  也沒有人信耶穌
[00:27:25.000 --> 00:27:27.000]  然後她教了六年
[00:27:27.000 --> 00:27:29.000]  也沒有人信
[00:27:29.000 --> 00:27:31.000]  直至第七年
[00:27:31.000 --> 00:27:34.000]  終於有一個人悔改
[00:27:34.000 --> 00:27:35.000]  信主
[00:27:35.000 --> 00:27:37.000]  並且受洗
[00:27:37.000 --> 00:27:39.000]  這張圖就是
[00:27:39.000 --> 00:27:42.000]  她在這二十五年裡
[00:27:42.000 --> 00:27:47.000]  她只能夠有十個人來受洗
[00:27:47.000 --> 00:27:49.000]  其中有兩個
[00:27:49.000 --> 00:27:50.000]  一個叫蔡高
[00:27:50.000 --> 00:27:55.000]  一個叫梁化
[00:27:55.000 --> 00:27:57.000]  她在傳福音的同時
[00:27:57.000 --> 00:28:01.000]  她更加開始翻譯《仕途行傳》
[00:28:01.000 --> 00:28:04.000]  成為廣東話
[00:28:04.000 --> 00:28:07.000]  對一個老外來說
[00:28:07.000 --> 00:28:09.000]  學廣東話也不容易
[00:28:09.000 --> 00:28:13.000]  翻譯聖經更加難
[00:28:13.000 --> 00:28:14.000]  而翻譯聖經
[00:28:14.000 --> 00:28:16.000]  你更加要對神的話語
[00:28:16.000 --> 00:28:18.000]  有深刻的了解
[00:28:18.000 --> 00:28:21.000]  你才可以做到
[00:28:21.000 --> 00:28:22.000]  無論如何
[00:28:22.000 --> 00:28:25.000]  她正要印刷的時候
[00:28:25.000 --> 00:28:30.000]  她整件事被清廷發現了
[00:28:30.000 --> 00:28:33.000]  要她停止所有工作
[00:28:33.000 --> 00:28:35.000]  但是她還是沒有放棄
[00:28:35.000 --> 00:28:39.000]  她繼續將全本聖經
[00:28:39.000 --> 00:28:41.000]  翻譯成廣東話
[00:28:41.000 --> 00:28:44.000]  並且到後來都可以發行
[00:28:44.000 --> 00:28:46.000]  使得我們全中國人
[00:28:46.000 --> 00:28:51.000]  都有認識這位神的機會
[00:28:51.000 --> 00:28:52.000]  她不僅如此
[00:28:52.000 --> 00:28:55.000]  她更加完成了
[00:28:55.000 --> 00:28:59.000]  六大冊的中英文字典
[00:28:59.000 --> 00:29:01.000]  這本字典成為
[00:29:01.000 --> 00:29:05.000]  那些去中國宣教的宣教士
[00:29:05.000 --> 00:29:09.000]  一個非常好的幫助
[00:29:09.000 --> 00:29:12.000]  瑪麗遜在這個逆境裡
[00:29:12.000 --> 00:29:17.000]  她對傳福音更加有決心
[00:29:17.000 --> 00:29:18.000]  有內心
[00:29:18.000 --> 00:29:22.000]  她更加對神的話語有忠心
[00:29:22.000 --> 00:29:27.000]  她鍥而不捨地不斷地工作
[00:29:27.000 --> 00:29:35.000]  這真是成為我們一個好的榜樣
[00:29:35.000 --> 00:29:38.000]  在香港其實有一個小的山
[00:29:38.000 --> 00:29:40.000]  不知道大家還記不記得
[00:29:40.000 --> 00:29:42.000]  叫做摩利神山
[00:29:42.000 --> 00:29:44.000]  現在都沒有了
[00:29:44.000 --> 00:29:47.000]  但旁邊仍然有一條小的街
[00:29:47.000 --> 00:29:49.000]  叫做摩利神山道
[00:29:49.000 --> 00:29:54.000]  是後人紀念瑪麗遜而改的
[00:29:54.000 --> 00:29:56.000]  總結一下
[00:29:56.000 --> 00:29:58.000]  今天我所說的
[00:29:58.000 --> 00:30:01.000]  願我們都能夠記取保羅
[00:30:01.000 --> 00:30:04.000]  他對提摩太的忠告
[00:30:04.000 --> 00:30:08.000]  我們要對神的道有信心
[00:30:08.000 --> 00:30:12.000]  因為神的道是有末世的明燈
[00:30:12.000 --> 00:30:15.000]  祂不僅能夠改變人的生命
[00:30:15.000 --> 00:30:18.000]  能夠塑造人的品格
[00:30:18.000 --> 00:30:21.000]  使人更加像主耶穌基督
[00:30:21.000 --> 00:30:25.000]  同時也是抗衡末世的歪理
[00:30:25.000 --> 00:30:27.000]  能夠使我們面對逆境
[00:30:27.000 --> 00:30:29.000]  幫助我們傳福音的
[00:30:29.000 --> 00:30:31.000]  不可缺少的一個武器
[00:30:31.000 --> 00:30:33.000]  侍奉的人更加應該努力
[00:30:33.000 --> 00:30:36.000]  以神的話來裝備我們自己
[00:30:36.000 --> 00:30:39.000]  能夠成為一個無愧的工人
[00:30:39.000 --> 00:30:41.000]  我們願不願意呢?
[00:30:41.000 --> 00:30:44.000]  讓我們一起來祈禱
[00:30:44.000 --> 00:30:46.000]  主人我們很感謝你
[00:30:46.000 --> 00:30:49.000]  藉著保羅對提摩太的忠告
[00:30:49.000 --> 00:30:51.000]  再一次提醒我們每一個侍奉的人
[00:30:51.000 --> 00:30:54.000]  我們要在你的話語上紮根
[00:30:54.000 --> 00:30:55.000]  求你光照我們
[00:30:55.000 --> 00:30:57.000]  讓我們有更多的耐性
[00:30:57.000 --> 00:30:59.000]  以致我們可以在你的話語上
[00:30:59.000 --> 00:31:01.000]  努力來研讀
[00:31:01.000 --> 00:31:03.000]  認真的來查考
[00:31:03.000 --> 00:31:05.000]  以致我們在這個患難裡
[00:31:05.000 --> 00:31:07.000]  對我們面對異端
[00:31:07.000 --> 00:31:08.000]  對我們傳福音上
[00:31:08.000 --> 00:31:12.000]  都能夠按著正義來分解真理的毒
[00:31:12.000 --> 00:31:13.000]  榮耀你的名
[00:31:13.000 --> 00:31:15.000]  祷告奉主耶穌基督的聖名
[00:31:15.000 --> 00:31:16.000]  阿們
