
[00:00:00.000 --> 00:00:03.000]  今日我的講道題目是分真電假
[00:21:00.000 --> 00:21:02.000]  都可以得著新的生命
[00:21:02.000 --> 00:21:05.000]  可以重新來過
[00:21:05.000 --> 00:21:08.000]  所以我們的信仰
[00:21:08.000 --> 00:21:12.000]  不只是導人向善這麼簡單
[00:21:12.000 --> 00:21:16.000]  是將我們從罪惡的捆綁裡釋放出來
[00:21:16.000 --> 00:21:19.000]  使我們能夠重新來過
[00:21:19.000 --> 00:21:23.000]  有力量去效法耶穌
[00:21:23.000 --> 00:21:25.000]  做祂所喜悅的事
[00:21:25.000 --> 00:21:33.000]  我們從此不再需要背負著那些罪咎
[00:21:33.000 --> 00:21:38.000]  這就是我們和其他宗教所不同的地方
[00:21:38.000 --> 00:21:41.000]  其他宗教從來沒有一個
[00:21:41.000 --> 00:21:46.000]  宗教的教主會說自己是創造天地的神
[00:21:46.000 --> 00:21:50.000]  更加不會去處理人的罪的問題
[00:21:50.000 --> 00:21:52.000]  但我們所信的神
[00:21:52.000 --> 00:21:54.000]  祂就是親自成為人
[00:21:54.000 --> 00:21:57.000]  並且背負我們罪債的那一位
[00:21:57.000 --> 00:22:00.000]  叫我們每一個願意向祂認罪悔改的人
[00:22:00.000 --> 00:22:03.000]  我們的罪都得著赦免
[00:22:03.000 --> 00:22:06.000]  我們能夠有一個輕散的生命
[00:22:06.000 --> 00:22:11.000]  既然哥羅西教會所面對的異端是貶低基督
[00:22:11.000 --> 00:22:16.000]  自然也會將人自己的能力抬舉
[00:22:16.000 --> 00:22:19.000]  所以第三個特點就是
[00:22:19.000 --> 00:22:22.000]  他們是靠行為來改變生命
[00:22:22.000 --> 00:22:25.000]  在這段經文裡我們也看到
[00:22:25.000 --> 00:22:27.000]  這些異端有這方面的教導
[00:22:27.000 --> 00:22:29.000]  我們看第十六節
[00:22:29.000 --> 00:22:32.000]  「所以不拘在飲食上或節期
[00:22:32.000 --> 00:22:36.000]  月朔安息日都不可讓人論斷你們」
[00:22:36.000 --> 00:22:41.000]  這些異端思想就是在飲食的條例上
[00:22:41.000 --> 00:22:43.000]  應該吃什麼不吃什麼
[00:22:43.000 --> 00:22:48.000]  在守節期的事情上定下嚴格的規矩
[00:22:48.000 --> 00:22:50.000]  要人遵守
[00:22:50.000 --> 00:22:54.000]  他們這樣做其實是要凸顯他們的屬靈
[00:22:54.000 --> 00:22:57.000]  比別人更加屬靈
[00:22:57.000 --> 00:23:03.000]  保羅教導信徒要小心
[00:23:03.000 --> 00:23:09.000]  不要在這些事情上成為別人的批評對象
[00:23:09.000 --> 00:23:12.000]  在第十七節
[00:23:12.000 --> 00:23:18.000]  保羅形容這些規條是一些影儀
[00:23:18.000 --> 00:23:22.000]  而基督才是真正的形體
[00:23:22.000 --> 00:23:24.000]  我們什麼時候會有影呢?
[00:23:24.000 --> 00:23:26.000]  太陽照射下來
[00:23:26.000 --> 00:23:28.000]  一個人站在這裡
[00:23:28.000 --> 00:23:30.000]  先有一個人才會有一個影
[00:23:30.000 --> 00:23:33.000]  所以這個比喻告訴我們
[00:23:33.000 --> 00:23:36.000]  真正重要的是基督耶穌本身
[00:23:36.000 --> 00:23:40.000]  而這些規條並不是最重要的
[00:23:40.000 --> 00:23:46.000]  加上他們有些規條不是神所定出來的
[00:23:46.000 --> 00:23:48.000]  是他們額外加上去的
[00:23:48.000 --> 00:23:51.000]  還有第二十至二十一節
[00:23:51.000 --> 00:23:53.000]  「你們若是與基督同死
[00:23:53.000 --> 00:23:55.000]  脫離了世上的小學
[00:23:55.000 --> 00:23:57.000]  如何形象在世俗中活著
[00:23:57.000 --> 00:24:02.000]  服從那不可拿、不可嘗、不可摸等類的規條呢?」
[00:24:02.000 --> 00:24:07.000]  剛才第十六節說到要守什麼規矩
[00:24:07.000 --> 00:24:10.000]  這裡說到我們不要做什麼
[00:24:10.000 --> 00:24:13.000]  不要做這樣、不要做那樣
[00:24:13.000 --> 00:24:17.000]  這裡顯示這些異端有很多的禁戒
[00:24:17.000 --> 00:24:19.000]  第十八節
[00:24:19.000 --> 00:24:23.000]  「不可讓人因著故意謙虛和敬拜天使
[00:24:23.000 --> 00:24:25.000]  而失去你們的獎賞」
[00:24:25.000 --> 00:24:28.000]  這裡提到故意謙虛和敬拜天使
[00:24:28.000 --> 00:24:31.000]  為什麼會將兩件事放在一起呢?
[00:24:31.000 --> 00:24:33.000]  原來異端認為
[00:24:33.000 --> 00:24:37.000]  那位創造天地的神距離我們太遠、太高
[00:24:37.000 --> 00:24:40.000]  他們太崇高
[00:24:40.000 --> 00:24:44.000]  人是不配直接來敬拜神的
[00:24:44.000 --> 00:24:48.000]  所以只能夠來敬拜天使
[00:24:48.000 --> 00:24:51.000]  所以敬拜天使就是這樣來的
[00:24:51.000 --> 00:24:55.000]  他們是藉此來顯示自己的謙卑
[00:24:55.000 --> 00:24:57.000]  整體來說
[00:24:57.000 --> 00:25:01.000]  這些異端其實都訂立了很多的規矩
[00:25:01.000 --> 00:25:05.000]  為了守這些規矩
[00:25:05.000 --> 00:25:07.000]  為什麼他們要守這些規矩呢?
[00:25:07.000 --> 00:25:11.000]  就是為了使人變得更加淑女
[00:25:11.000 --> 00:25:15.000]  保羅不是要我們不守規矩
[00:25:15.000 --> 00:25:20.000]  只是他認為這些異端所訂的規條
[00:25:20.000 --> 00:25:26.000]  其實對於提升我們的屬靈生命是沒有幫助的
[00:25:26.000 --> 00:25:31.000]  他們只會令人自高自大、自以為是
[00:25:31.000 --> 00:25:36.000]  對建立屬靈生命是沒有幫助的
[00:25:36.000 --> 00:25:40.000]  在第十一和十二節我們一起讀
[00:25:40.000 --> 00:25:46.000]  「你們也在他裡面受了不是由人手所行的國禮
[00:25:46.000 --> 00:25:49.000]  而是受了基督的國禮
[00:25:49.000 --> 00:25:52.000]  就是除掉你們的罪身
[00:25:52.000 --> 00:25:56.000]  你們在洗禮中已經與他一同埋葬
[00:25:56.000 --> 00:26:00.000]  也在洗禮中因信那使基督
[00:26:00.000 --> 00:26:04.000]  從死人中復活的神所運行的動力
[00:26:04.000 --> 00:26:07.000]  與他一同復活了」
[00:26:07.000 --> 00:26:09.000]  剛才我說到
[00:26:09.000 --> 00:26:13.000]  基督已經為我們的罪釘在十字架上
[00:26:13.000 --> 00:26:15.000]  使我們罪得赦免
[00:26:15.000 --> 00:26:19.000]  而基督所做的其實不單單只是這樣
[00:26:19.000 --> 00:26:21.000]  祂不是死了就算了
[00:26:21.000 --> 00:26:24.000]  而是死後第三天復活
[00:26:24.000 --> 00:26:31.000]  祂的復活證明祂已經勝過一切罪惡的權勢
[00:26:31.000 --> 00:26:35.000]  而信祂的人也能夠有一個新的生命
[00:26:35.000 --> 00:26:40.000]  並且將來也會像基督一樣死而復活
[00:26:40.000 --> 00:26:43.000]  我們信了主之後
[00:26:43.000 --> 00:26:47.000]  並不是等於我們不會再犯罪
[00:26:47.000 --> 00:26:52.000]  而是我們不再受罪惡的捆綁
[00:26:52.000 --> 00:26:53.000]  受它的奴役
[00:26:53.000 --> 00:26:55.000]  我們好像換了老闆一樣
[00:26:55.000 --> 00:26:57.000]  從前未信主的時候
[00:26:57.000 --> 00:26:59.000]  這個世界是我們的老闆
[00:26:59.000 --> 00:27:00.000]  這個世界充滿罪惡
[00:27:00.000 --> 00:27:03.000]  以致我們不能夠不犯罪
[00:27:03.000 --> 00:27:05.000]  但我們信了主之後
[00:27:05.000 --> 00:27:10.000]  我們的老闆就是這位創造我們的神
[00:27:10.000 --> 00:27:12.000]  祂不單止赦免我們的罪
[00:27:12.000 --> 00:27:18.000]  也給予我們力量重新再活一次
[00:27:18.000 --> 00:27:20.000]  讓我們的生命被改變
[00:27:20.000 --> 00:27:23.000]  享有真正的自由
[00:27:23.000 --> 00:27:25.000]  這種生命的改變
[00:27:25.000 --> 00:27:28.000]  唯有信耶穌才能得著
[00:27:28.000 --> 00:27:33.000]  不是靠我們守什麼規條
[00:27:33.000 --> 00:27:38.000]  在今時今日這個高舉自由的世代
[00:27:38.000 --> 00:27:43.000]  對於自由的運用我們的確要很小心
[00:27:43.000 --> 00:27:48.000]  我們要去分辨各種的思想
[00:27:48.000 --> 00:27:52.000]  各種的說法的時候
[00:27:52.000 --> 00:27:58.000]  我們必須要小心選取自己的立場
[00:27:58.000 --> 00:28:00.000]  我們要認真去思想
[00:28:00.000 --> 00:28:03.000]  我們為什麼去支持
[00:28:03.000 --> 00:28:07.000]  為什麼去反對
[00:28:07.000 --> 00:28:11.000]  無論我們要作出什麼行動
[00:28:11.000 --> 00:28:14.000]  我們都要去分辨衡量
[00:28:14.000 --> 00:28:17.000]  到底我們這樣的行動是否適合
[00:28:17.000 --> 00:28:23.000]  我們是否能夠付出當中的代價
[00:28:23.000 --> 00:28:30.000]  我們能否去承擔這些行動所帶來的後果
[00:28:30.000 --> 00:28:34.000]  而這些行動對我們身邊的人
[00:28:34.000 --> 00:28:37.000]  對其他人有什麼影響
[00:28:37.000 --> 00:28:42.000]  對整個的大局又會有什麼影響
[00:28:42.000 --> 00:28:44.000]  我們的立場
[00:28:44.000 --> 00:28:50.000]  我們的行動又有沒有違背聖經的教導
[00:28:50.000 --> 00:28:53.000]  和很多的香港人一樣
[00:28:53.000 --> 00:28:56.000]  在8月31日
[00:28:56.000 --> 00:29:02.000]  人大對香港政制的發展作出決定的時候
[00:29:02.000 --> 00:29:05.000]  我都感到很失望
[00:29:05.000 --> 00:29:07.000]  在這兩三個星期裡
[00:29:07.000 --> 00:29:13.000]  我覺得我在這件事情上都好像有點迷失
[00:29:13.000 --> 00:29:17.000]  直至前天我看到一篇文章
[00:29:17.000 --> 00:29:25.000]  這篇文章是由香港教會更新運動的總幹事胡志偉牧師所寫
[00:29:25.000 --> 00:29:27.000]  當我看到這篇文章的時候
[00:29:27.000 --> 00:29:31.000]  我開始知道我自己要怎樣擺位
[00:29:31.000 --> 00:29:35.000]  在這篇文章裡有一幅相片
[00:29:35.000 --> 00:29:39.000]  相片的背景是今年的1月
[00:29:39.000 --> 00:29:41.000]  在烏克蘭
[00:29:41.000 --> 00:29:45.000]  即將要爆發衝突的前夕
[00:29:45.000 --> 00:29:51.000]  政教會的教士去到現場
[00:29:51.000 --> 00:29:54.000]  這幅相片裡是其中一位的教士
[00:29:54.000 --> 00:29:58.000]  這些教士去到現場
[00:29:58.000 --> 00:30:03.000]  他們所做的就是為衝突雙方有需要的人
[00:30:03.000 --> 00:30:11.000]  為他們進行代討服事和宣讀經文
[00:30:11.000 --> 00:30:15.000]  當我看到這篇文章這幅相片的時候
[00:30:15.000 --> 00:30:20.000]  我就知道我作為一個傳道人
[00:30:20.000 --> 00:30:24.000]  在此時此刻的香港
[00:30:24.000 --> 00:30:29.000]  我應該做的事是什麼
[00:30:29.000 --> 00:30:35.000]  或許我不能像這些教士一樣去到現場
[00:30:35.000 --> 00:30:38.000]  但無論我在哪裡
[00:30:38.000 --> 00:30:41.000]  我都可以為他們禱告
[00:30:41.000 --> 00:30:44.000]  為有需要的人禱告
[00:30:44.000 --> 00:30:47.000]  跟他們同在
[00:30:47.000 --> 00:30:49.000]  特別是為香港
[00:30:49.000 --> 00:30:51.000]  為香港人
[00:30:51.000 --> 00:30:57.000]  為年輕的一代來禱告
[00:30:57.000 --> 00:30:58.000]  各位弟兄姊妹
[00:30:58.000 --> 00:31:02.000]  如果你也像我一樣有迷茫
[00:31:02.000 --> 00:31:05.000]  不知道何去何從
[00:31:05.000 --> 00:31:09.000]  或者心中有矛盾
[00:31:09.000 --> 00:31:10.000]  有不安
[00:31:10.000 --> 00:31:14.000]  有難過
[00:31:14.000 --> 00:31:19.000]  我都希望你能夠來跟我們教睦同工分享
[00:31:19.000 --> 00:31:23.000]  無論你需要什麼支援
[00:31:23.000 --> 00:31:30.000]  我都希望你能夠第一時間聯絡教睦同工
[00:31:30.000 --> 00:31:33.000]  或許我們不能做很多事
[00:31:33.000 --> 00:31:36.000]  但我深信
[00:31:36.000 --> 00:31:43.000]  靠著那加給我力量的凡事都能做
[00:31:43.000 --> 00:31:49.000]  我知道我們所信的是哪一個
[00:31:49.000 --> 00:31:53.000]  在這個動盪不安的世局
[00:31:53.000 --> 00:31:56.000]  唯有我們能夠同心彼此守望
[00:31:56.000 --> 00:32:00.000]  一起來信靠仰望那位創始成中的神
[00:32:00.000 --> 00:32:05.000]  祂必定會帶我們出黑暗入光明
[00:32:05.000 --> 00:32:10.000]  我們一起來祈禱
[00:32:10.000 --> 00:32:13.000]  青愛天父上帝
[00:32:13.000 --> 00:32:16.000]  祢是那位在洪水氾濫之時
[00:32:16.000 --> 00:32:20.000]  仍然坐著為王的神
[00:32:20.000 --> 00:32:22.000]  主啊
[00:32:22.000 --> 00:32:25.000]  因著祢在我們當中
[00:32:25.000 --> 00:32:30.000]  因著祢是我們生命的主
[00:32:30.000 --> 00:32:35.000]  我們知道我們不需要懼怕
[00:32:35.000 --> 00:32:40.000]  或許這個世局叫我們的心動搖
[00:32:40.000 --> 00:32:42.000]  使我們不安
[00:32:42.000 --> 00:32:43.000]  但願上帝祢自己的話
[00:32:43.000 --> 00:32:46.000]  親自成為我們眾人腳前的燈
[00:32:46.000 --> 00:32:48.000]  路上的光
[00:32:48.000 --> 00:32:52.000]  指引我們當行的路
[00:32:52.000 --> 00:32:54.000]  當我們在這個世代
[00:32:54.000 --> 00:32:56.000]  面對各樣思想的衝擊
[00:32:56.000 --> 00:32:57.000]  各樣的信念
[00:32:57.000 --> 00:32:59.000]  有可能都會動搖我們的心智
[00:32:59.000 --> 00:33:00.000]  但主啊
[00:33:00.000 --> 00:33:03.000]  求祢讓我們明白祢自己的話
[00:33:03.000 --> 00:33:06.000]  願意去尋求上帝祢的心意
[00:33:06.000 --> 00:33:07.000]  上帝祢就帶領我們
[00:33:07.000 --> 00:33:11.000]  讓我們知道應該何去何從
[00:33:11.000 --> 00:33:12.000]  主啊
[00:33:12.000 --> 00:33:13.000]  或許這個時刻
[00:33:13.000 --> 00:33:15.000]  我們心裡有難過
[00:33:15.000 --> 00:33:18.000]  有不安
[00:33:18.000 --> 00:33:23.000]  但願神祢自己親自加能賜力給我們
[00:33:23.000 --> 00:33:24.000]  主啊
[00:33:24.000 --> 00:33:25.000]  我們知道在這個世代
[00:33:25.000 --> 00:33:28.000]  我們不是一個旁觀者
[00:33:28.000 --> 00:33:29.000]  我們每一個人
[00:33:29.000 --> 00:33:31.000]  身處在這個世代
[00:33:31.000 --> 00:33:34.000]  我們是當中的一員
[00:33:34.000 --> 00:33:37.000]  亦都是上帝祢自己的兒女
[00:33:37.000 --> 00:33:39.000]  上帝就求你幫助
[00:33:39.000 --> 00:33:40.000]  叫我們在這個世代
[00:33:40.000 --> 00:33:44.000]  能夠活出你兒女應有的見證
[00:33:44.000 --> 00:33:45.000]  我們有疲乏的
[00:33:45.000 --> 00:33:47.000]  主求你加力
[00:33:47.000 --> 00:33:48.000]  我們有迷惘的
[00:33:48.000 --> 00:33:52.000]  主求你指引我們的路
[00:33:52.000 --> 00:33:54.000]  我們這樣禱告奉耶穌基督
[00:33:54.000 --> 00:33:55.000]  得聖人名
[00:33:55.000 --> 00:33:56.000]  阿母
