
[00:00:00.000 --> 00:00:09.000]  好,今天我們來到大使命經文的最後一部分
[00:21:42.000 --> 00:21:43.000]  一定聽
[00:21:43.000 --> 00:21:44.000]  沒有錯的
[00:21:44.000 --> 00:21:46.000]  一定好
[00:21:46.000 --> 00:21:49.000]  好過牧者會不會講錯道
[00:21:49.000 --> 00:21:50.000]  當然會
[00:21:50.000 --> 00:21:52.000]  怎麼會不會
[00:21:52.000 --> 00:21:55.000]  一樣會講錯道
[00:21:55.000 --> 00:21:56.000]  那些不好的牧者
[00:21:56.000 --> 00:21:58.000]  講邪道
[00:21:58.000 --> 00:22:00.000]  湯傳導很喜歡用這個字眼
[00:22:00.000 --> 00:22:02.000]  講邪道
[00:22:02.000 --> 00:22:04.000]  那是不是不好聽
[00:22:04.000 --> 00:22:06.000]  如果你所屬的教會
[00:22:06.000 --> 00:22:07.000]  請了一個新來的牧者
[00:22:07.000 --> 00:22:08.000]  講的那些講道
[00:22:08.000 --> 00:22:10.000]  全部是邪道
[00:22:10.000 --> 00:22:13.000]  那你是不是就要離開教會
[00:22:13.000 --> 00:22:16.000]  是不是
[00:22:16.000 --> 00:22:17.000]  這個牧者不好
[00:22:17.000 --> 00:22:18.000]  教會邪了
[00:22:18.000 --> 00:22:20.000]  所以不好
[00:22:20.000 --> 00:22:23.000]  我要離開
[00:22:23.000 --> 00:22:25.000]  你去不去一間教會
[00:22:25.000 --> 00:22:27.000]  你參不參加群體
[00:22:27.000 --> 00:22:29.000]  不是因為那個情況
[00:22:29.000 --> 00:22:30.000]  因為這樣
[00:22:30.000 --> 00:22:33.000]  基於你自己個人的看法
[00:22:33.000 --> 00:22:34.000]  於是你就要離開
[00:22:34.000 --> 00:22:36.000]  不是
[00:22:36.000 --> 00:22:38.000]  上帝有沒有叫你離開
[00:22:38.000 --> 00:22:39.000]  可能上帝就把你
[00:22:39.000 --> 00:22:40.000]  在這個教會裡面
[00:22:40.000 --> 00:22:44.000]  去跟這個講邪道的牧者
[00:22:44.000 --> 00:22:46.000]  去作一個比對
[00:22:46.000 --> 00:22:48.000]  你能夠去知道
[00:22:48.000 --> 00:22:51.000]  原來這些是邪的道
[00:22:51.000 --> 00:22:52.000]  可能你
[00:22:52.000 --> 00:22:53.000]  甚至上帝使用你
[00:22:53.000 --> 00:22:55.000]  在這間教會裡面
[00:22:55.000 --> 00:22:56.000]  去幫助其他信徒
[00:22:56.000 --> 00:23:00.000]  從邪道當中學正道
[00:23:00.000 --> 00:23:01.000]  所以教會叫做正道
[00:23:01.000 --> 00:23:04.000]  不一定是正道的
[00:23:04.000 --> 00:23:05.000]  當然沒有教會
[00:23:05.000 --> 00:23:06.000]  叫自己做邪道的
[00:23:06.000 --> 00:23:09.000]  是不是
[00:23:09.000 --> 00:23:11.000]  但如果講教會全是邪道
[00:23:11.000 --> 00:23:13.000]  上帝沒有叫你離開教會
[00:23:13.000 --> 00:23:16.000]  你不是應該離開教會
[00:23:16.000 --> 00:23:17.000]  上帝擺你來
[00:23:17.000 --> 00:23:19.000]  有他的意思
[00:23:19.000 --> 00:23:22.000]  所以從這個的開始
[00:23:22.000 --> 00:23:24.000]  就告訴他知道
[00:23:24.000 --> 00:23:27.000]  耶穌他的講道
[00:23:27.000 --> 00:23:30.000]  使人覺得稀奇
[00:23:30.000 --> 00:23:31.000]  稀奇是什麼原因
[00:23:31.000 --> 00:23:33.000]  一會兒會有解釋
[00:23:33.000 --> 00:23:38.000]  但當使人覺得稀奇的時候
[00:23:38.000 --> 00:23:40.000]  這幫人是因為
[00:23:40.000 --> 00:23:42.000]  耶穌的教訓
[00:23:42.000 --> 00:23:44.000]  而覺得稀奇
[00:23:44.000 --> 00:23:46.000]  情況就好像剛才
[00:23:46.000 --> 00:23:47.000]  我們所引用的
[00:23:47.000 --> 00:23:49.000]  其他的幾段經文
[00:23:49.000 --> 00:23:51.000]  情況是一模一樣
[00:23:51.000 --> 00:23:56.000]  在第十三章裡面所講到的
[00:23:56.000 --> 00:23:58.000]  第十九章裡面所講到的
[00:23:58.000 --> 00:24:00.000]  第二十二章裡面所講到的
[00:24:00.000 --> 00:24:01.000]  原來都告訴我們
[00:24:01.000 --> 00:24:05.000]  耶穌基督聽完祂講道的人
[00:24:05.000 --> 00:24:07.000]  他們都會覺得稀奇
[00:24:07.000 --> 00:24:12.000]  是因為他們所講的內容
[00:24:12.000 --> 00:24:14.000]  而不是因為
[00:24:14.000 --> 00:24:16.000]  耶穌是上帝
[00:24:16.000 --> 00:24:18.000]  況且在這一刻
[00:24:18.000 --> 00:24:21.000]  耶穌告訴他們是不是上帝
[00:24:21.000 --> 00:24:25.000]  他們都未認真認識清楚
[00:24:25.000 --> 00:24:27.000]  那為什麼要聽耶穌講
[00:24:27.000 --> 00:24:30.000]  因為耶穌基督講的內容
[00:24:30.000 --> 00:24:34.000]  稀奇的另一個觸發點
[00:24:34.000 --> 00:24:38.000]  就是因為這些人所聽到的道理
[00:24:38.000 --> 00:24:44.000]  和他們過去一直聽到的不一樣
[00:24:44.000 --> 00:24:49.000]  譬如我們用剛才四個例子去看
[00:24:49.000 --> 00:24:51.000]  我們再一次回到
[00:24:51.000 --> 00:24:54.000]  《馬太福音》第十三章
[00:24:54.000 --> 00:25:00.000]  我們一起回到第十三章看一看
[00:25:00.000 --> 00:25:02.000]  在第十三章裡面
[00:25:02.000 --> 00:25:05.000]  我們來到第十三章
[00:25:05.000 --> 00:25:07.000]  耶穌在之前
[00:25:07.000 --> 00:25:09.000]  其實有一連串的比喻
[00:25:09.000 --> 00:25:11.000]  我們遲些會有一個
[00:25:11.000 --> 00:25:13.000]  一連串講比喻的
[00:25:13.000 --> 00:25:15.000]  《馬太福音》的講道
[00:25:15.000 --> 00:25:18.000]  相信希望可以幫助到大家
[00:25:18.000 --> 00:25:21.000]  對《馬太福音》的比喻的
[00:25:21.000 --> 00:25:23.000]  運作和使用和本身意義
[00:25:23.000 --> 00:25:25.000]  能夠更清楚掌握
[00:25:25.000 --> 00:25:27.000]  不過第五十三節馬上又講
[00:25:27.000 --> 00:25:31.000]  耶穌說完了這些比喻
[00:25:31.000 --> 00:25:33.000]  就離開那裡
[00:25:33.000 --> 00:25:35.000]  來到自己家鄉
[00:25:35.000 --> 00:25:37.000]  在自己會堂裡
[00:25:37.000 --> 00:25:40.000]  繼續這樣教訓人
[00:25:40.000 --> 00:25:44.000]  甚至使當地的人稀奇
[00:25:44.000 --> 00:25:47.000]  不過這段聖經有一個特色
[00:25:47.000 --> 00:25:52.000]  耶穌當繼續講到教訓人
[00:25:52.000 --> 00:25:56.000]  這個特別講到他回到自己家鄉
[00:25:56.000 --> 00:25:59.000]  但是回到家鄉的結果是怎麼樣呢
[00:25:59.000 --> 00:26:02.000]  那些人稀奇之後是怎麼樣呢
[00:26:02.000 --> 00:26:08.000]  稀奇的人可以有兩種的反應
[00:26:08.000 --> 00:26:12.000]  稀奇的人會說語別不同
[00:26:12.000 --> 00:26:15.000]  那我想知道多一點
[00:26:15.000 --> 00:26:17.000]  另一種的反應是什麼呢
[00:26:17.000 --> 00:26:19.000]  很不同
[00:26:19.000 --> 00:26:22.000]  那一定是錯的
[00:26:22.000 --> 00:26:24.000]  和大眾不同
[00:26:24.000 --> 00:26:26.000]  因為一般的人認為
[00:26:26.000 --> 00:26:31.000]  大眾認為對的東西就必然是對的
[00:26:31.000 --> 00:26:34.000]  那大興節目我就先問問
[00:26:34.000 --> 00:26:39.000]  大眾認為對的東西是不是一定就是對的呢
[00:26:39.000 --> 00:26:41.000]  你知不知道現在
[00:26:41.000 --> 00:26:44.000]  在北美洲的離婚
[00:26:44.000 --> 00:26:48.000]  離婚比率接近七成
[00:26:48.000 --> 00:26:50.000]  七成
[00:26:50.000 --> 00:26:52.000]  那你說有些人重婚
[00:26:52.000 --> 00:26:53.000]  有些人再嫁過
[00:26:53.000 --> 00:26:56.000]  有些人再娶過
[00:26:56.000 --> 00:27:00.000]  七成是不是大部分
[00:27:00.000 --> 00:27:03.000]  那些不離婚的那些是小眾
[00:27:03.000 --> 00:27:05.000]  那我們就要問一下
[00:27:05.000 --> 00:27:07.000]  李先生你有沒有離婚
[00:27:07.000 --> 00:27:09.000]  嘩 你現在這麼大膽
[00:27:09.000 --> 00:27:11.000]  在老婆旁邊這樣說
[00:27:11.000 --> 00:27:13.000]  喂
[00:27:13.000 --> 00:27:15.000]  如果你是這樣的情況
[00:27:15.000 --> 00:27:17.000]  那我們就會發現到
[00:27:17.000 --> 00:27:19.000]  你跟大眾了
[00:27:19.000 --> 00:27:20.000]  那我要回來了
[00:27:20.000 --> 00:27:23.000]  那大眾是不是一定對呢
[00:27:23.000 --> 00:27:25.000]  很多人常常都以為
[00:27:25.000 --> 00:27:28.000]  離婚是解決婚姻的問題
[00:27:28.000 --> 00:27:30.000]  其實離婚只不過是將婚姻的問題
[00:27:30.000 --> 00:27:35.000]  帶去另一個關係裡面繼續衍生一次
[00:27:35.000 --> 00:27:38.000]  大眾認為對的東西對不對
[00:27:38.000 --> 00:27:39.000]  我們發覺
[00:27:39.000 --> 00:27:41.000]  在北美洲這個世界裡面
[00:27:41.000 --> 00:27:45.000]  家庭觀念簡直是破產的
[00:27:45.000 --> 00:27:47.000]  但那些人覺得怎麼樣
[00:27:47.000 --> 00:27:48.000]  沒什麼 沒什麼
[00:27:48.000 --> 00:27:49.000]  最重要開心
[00:27:49.000 --> 00:27:51.000]  我喜歡怎麼做怎麼做嘛
[00:27:51.000 --> 00:27:53.000]  想做怎麼做怎麼做
[00:27:53.000 --> 00:28:00.000]  還想引經成為證據去支持
[00:28:00.000 --> 00:28:03.000]  什麼人會聽見主的道理
[00:28:03.000 --> 00:28:05.000]  跟人語別不同的時候
[00:28:05.000 --> 00:28:07.000]  想知道多一點呢
[00:28:07.000 --> 00:28:08.000]  又什麼人
[00:28:08.000 --> 00:28:09.000]  他是聽見主的道理
[00:28:09.000 --> 00:28:12.000]  跟現在他所想的東西
[00:28:12.000 --> 00:28:13.000]  想法不同的時候
[00:28:13.000 --> 00:28:16.000]  他們這種是什麼人呢
[00:28:16.000 --> 00:28:18.000]  而且很多時候聽見
[00:28:18.000 --> 00:28:20.000]  不同的時候就拒絕的人
[00:28:20.000 --> 00:28:23.000]  往往是大多數
[00:28:23.000 --> 00:28:25.000]  耶穌約瑟福就說了
[00:28:25.000 --> 00:28:27.000]  大家都很熟悉的那句話
[00:28:27.000 --> 00:28:30.000]  那些人就
[00:28:30.000 --> 00:28:32.000]  稀奇完之後就怎麼樣
[00:28:32.000 --> 00:28:34.000]  很囂張
[00:28:34.000 --> 00:28:36.000]  我到現在都找不到普通話
[00:28:36.000 --> 00:28:38.000]  囂張應該怎麼樣
[00:28:38.000 --> 00:28:41.000]  很貼身的翻譯
[00:28:41.000 --> 00:28:43.000]  囂張最多就是
[00:28:43.000 --> 00:28:45.000]  使你覺得
[00:28:45.000 --> 00:28:47.000]  想挑戰挑戰你
[00:28:47.000 --> 00:28:49.000]  挑戰你
[00:28:49.000 --> 00:28:50.000]  那怎麼樣呢
[00:28:50.000 --> 00:28:54.000]  他爸爸不是一個牧長
[00:28:54.000 --> 00:28:56.000]  他媽媽我認識的
[00:28:56.000 --> 00:28:59.000]  馬利亞是街坊
[00:28:59.000 --> 00:29:01.000]  明明都是口吻
[00:29:01.000 --> 00:29:02.000]  然後怎麼樣
[00:29:02.000 --> 00:29:03.000]  他的兄弟
[00:29:03.000 --> 00:29:04.000]  我全部都知道
[00:29:04.000 --> 00:29:06.000]  他家家爺弟弟
[00:29:06.000 --> 00:29:11.000]  雅各 約瑟 西門 尤大
[00:29:11.000 --> 00:29:12.000]  還有妹妹
[00:29:12.000 --> 00:29:14.000]  我都認識他們全家
[00:29:14.000 --> 00:29:16.000]  全家我都認識
[00:29:16.000 --> 00:29:18.000]  有什麼特別
[00:29:18.000 --> 00:29:20.000]  他媽的
[00:29:20.000 --> 00:29:23.000]  所以你讀聖經要明白
[00:29:23.000 --> 00:29:24.000]  怎麼讀
[00:29:24.000 --> 00:29:25.000]  讀到第三十六誦
[00:29:25.000 --> 00:29:28.000]  他妹妹門不是都在我們這裡嗎
[00:29:28.000 --> 00:29:30.000]  有什麼特別
[00:29:30.000 --> 00:29:34.000]  這人從哪裡有這一切的事呢
[00:29:34.000 --> 00:29:36.000]  不是什麼事
[00:29:36.000 --> 00:29:39.000]  就是說他媽的
[00:29:39.000 --> 00:29:41.000]  明明那個語氣
[00:29:41.000 --> 00:29:42.000]  然後怎麼樣
[00:29:42.000 --> 00:29:45.000]  就厭棄他
[00:29:45.000 --> 00:29:48.000]  稀奇
[00:29:48.000 --> 00:29:50.000]  因為主的說話
[00:29:50.000 --> 00:29:52.000]  可以有兩種反應
[00:29:52.000 --> 00:29:56.000]  這裡表現了一種反應給我們知道
[00:29:56.000 --> 00:29:58.000]  拒絕
[00:29:58.000 --> 00:30:00.000]  耶穌接著就出了一句最經典的說話
[00:30:00.000 --> 00:30:05.000]  大凡先知除了本地本家之外
[00:30:05.000 --> 00:30:12.000]  沒有不被人尊敬的
[00:30:12.000 --> 00:30:16.000]  耶穌說回來的人熟悉你的
[00:30:16.000 --> 00:30:17.000]  不理你的
[00:30:17.000 --> 00:30:20.000]  小看你的
[00:30:20.000 --> 00:30:22.000]  熟不熟悉這些表現
[00:30:22.000 --> 00:30:26.000]  有時候在家裡都會看到的
[00:30:26.000 --> 00:30:28.000]  最不尊重你的那個是誰呢
[00:30:28.000 --> 00:30:31.000]  就是你家人
[00:30:31.000 --> 00:30:32.000]  接著你問
[00:30:32.000 --> 00:30:33.000]  為什麼你這樣說話
[00:30:33.000 --> 00:30:36.000]  這麼熟悉不用理啦
[00:30:36.000 --> 00:30:40.000]  是不是這樣
[00:30:40.000 --> 00:30:43.000]  為什麼這樣情況呢
[00:30:43.000 --> 00:30:47.000]  因為他認為你跟他沒什麼分別
[00:30:47.000 --> 00:30:49.000]  就算你講得多稀奇
[00:30:49.000 --> 00:30:52.000]  他根本不是專注你講的說話
[00:30:52.000 --> 00:30:56.000]  他專注的是你的背景是什麼人
[00:30:56.000 --> 00:30:58.000]  跟這個世界的人一樣
[00:30:58.000 --> 00:31:00.000]  哪個人講話我就信
[00:31:00.000 --> 00:31:04.000]  哪個人講話我就不信
[00:31:04.000 --> 00:31:05.000]  丁姐妹你知不知道最近
[00:31:05.000 --> 00:31:08.000]  在網上有一個姐妹
[00:31:08.000 --> 00:31:11.000]  怎樣評論我們教會的講道
[00:31:11.000 --> 00:31:14.000]  她說她聽了這麼多年
[00:31:14.000 --> 00:31:18.000]  只期望有目者帶給她看
[00:31:18.000 --> 00:31:20.000]  聖經本身的內容
[00:31:20.000 --> 00:31:22.000]  是講些什麼的時候
[00:31:22.000 --> 00:31:24.000]  她說無獨有偶
[00:31:24.000 --> 00:31:26.000]  壯了進來
[00:31:26.000 --> 00:31:27.000]  她這樣說的
[00:31:27.000 --> 00:31:29.000]  聽到我們教會黃牧師的講道
[00:31:29.000 --> 00:31:31.000]  我突然明白
[00:31:31.000 --> 00:31:33.000]  她當中聖經想講的是什麼
[00:31:33.000 --> 00:31:36.000]  她不是因為我是哪一個
[00:31:36.000 --> 00:31:39.000]  她完全不認識我是哪一個
[00:31:39.000 --> 00:31:42.000]  她不需要知道我是哪一個
[00:31:42.000 --> 00:31:44.000]  她只需要知道上帝的說話
[00:31:44.000 --> 00:31:45.000]  講些什麼
[00:31:45.000 --> 00:31:47.000]  她覺得稀奇
[00:31:47.000 --> 00:31:49.000]  她想知道多些
[00:31:49.000 --> 00:31:51.000]  就進來聽
[00:31:51.000 --> 00:31:53.000]  丁姐妹
[00:31:53.000 --> 00:31:55.000]  我們是怎樣處理
[00:31:55.000 --> 00:31:57.000]  耶穌基督的說話呢
[00:31:57.000 --> 00:31:59.000]  是再想聽多些
[00:31:59.000 --> 00:32:02.000]  還是都聽過了
[00:32:02.000 --> 00:32:05.000]  還有什麼新意
[00:32:05.000 --> 00:32:07.000]  她是誰
[00:32:07.000 --> 00:32:08.000]  是誰
[00:32:08.000 --> 00:32:10.000]  是木匠的兒子
[00:32:10.000 --> 00:32:13.000]  她媽媽我都認識
[00:32:13.000 --> 00:32:15.000]  同樣道理
[00:32:15.000 --> 00:32:17.000]  你可以同樣跟我講
[00:32:17.000 --> 00:32:19.000]  我用不著聽黃牧師講
[00:32:19.000 --> 00:32:20.000]  她爸爸我不認識嗎
[00:32:20.000 --> 00:32:23.000]  她爸爸是賣海味的
[00:32:23.000 --> 00:32:25.000]  她媽媽不認識嗎
[00:32:25.000 --> 00:32:29.000]  她媽媽是在街邊做小販的那個
[00:32:29.000 --> 00:32:32.000]  她弟妹她不認識嗎
[00:32:32.000 --> 00:32:35.000]  有一樣東西有什麼特別
[00:32:35.000 --> 00:32:38.000]  你不需要知道這些
[00:32:38.000 --> 00:32:41.000]  因為你聽的是上帝的教訓
[00:32:41.000 --> 00:32:43.000]  耶穌所傳講在整個登山寶訓裡面
[00:32:43.000 --> 00:32:45.000]  就是要告訴信徒
[00:32:45.000 --> 00:32:49.000]  你有沒有上帝的說話在你裡面
[00:32:49.000 --> 00:32:51.000]  如果你有
[00:32:51.000 --> 00:32:53.000]  這些說話就是怎樣
[00:32:53.000 --> 00:32:57.000]  就對你生命有所影響
[00:32:57.000 --> 00:33:01.000]  我不想太過詳細講另外兩個
[00:33:01.000 --> 00:33:03.000]  另外兩個的
[00:33:03.000 --> 00:33:05.000]  其中一個就是當耶穌講完
[00:33:05.000 --> 00:33:08.000]  天國的比喻一連串之後
[00:33:08.000 --> 00:33:11.000]  他就來到有一個財主
[00:33:11.000 --> 00:33:16.000]  來到去問我怎樣才可以進入天國
[00:33:16.000 --> 00:33:18.000]  接著耶穌講完之後
[00:33:18.000 --> 00:33:21.000]  這個財主就悠悠愁愁地走
[00:33:21.000 --> 00:33:25.000]  耶穌就跟他的門徒說
[00:33:25.000 --> 00:33:29.000]  富有的人財主
[00:33:29.000 --> 00:33:32.000]  要進入天國
[00:33:32.000 --> 00:33:38.000]  其實比對駱駝村的針眼
[00:33:38.000 --> 00:33:41.000]  駱駝村針眼更容易
[00:33:41.000 --> 00:33:43.000]  聽清楚這個說話
[00:33:43.000 --> 00:33:45.000]  財主是不是一定進不去天國
[00:33:45.000 --> 00:33:47.000]  不是
[00:33:47.000 --> 00:33:50.000]  很難而已
[00:33:50.000 --> 00:33:52.000]  很難
[00:33:52.000 --> 00:33:54.000]  那你說穆師兄我又不是財主
[00:33:54.000 --> 00:33:56.000]  你為什麼要講這個故事給我聽
[00:33:56.000 --> 00:33:59.000]  財主只是一個比喻式的陳述
[00:33:59.000 --> 00:34:01.000]  只是藉著一個人
[00:34:01.000 --> 00:34:02.000]  他是財主來顯露
[00:34:02.000 --> 00:34:05.000]  不是講一個人有沒有錢這麼簡單
[00:34:05.000 --> 00:34:09.000]  是指一個人他仗賴很多的東西
[00:34:09.000 --> 00:34:14.000]  除了上帝而活在這個世界上面
[00:34:14.000 --> 00:34:16.000]  我們今天很多的信徒
[00:34:16.000 --> 00:34:18.000]  都是仗賴這個世界很多的東西
[00:34:18.000 --> 00:34:20.000]  而活在這個世界上面
[00:34:20.000 --> 00:34:23.000]  但唯獨就是爭上帝
[00:34:23.000 --> 00:34:26.000]  那就難進入天國
[00:34:26.000 --> 00:34:27.000]  駱駝村針眼
[00:34:27.000 --> 00:34:29.000]  你以為真的說駱駝可以穿過針眼
[00:34:29.000 --> 00:34:33.000]  駱駝根本就不可能穿過針眼
[00:34:33.000 --> 00:34:35.000]  這是顯露出
[00:34:35.000 --> 00:34:40.000]  一個這麼微乎其微的可能性的東西
[00:34:40.000 --> 00:34:44.000]  都比一個人
[00:34:44.000 --> 00:34:47.000]  仗賴這個世界一切的東西
[00:34:47.000 --> 00:34:50.000]  而活在這個地上的人
[00:34:50.000 --> 00:34:54.000]  這個人財主是更難進入天國
[00:34:54.000 --> 00:34:56.000]  那些人就覺得稀奇
[00:34:56.000 --> 00:34:58.000]  稀奇的作用是什麼
[00:34:58.000 --> 00:35:01.000]  都是那兩個有神生命的人
[00:35:01.000 --> 00:35:03.000]  想多一點
[00:35:03.000 --> 00:35:05.000]  想知多一點
[00:35:05.000 --> 00:35:07.000]  反思
[00:35:07.000 --> 00:35:08.000]  反思什麼呢
[00:35:08.000 --> 00:35:09.000]  一會兒我會繼續講
[00:35:09.000 --> 00:35:12.000]  但是如果沒有神生命的人怎麼辦
[00:35:12.000 --> 00:35:14.000]  否定
[00:35:14.000 --> 00:35:16.000]  拒絕
[00:35:16.000 --> 00:35:17.000]  門徒就在那裡
[00:35:17.000 --> 00:35:18.000]  稀奇
[00:35:18.000 --> 00:35:20.000]  稀奇之後的結果是怎麼樣
[00:35:20.000 --> 00:35:23.000]  是不是信多一點
[00:35:23.000 --> 00:35:24.000]  可能這個稀奇之後
[00:35:24.000 --> 00:35:27.000]  更加使得那個人更犯罪多一點
[00:35:27.000 --> 00:35:28.000]  典型例子
[00:35:28.000 --> 00:35:31.000]  加勒人猶大就是其中一個
[00:35:31.000 --> 00:35:32.000]  他有沒有聽耶穌的講道
[00:35:32.000 --> 00:35:34.000]  整天都聽
[00:35:34.000 --> 00:35:37.000]  等於你整天都聽我的講道
[00:35:37.000 --> 00:35:39.000]  悶悶
[00:35:39.000 --> 00:35:42.000]  我做了你們牧者多少年
[00:35:42.000 --> 00:35:45.000]  大大話二十幾年
[00:35:45.000 --> 00:35:47.000]  二十幾年聽了這麼多年
[00:35:47.000 --> 00:35:50.000]  有什麼沒聽過
[00:35:50.000 --> 00:35:51.000]  我自己
[00:35:51.000 --> 00:35:52.000]  自己已預備的講章
[00:35:52.000 --> 00:35:55.000]  都發覺很多東西我都沒講過
[00:35:55.000 --> 00:35:57.000]  如果你認為你聽過的
[00:35:57.000 --> 00:35:59.000]  那我真的覺得
[00:35:59.000 --> 00:36:00.000]  你重新要想一想
[00:36:00.000 --> 00:36:02.000]  你聽的是信息
[00:36:02.000 --> 00:36:03.000]  還是只是回來
[00:36:03.000 --> 00:36:06.000]  只是一個形式
[00:36:06.000 --> 00:36:07.000]  而去到最後尾
[00:36:07.000 --> 00:36:08.000]  那個比喻
[00:36:08.000 --> 00:36:12.000]  那個情況更加難堪
[00:36:12.000 --> 00:36:14.000]  在第二十二章裡面
[00:36:14.000 --> 00:36:17.000]  如果我們轉一轉看看
[00:36:17.000 --> 00:36:18.000]  我不詳細講
[00:36:18.000 --> 00:36:19.000]  到時候我講到
[00:36:19.000 --> 00:36:20.000]  如果我還有命
[00:36:20.000 --> 00:36:22.000]  講馬太福音的話
[00:36:22.000 --> 00:36:24.000]  第二十二章
[00:36:24.000 --> 00:36:26.000]  其實當去到第二十二章
[00:36:26.000 --> 00:36:28.000]  第三十三節的時候
[00:36:28.000 --> 00:36:29.000]  那些人稀奇
[00:36:29.000 --> 00:36:31.000]  其實是談論到一件
[00:36:31.000 --> 00:36:34.000]  很特別的事件
[00:36:34.000 --> 00:36:36.000]  這件事件是什麼
[00:36:36.000 --> 00:36:38.000]  就記載在第二十三節
[00:36:38.000 --> 00:36:39.000]  第二十二章
[00:36:39.000 --> 00:36:41.000]  第二十三節裡面
[00:36:41.000 --> 00:36:44.000]  談論到復活的問題
[00:36:44.000 --> 00:36:46.000]  有些殺都該的人
[00:36:46.000 --> 00:36:48.000]  就整天都講
[00:36:48.000 --> 00:36:49.000]  沒有復活
[00:36:49.000 --> 00:36:51.000]  沒有復活這件事情
[00:36:51.000 --> 00:36:52.000]  但是他又要走來
[00:36:52.000 --> 00:36:53.000]  去找耶穌
[00:36:53.000 --> 00:36:55.000]  去挑戰耶穌
[00:36:55.000 --> 00:36:57.000]  於是乎怎麼樣
[00:36:57.000 --> 00:37:00.000]  他們就舉例了一個現象
[00:37:00.000 --> 00:37:01.000]  他說
[00:37:01.000 --> 00:37:02.000]  夫子摩西說
[00:37:02.000 --> 00:37:05.000]  人若死了沒有孩子
[00:37:05.000 --> 00:37:07.000]  他兄弟當取他的妻
[00:37:07.000 --> 00:37:09.000]  這個其實是出自於
[00:37:09.000 --> 00:37:13.000]  舊約新明記裡面的一個
[00:37:13.000 --> 00:37:14.000]  我們叫做
[00:37:14.000 --> 00:37:22.000]  續取延後的一個社群觀念規定
[00:37:22.000 --> 00:37:23.000]  於是乎這幫人
[00:37:23.000 --> 00:37:25.000]  就作了這樣的故事
[00:37:25.000 --> 00:37:26.000]  他說有一個婦人
[00:37:26.000 --> 00:37:28.000]  她嫁了給一個男士
[00:37:28.000 --> 00:37:29.000]  死了
[00:37:29.000 --> 00:37:31.000]  這位男士總共有七個兄弟
[00:37:31.000 --> 00:37:32.000]  包括她自己
[00:37:32.000 --> 00:37:34.000]  誰知嫁了
[00:37:34.000 --> 00:37:35.000]  沒有子女
[00:37:35.000 --> 00:37:36.000]  又死了
[00:37:36.000 --> 00:37:37.000]  她老公
[00:37:37.000 --> 00:37:38.000]  然後她兄弟續取
[00:37:38.000 --> 00:37:39.000]  續取又死了
[00:37:39.000 --> 00:37:40.000]  死了又續取
[00:37:40.000 --> 00:37:41.000]  續取又死了
[00:37:41.000 --> 00:37:42.000]  死了又續取
[00:37:42.000 --> 00:37:43.000]  續取又死了
[00:37:43.000 --> 00:37:44.000]  講到我都悶了
[00:37:44.000 --> 00:37:46.000]  總共七次
[00:37:46.000 --> 00:37:48.000]  耶穌接著就被這幫人問
[00:37:48.000 --> 00:37:51.000]  最後這個婦人都死了
[00:37:51.000 --> 00:37:53.000]  那麼在復活的時候
[00:37:53.000 --> 00:37:54.000]  如果你說有復活
[00:37:54.000 --> 00:37:55.000]  復活的時候
[00:37:55.000 --> 00:37:56.000]  那麼這個婦人
[00:37:56.000 --> 00:38:00.000]  究竟是哪一個人的妻子
[00:38:00.000 --> 00:38:02.000]  耶穌接著就有二十九次的回答
[00:38:02.000 --> 00:38:04.000]  一開始就說
[00:38:04.000 --> 00:38:07.000]  你們錯了
[00:38:07.000 --> 00:38:08.000]  錯在什麼
[00:38:08.000 --> 00:38:10.000]  是不是耶穌說你錯就錯
[00:38:10.000 --> 00:38:11.000]  不是耶穌說
[00:38:11.000 --> 00:38:14.000]  因為你不明白聖經
[00:38:14.000 --> 00:38:18.000]  也不曉得神的大能
[00:38:18.000 --> 00:38:21.000]  聽起來好像摸不著邊際的說話
[00:38:21.000 --> 00:38:23.000]  怎樣不明白聖經
[00:38:23.000 --> 00:38:26.000]  怎樣不曉得上帝的大能呢
[00:38:26.000 --> 00:38:28.000]  將來我講到這裡我會講
[00:38:28.000 --> 00:38:31.000]  不過當耶穌講完之後
[00:38:31.000 --> 00:38:32.000]  他就這樣陳述
[00:38:32.000 --> 00:38:34.000]  他說當復活的時候
[00:38:34.000 --> 00:38:36.000]  人也不取也不嫁
[00:38:36.000 --> 00:38:38.000]  乃像天上的使者一樣
[00:38:38.000 --> 00:38:39.000]  論到死人復活
[00:38:39.000 --> 00:38:41.000]  神就經常向你們所說的
[00:38:41.000 --> 00:38:43.000]  你們沒有念過嗎
[00:38:43.000 --> 00:38:45.000]  接著耶穌就說給他聽
[00:38:45.000 --> 00:38:47.000]  我是
[00:38:47.000 --> 00:38:49.000]  聖經說
[00:38:49.000 --> 00:38:51.000]  上帝說
[00:38:51.000 --> 00:38:54.000]  我是亞伯拉罕的神
[00:38:54.000 --> 00:38:55.000]  以撒的神
[00:38:55.000 --> 00:38:56.000]  雅各的神
[00:38:56.000 --> 00:38:58.000]  上帝不是死人的神
[00:38:58.000 --> 00:38:59.000]  乃是活人的神
[00:38:59.000 --> 00:39:01.000]  眾人聽完這話
[00:39:01.000 --> 00:39:03.000]  就希其他的教訓
[00:39:03.000 --> 00:39:05.000]  又是他的教訓
[00:39:05.000 --> 00:39:07.000]  希其的什麼
