
[00:00:00.000 --> 00:00:01.960]  一連三堂的系列
[00:14:40.000 --> 00:14:42.000]  帶給很多很多的人
[00:14:42.000 --> 00:14:43.000]  所以這個是不同
[00:14:43.000 --> 00:14:45.000]  所以當基督徒要考慮到
[00:14:45.000 --> 00:14:47.000]  立法的問題的時候
[00:14:47.000 --> 00:14:48.000]  至少你要留意到一點
[00:14:48.000 --> 00:14:50.000]  首先你要分辨
[00:14:50.000 --> 00:14:52.000]  這個issue是不道德
[00:14:52.000 --> 00:14:53.000]  但是不道德
[00:14:53.000 --> 00:14:54.000]  不是automatically
[00:14:54.000 --> 00:14:56.000]  會變成不合法的
[00:14:56.000 --> 00:14:57.000]  當你決定了一個
[00:14:57.000 --> 00:14:58.000]  不道德的issue
[00:14:58.000 --> 00:14:59.000]  變成不合法的時候
[00:14:59.000 --> 00:15:01.000]  你要考慮這條法律
[00:15:01.000 --> 00:15:03.000]  它出來的可執行性有多高
[00:15:03.000 --> 00:15:05.000]  所以這就是兩條
[00:15:05.000 --> 00:15:06.000]  很重要的guideline
[00:15:06.000 --> 00:15:07.000]  所以不要說
[00:15:07.000 --> 00:15:10.000]  反正它合乎聖經的不道德
[00:15:10.000 --> 00:15:11.000]  那就automatically
[00:15:11.000 --> 00:15:12.000]  不管了
[00:15:12.000 --> 00:15:14.000]  就讓它立法管制
[00:15:14.000 --> 00:15:16.000]  但是這個要分辨清楚
[00:15:16.000 --> 00:15:17.000]  有些東西是
[00:15:17.000 --> 00:15:18.000]  真的只能夠在
[00:15:18.000 --> 00:15:19.000]  道德的層面處理
[00:15:19.000 --> 00:15:20.000]  有些東西可以立法
[00:15:20.000 --> 00:15:21.000]  那你要分辨出
[00:15:21.000 --> 00:15:23.000]  哪種是哪種
[00:15:23.000 --> 00:15:24.000]  這個Philip Yancey
[00:15:24.000 --> 00:15:27.000]  當年因為他
[00:15:27.000 --> 00:15:28.000]  其實他寫這本書
[00:15:28.000 --> 00:15:30.000]  他背後有個故事
[00:15:30.000 --> 00:15:31.000]  這個故事就是
[00:15:31.000 --> 00:15:34.000]  當年他寫了一篇
[00:15:34.000 --> 00:15:36.000]  做了一個很詳細的調查
[00:15:36.000 --> 00:15:37.000]  他去調查
[00:15:37.000 --> 00:15:39.000]  當年的Bill Clinton
[00:15:39.000 --> 00:15:40.000]  克林頓總統
[00:15:40.000 --> 00:15:41.000]  他的生平
[00:15:41.000 --> 00:15:43.000]  他去做調查的時候
[00:15:43.000 --> 00:15:46.000]  他做了一個挺 thorough的study
[00:15:46.000 --> 00:15:48.000]  他去訪問了
[00:15:48.000 --> 00:15:50.000]  Bill Clinton的小學同學
[00:15:50.000 --> 00:15:51.000]  他的中學同學 大學同學
[00:15:51.000 --> 00:15:52.000]  大學團契的導師
[00:15:52.000 --> 00:15:53.000]  他教的牧師
[00:15:53.000 --> 00:15:54.000]  跟他一起
[00:15:54.000 --> 00:15:55.000]  以前在教會
[00:15:55.000 --> 00:15:57.000]  Bill Clinton在大學時期
[00:15:57.000 --> 00:15:58.000]  都挺熱心的
[00:15:58.000 --> 00:15:59.000]  侍奉過的
[00:15:59.000 --> 00:16:01.000]  他的童工那些
[00:16:01.000 --> 00:16:03.000]  最後他就得出一個結論
[00:16:03.000 --> 00:16:04.000]  至少他覺得
[00:16:04.000 --> 00:16:06.000]  Bill Clinton都算是一個
[00:16:06.000 --> 00:16:08.000]  genuine的Christian
[00:16:08.000 --> 00:16:10.000]  後來這篇文章
[00:16:10.000 --> 00:16:12.000]  就被Christianity Today
[00:16:12.000 --> 00:16:13.000]  拿去用了
[00:16:13.000 --> 00:16:14.000]  Christianity Today
[00:16:14.000 --> 00:16:16.000]  為了吸引多些讀者去讀
[00:16:16.000 --> 00:16:17.000]  就起了一個
[00:16:17.000 --> 00:16:19.000]  非常有爭議性的名字
[00:16:19.000 --> 00:16:20.000]  叫做
[00:16:20.000 --> 00:16:22.000]  Why Bill Clinton isn't the Antichrist
[00:16:22.000 --> 00:16:25.000]  為什麼克林頓不是迪基督
[00:16:25.000 --> 00:16:26.000]  所以引很多人去讀
[00:16:26.000 --> 00:16:28.000]  因為很多人讀
[00:16:28.000 --> 00:16:30.000]  所以這篇雜誌就去到
[00:16:30.000 --> 00:16:33.000]  克林頓總統的檯面
[00:16:33.000 --> 00:16:36.000]  當年因為abortion issue
[00:16:36.000 --> 00:16:39.000]  和剛好Lewinsky case出來的時候
[00:16:39.000 --> 00:16:42.000]  很多福音派的牧師去罵克林頓
[00:16:42.000 --> 00:16:44.000]  說他哪個是Christian
[00:16:44.000 --> 00:16:45.000]  於是他就覺得
[00:16:45.000 --> 00:16:46.000]  在教會界
[00:16:46.000 --> 00:16:49.000]  福音派好像沒什麼支持
[00:16:49.000 --> 00:16:51.000]  於是為了拯救這個危機
[00:16:51.000 --> 00:16:52.000]  就請了很多福音派的
[00:16:52.000 --> 00:16:53.000]  有頭有臉的牧師
[00:16:53.000 --> 00:16:54.000]  跟他吃早餐
[00:16:54.000 --> 00:16:56.000]  Philip Yancey是其中一個
[00:16:56.000 --> 00:16:57.000]  吃完早餐之後
[00:16:57.000 --> 00:16:59.000]  Philip Yancey就跟他
[00:16:59.000 --> 00:17:01.000]  有一個很詳細的訪問
[00:17:01.000 --> 00:17:04.000]  訪問他為什麼會支持
[00:17:04.000 --> 00:17:06.000]  abortion合法
[00:17:06.000 --> 00:17:10.000]  最後克林頓給出來的理由
[00:17:10.000 --> 00:17:11.000]  quote是這麼說的
[00:17:11.000 --> 00:17:12.000]  他就說
[00:17:12.000 --> 00:17:14.000]  As a Christian
[00:17:14.000 --> 00:17:16.000]  他絕對是知道
[00:17:16.000 --> 00:17:19.000]  abortion是不道德的
[00:17:19.000 --> 00:17:20.000]  這個絕對是錯的
[00:17:20.000 --> 00:17:21.000]  他說他是一個
[00:17:21.000 --> 00:17:22.000]  Bible believing Christian
[00:17:22.000 --> 00:17:23.000]  所以As a Christian
[00:17:23.000 --> 00:17:26.000]  他絕對是oppose abortion
[00:17:26.000 --> 00:17:27.000]  但是他說
[00:17:27.000 --> 00:17:30.000]  As a President of the United States
[00:17:30.000 --> 00:17:31.000]  作為美國的總統
[00:17:31.000 --> 00:17:33.000]  他不能夠將所有
[00:17:33.000 --> 00:17:35.000]  聖經認為不道德的東西
[00:17:35.000 --> 00:17:37.000]  automatically變成不合法
[00:17:37.000 --> 00:17:38.000]  因為你要考慮到
[00:17:38.000 --> 00:17:40.000]  其他宗教或者非信仰人士
[00:17:40.000 --> 00:17:42.000]  他們的自由
[00:17:42.000 --> 00:17:44.000]  這個就是他的立場
[00:17:44.000 --> 00:17:46.000]  所以當你明白一個基督徒
[00:17:46.000 --> 00:17:48.000]  至少他自稱基督徒的總統
[00:17:48.000 --> 00:17:50.000]  為什麼會
[00:17:50.000 --> 00:17:52.000]  會去oppose一些
[00:17:52.000 --> 00:17:54.000]  作為你想要立法的
[00:17:54.000 --> 00:17:56.000]  一些不道德變成不合法的時候
[00:17:56.000 --> 00:17:58.000]  他會去反對的時候
[00:17:58.000 --> 00:18:00.000]  他的立場不是因為他不相信聖經
[00:18:00.000 --> 00:18:01.000]  而是因為他不相信
[00:18:01.000 --> 00:18:02.000]  所有不道德的東西
[00:18:02.000 --> 00:18:04.000]  automatically應該變成不合法
[00:18:04.000 --> 00:18:06.000]  這個就是他的觀念
[00:18:06.000 --> 00:18:09.000]  也是當年C.S. Lewis的觀念
[00:18:09.000 --> 00:18:11.000]  C.S. Lewis是文學大師
[00:18:11.000 --> 00:18:12.000]  也是護教家
[00:18:12.000 --> 00:18:14.000]  當年在英國的時候
[00:18:14.000 --> 00:18:17.000]  當年英國推離婚合法化
[00:18:17.000 --> 00:18:20.000]  當年基督徒很多都反對
[00:18:20.000 --> 00:18:22.000]  因為聖經說離婚是不道德的
[00:18:22.000 --> 00:18:24.000]  怎麼可以合法呢
[00:18:24.000 --> 00:18:26.000]  但是偏偏C.S. Lewis
[00:18:26.000 --> 00:18:28.000]  那時候影響力很大
[00:18:28.000 --> 00:18:30.000]  C.S. Lewis居然
[00:18:30.000 --> 00:18:34.000]  居然真的支持離婚合法
[00:18:34.000 --> 00:18:36.000]  所以當年很多Evangelical Christian
[00:18:36.000 --> 00:18:37.000]  出來罵他
[00:18:37.000 --> 00:18:39.000]  C.S. Lewis叛教
[00:18:39.000 --> 00:18:41.000]  不信聖經權威
[00:18:41.000 --> 00:18:42.000]  完全不是這樣的一回事
[00:18:42.000 --> 00:18:44.000]  接著C.S. Lewis也是
[00:18:44.000 --> 00:18:46.000]  exactly一樣的立場
[00:18:46.000 --> 00:18:48.000]  他作為一個Christian
[00:18:48.000 --> 00:18:49.000]  在道德的層面
[00:18:49.000 --> 00:18:51.000]  我絕對絕對反對離婚
[00:18:51.000 --> 00:18:53.000]  因為聖經說的很清楚
[00:18:53.000 --> 00:18:55.000]  但是在社會立法的層面
[00:18:55.000 --> 00:18:57.000]  他說作為基督徒
[00:18:57.000 --> 00:18:59.000]  我們沒有任何的權利
[00:18:59.000 --> 00:19:02.000]  透過立法去強迫我們的國民
[00:19:02.000 --> 00:19:03.000]  包括其他信仰
[00:19:03.000 --> 00:19:05.000]  或者非信仰的國民
[00:19:05.000 --> 00:19:09.000]  必須要照著基督徒的價值觀來生活
[00:19:09.000 --> 00:19:11.000]  這個就很不同
[00:19:11.000 --> 00:19:14.000]  你將這個issue留在不道德的層面
[00:19:14.000 --> 00:19:16.000]  透過福音去轉化人的生命
[00:19:16.000 --> 00:19:18.000]  和你立法強制人
[00:19:18.000 --> 00:19:20.000]  必須要活出聖靈的果子
[00:19:20.000 --> 00:19:22.000]  這是兩個完全不同的issue
[00:19:22.000 --> 00:19:25.000]  所以大家要很明白
[00:19:25.000 --> 00:19:32.000]  至少我認識所有支持同性婚姻的基督徒
[00:19:32.000 --> 00:19:36.000]  所有都相信同性婚姻是犯罪
[00:19:36.000 --> 00:19:39.000]  這就是福音派很多不明白的地方
[00:19:39.000 --> 00:19:40.000]  你支持同性婚姻
[00:19:40.000 --> 00:19:41.000]  你不信聖經
[00:19:41.000 --> 00:19:42.000]  你異端
[00:19:42.000 --> 00:19:43.000]  當然你要問清楚
[00:19:43.000 --> 00:19:44.000]  如果他真的不信聖經
[00:19:44.000 --> 00:19:46.000]  我覺得同性戀不是犯罪
[00:19:46.000 --> 00:19:48.000]  是道德的異端
[00:19:48.000 --> 00:19:53.000]  同性戀也可以做牧師的異端
[00:19:53.000 --> 00:19:54.000]  你可以這樣說
[00:19:54.000 --> 00:19:56.000]  但很大部分人
[00:19:56.000 --> 00:19:59.000]  至少我認識所有基督徒支持同性婚姻
[00:19:59.000 --> 00:20:02.000]  他的立場都不是認為同性婚姻不犯罪
[00:20:02.000 --> 00:20:05.000]  只是他認為這個issue
[00:20:05.000 --> 00:20:07.000]  放在不道德的立場去處理
[00:20:07.000 --> 00:20:09.000]  比立法處理好
[00:20:09.000 --> 00:20:11.000]  這個就是他們
[00:20:11.000 --> 00:20:13.000]  所以我鼓勵大家
[00:20:13.000 --> 00:20:14.000]  要成熟一點
[00:20:14.000 --> 00:20:16.000]  跟不同立場的人去聊天
[00:20:16.000 --> 00:20:18.000]  有一個intellectual conversation
[00:20:18.000 --> 00:20:19.000]  你要聊天之前
[00:20:19.000 --> 00:20:21.000]  至少要明白對方的立場
[00:20:21.000 --> 00:20:23.000]  大部分我所認識的年輕人
[00:20:23.000 --> 00:20:24.000]  都是這個立場
[00:20:24.000 --> 00:20:25.000]  都是年輕的Christian
[00:20:25.000 --> 00:20:26.000]  他們相信聖經的權威
[00:20:26.000 --> 00:20:28.000]  也相信同性戀絕對是錯
[00:20:28.000 --> 00:20:29.000]  絕對不道德
[00:20:29.000 --> 00:20:31.000]  也不鼓勵
[00:20:31.000 --> 00:20:33.000]  但他們只是不相信
[00:20:33.000 --> 00:20:34.000]  這樣不道德的東西
[00:20:34.000 --> 00:20:37.000]  應該離開不道德的立場
[00:20:37.000 --> 00:20:39.000]  去到法律的立場
[00:20:39.000 --> 00:20:41.000]  他們只是反對這個shifting
[00:20:41.000 --> 00:20:44.000]  他們寧願放在不道德的立場
[00:20:44.000 --> 00:20:46.000]  不斷用福音轉化
[00:20:46.000 --> 00:20:47.000]  這個就是他們的立場
[00:20:47.000 --> 00:20:49.000]  所以至少你跟他們對話的時候
[00:20:49.000 --> 00:20:50.000]  你知道我不同意你
[00:20:50.000 --> 00:20:52.000]  但至少你不同意哪一樣
[00:20:52.000 --> 00:20:55.000]  你要舉出一個convincing的理由
[00:20:55.000 --> 00:20:56.000]  告訴他
[00:20:56.000 --> 00:20:57.000]  為什麼這樣不道德的東西
[00:20:57.000 --> 00:20:58.000]  應該變成不合法
[00:20:58.000 --> 00:21:01.000]  並且這條法律立了之後
[00:21:01.000 --> 00:21:03.000]  是可以執行的
[00:21:03.000 --> 00:21:05.000]  而且是有效的
[00:21:05.000 --> 00:21:07.000]  所以這個是需要我們處理的
[00:21:07.000 --> 00:21:09.000]  所以這個就是Philip Yancey
[00:21:09.000 --> 00:21:10.000]  這本書裡面
[00:21:10.000 --> 00:21:13.000]  給我其中一個最大的提醒
[00:21:13.000 --> 00:21:16.000]  也是給所有基督徒一個參考
[00:21:16.000 --> 00:21:19.000]  將來你遇到任何的法案的時候
[00:21:19.000 --> 00:21:20.000]  任何人跟你說
[00:21:20.000 --> 00:21:24.000]  這個東西應該透過法律的途徑來制止
[00:21:24.000 --> 00:21:26.000]  你首先就要問
[00:21:26.000 --> 00:21:27.000]  這條當然首先問
[00:21:27.000 --> 00:21:29.000]  是不是真的符合聖經的道德
[00:21:29.000 --> 00:21:30.000]  第二就是
[00:21:30.000 --> 00:21:33.000]  它應該留在不道德的層面處理
[00:21:33.000 --> 00:21:36.000]  還是需要變成一個立法的層面處理
[00:21:36.000 --> 00:21:40.000]  這個就是大家需要做分辨
[00:21:40.000 --> 00:21:42.000]  也求神給我們分辨的能力
[00:21:42.000 --> 00:21:44.000]  知道哪條法案應該支持
[00:21:44.000 --> 00:21:47.000]  或者哪條法案不應該支持
[00:21:47.000 --> 00:21:48.000]  這個就是給大家的提醒
[00:21:48.000 --> 00:21:49.000]  最後這一堂
[00:21:49.000 --> 00:21:51.000]  今天我們想看的經文
[00:21:51.000 --> 00:21:54.000]  也是跟剛剛我們所說的有關
[00:21:54.000 --> 00:21:58.000]  就是聖經給我們一個非常非常大的盼望
[00:21:58.000 --> 00:22:01.000]  就是原來神有一個很重要的計劃
[00:22:01.000 --> 00:22:04.000]  這個計劃就是透過教會
[00:22:04.000 --> 00:22:06.000]  來帶給這個世界的盼望
[00:22:06.000 --> 00:22:10.000]  所以教會才是這個世界真正唯一的盼望
[00:22:10.000 --> 00:22:13.000]  在馬蒂芬的十六章十三到十八節
[00:22:13.000 --> 00:22:14.000]  那裡是這樣說的
[00:22:14.000 --> 00:22:15.000]  那裡說
[00:22:15.000 --> 00:22:19.000]  耶穌到了該撒尼亞肥納比的境內
[00:22:19.000 --> 00:22:20.000]  就問門徒說
[00:22:20.000 --> 00:22:22.000]  人說我人子是誰
[00:22:22.000 --> 00:22:24.000]  他們說有人說是施洗的約翰
[00:22:24.000 --> 00:22:26.000]  有人說是以利亞
[00:22:26.000 --> 00:22:30.000]  又有人說是耶利米和先知裡的一位
[00:22:30.000 --> 00:22:31.000]  耶穌說
[00:22:31.000 --> 00:22:32.000]  你們說我是誰
[00:22:32.000 --> 00:22:34.000]  西門彼得回答說
[00:22:34.000 --> 00:22:37.000]  你是基督是永生神的兒子
[00:22:37.000 --> 00:22:39.000]  耶穌對他說
[00:22:39.000 --> 00:22:41.000]  西門巴約拿
[00:22:41.000 --> 00:22:42.000]  你是有福的
[00:22:42.000 --> 00:22:44.000]  因為這不是屬血肉的
[00:22:44.000 --> 00:22:45.000]  只是你的
[00:22:45.000 --> 00:22:48.000]  乃是我在天上的父子是的
[00:22:48.000 --> 00:22:49.000]  我還告訴你
[00:22:49.000 --> 00:22:50.000]  你是彼得
[00:22:50.000 --> 00:22:54.000]  我要把我的教會建造在這盤石上
[00:22:54.000 --> 00:22:56.000]  陰間的權柄
[00:22:56.000 --> 00:22:57.000]  或者原文是
[00:22:57.000 --> 00:23:01.000]  陰間的門也不能勝過他
[00:23:01.000 --> 00:23:03.000]  這些聖經很特別
[00:23:03.000 --> 00:23:04.000]  這些聖經是
[00:23:04.000 --> 00:23:08.000]  全本聖經裡面第一次提到教會這個字
[00:23:08.000 --> 00:23:11.000]  舊約是沒有提到教會的
[00:23:11.000 --> 00:23:14.000]  所以猶太人為什麼從來不知道教會是什麼
[00:23:14.000 --> 00:23:15.000]  怎麼會有教會這樣的事
[00:23:15.000 --> 00:23:16.000]  我們一向都知道
[00:23:16.000 --> 00:23:18.000]  我們只是有聖殿
[00:23:18.000 --> 00:23:19.000]  有會堂
[00:23:19.000 --> 00:23:20.000]  是沒有教會的
[00:23:20.000 --> 00:23:23.000]  他們一向的印象就是
[00:23:23.000 --> 00:23:24.000]  因為舊約
[00:23:24.000 --> 00:23:26.000]  先知從來沒有提到教會這件事
[00:23:26.000 --> 00:23:27.000]  他只是提到
[00:23:27.000 --> 00:23:31.000]  在末後神要拆敗舊主尼塞亞會降臨
[00:23:31.000 --> 00:23:33.000]  所以猶太人就覺得尼塞亞尼
[00:23:33.000 --> 00:23:36.000]  是要拯救他們脫離羅馬帝國
[00:23:36.000 --> 00:23:38.000]  這個邪惡的政權
[00:23:38.000 --> 00:23:39.000]  所以對他們來說
[00:23:39.000 --> 00:23:40.000]  他們一向都覺得
[00:23:40.000 --> 00:23:43.000]  我們是正義的一派
[00:23:43.000 --> 00:23:46.000]  尤其是耶穌來的年代
[00:23:46.000 --> 00:23:47.000]  有一些法利塞人
[00:23:47.000 --> 00:23:49.000]  法利塞人其實是很嚴謹
[00:23:49.000 --> 00:23:50.000]  遵守神的律法
[00:23:50.000 --> 00:23:54.000]  另外羅馬帝國的人就非常道德墮落
[00:23:54.000 --> 00:23:56.000]  所以他們很看不起那些外邦人
[00:23:56.000 --> 00:23:58.000]  羅馬帝國那麼邪惡
[00:23:58.000 --> 00:23:59.000]  那麼淫亂
[00:23:59.000 --> 00:24:01.000]  生活又那麼不檢點
[00:24:01.000 --> 00:24:02.000]  但是我們呢
[00:24:02.000 --> 00:24:03.000]  我們聖潔的子民
[00:24:03.000 --> 00:24:05.000]  我們守到神的律法
[00:24:05.000 --> 00:24:07.000]  所以他們一向都在想
[00:24:07.000 --> 00:24:08.000]  我們是站在神這邊的
[00:24:08.000 --> 00:24:10.000]  尼塞亞尼的時候
[00:24:10.000 --> 00:24:11.000]  絕對站在我們這邊
[00:24:11.000 --> 00:24:15.000]  幫我們一起去打倒羅馬帝國的政權
[00:24:15.000 --> 00:24:17.000]  然後我們神的國就降臨
[00:24:17.000 --> 00:24:20.000]  然後就成立一個叫神權的國度
[00:24:20.000 --> 00:24:22.000]  直接管理這個國家
[00:24:22.000 --> 00:24:24.000]  那就天下太平了
[00:24:24.000 --> 00:24:25.000]  人間豐盛
[00:24:25.000 --> 00:24:27.000]  所以他們基本上懷著這樣的盼望
[00:24:27.000 --> 00:24:29.000]  這樣的神學觀念
[00:24:29.000 --> 00:24:32.000]  但是到主耶穌來的時候
[00:24:32.000 --> 00:24:35.000]  他們就發覺你們自稱是尼塞亞
[00:24:35.000 --> 00:24:38.000]  我打死都不信尼塞亞是這樣的
[00:24:38.000 --> 00:24:39.000]  絕對不信
[00:24:39.000 --> 00:24:43.000]  也想不到主耶穌居然是被他們釘在十字架上死了
[00:24:43.000 --> 00:24:46.000]  所以他們決定不要這個王
[00:24:46.000 --> 00:24:49.000]  所以主耶穌在馬太福音
[00:24:49.000 --> 00:24:50.000]  很多神學家說這一段
[00:24:50.000 --> 00:24:52.000]  是開始說到神
[00:24:52.000 --> 00:24:56.000]  將他心裡面真正的計劃顯露出來
[00:24:56.000 --> 00:24:59.000]  原來神真正的計劃和猶太人想的不一樣
[00:24:59.000 --> 00:25:02.000]  神的計劃不是直接尼塞亞來到
[00:25:02.000 --> 00:25:06.000]  就直接幫助猶太人推翻羅馬政權
[00:25:06.000 --> 00:25:08.000]  神說我真正的計劃是什麼
[00:25:08.000 --> 00:25:10.000]  是建立教會
[00:25:10.000 --> 00:25:13.000]  這就是神第一次透過馬太
[00:25:13.000 --> 00:25:15.000]  透過主耶穌的口
[00:25:15.000 --> 00:25:20.000]  第一次review啟示了神對這個世代一個計劃
[00:25:20.000 --> 00:25:23.000]  神說我不是要推倒任何一個邪惡的政權
[00:25:23.000 --> 00:25:26.000]  我是要建立一間教會
[00:25:26.000 --> 00:25:30.000]  教會才是真正改變整個世界
[00:25:30.000 --> 00:25:32.000]  這個世界唯一的盼望
[00:25:32.000 --> 00:25:35.000]  所以主耶穌的來到對猶太人來說
[00:25:35.000 --> 00:25:38.000]  是一個180度的轉變和打擊
[00:25:38.000 --> 00:25:40.000]  你可以想像他們原先真的以為
[00:25:40.000 --> 00:25:42.000]  我是聖潔的
[00:25:42.000 --> 00:25:44.000]  我是主耶穌那邊的
[00:25:44.000 --> 00:25:45.000]  所以尼塞亞來到
[00:25:45.000 --> 00:25:48.000]  應該是幫助我推翻羅馬政權
[00:25:48.000 --> 00:25:50.000]  但當神的兒子來到的時候
[00:25:50.000 --> 00:25:51.000]  他們突然發覺
[00:25:51.000 --> 00:25:56.000]  糟糕了 我殺了神的兒子
[00:25:56.000 --> 00:25:57.000]  那個moment很重要
[00:25:57.000 --> 00:25:58.000]  丁突然發覺
[00:25:58.000 --> 00:26:02.000]  原來我和羅馬帝國的人一樣邪惡
[00:26:02.000 --> 00:26:05.000]  我一向以為我是很聖潔
[00:26:05.000 --> 00:26:07.000]  我很渴望神快點來
[00:26:07.000 --> 00:26:08.000]  神的兒子來的時候
[00:26:08.000 --> 00:26:11.000]  原來我殺了他
[00:26:11.000 --> 00:26:14.000]  我跟大家說過很多次
[00:26:14.000 --> 00:26:17.000]  以前在音樂學院的學生就是這樣
[00:26:17.000 --> 00:26:18.000]  上海音樂學院
[00:26:18.000 --> 00:26:19.000]  平時沒事的時候
[00:26:19.000 --> 00:26:22.000]  穿著天使一般白色的校服
[00:26:22.000 --> 00:26:24.000]  彈著古典音樂
[00:26:24.000 --> 00:26:25.000]  所有人都說
[00:26:25.000 --> 00:26:26.000]  學音樂的細路不會變壞
[00:26:26.000 --> 00:26:28.000]  大家都說天使啊
[00:26:28.000 --> 00:26:31.000]  這班小清新
[00:26:31.000 --> 00:26:33.000]  沒想到在文革的時候
[00:26:33.000 --> 00:26:35.000]  這班學生居然是第一批學生出來
[00:26:35.000 --> 00:26:37.000]  拿著煮滾的熱水
[00:26:37.000 --> 00:26:41.000]  從老師的耳朵尖沙將他燙死
[00:26:41.000 --> 00:26:42.000]  一分鐘前
[00:26:42.000 --> 00:26:45.000]  還是一個天使般的小學生
[00:26:45.000 --> 00:26:47.000]  真是小清新
[00:26:47.000 --> 00:26:48.000]  一分鐘之後
[00:26:48.000 --> 00:26:50.000]  變得比羅馬帝國更加邪惡
[00:26:50.000 --> 00:26:53.000]  那個時刻很重要
[00:26:53.000 --> 00:26:54.000]  一分鐘前
[00:26:54.000 --> 00:26:57.000]  你還是法利塞人
[00:26:57.000 --> 00:26:58.000]  我聖潔的
[00:26:58.000 --> 00:26:59.000]  我堅守律法
[00:26:59.000 --> 00:27:00.000]  一分鐘之後
[00:27:00.000 --> 00:27:02.000]  你居然在比拉多面前大喊
[00:27:02.000 --> 00:27:04.000]  放了一個殺人犯釘耶穌
[00:27:04.000 --> 00:27:07.000]  將神的兒子活生生釘死
[00:27:07.000 --> 00:27:11.000]  一瞬間從一個你認為最聖潔的人
[00:27:11.000 --> 00:27:14.000]  變成比羅馬帝國的兵兵更加邪惡
[00:27:14.000 --> 00:27:16.000]  你看到主耶穌被鞭打的時候
[00:27:16.000 --> 00:27:18.000]  他們在旁邊拍掌
[00:27:18.000 --> 00:27:21.000]  釘死他
[00:27:21.000 --> 00:27:23.000]  主耶穌的來到
[00:27:23.000 --> 00:27:26.000]  讓他們有一個180度的看法
[00:27:26.000 --> 00:27:27.000]  他們以為
[00:27:27.000 --> 00:27:29.000]  這個世界所有的問題
[00:27:29.000 --> 00:27:31.000]  就是因為這個政權邪惡
[00:27:31.000 --> 00:27:33.000]  我是沒有問題
[00:27:33.000 --> 00:27:36.000]  神理治這個邪惡的政權
[00:27:36.000 --> 00:27:37.000]  但主耶穌來到的時候
[00:27:37.000 --> 00:27:39.000]  他們突然發覺
[00:27:39.000 --> 00:27:40.000]  我的天啊
[00:27:40.000 --> 00:27:42.000]  我是同樣的問題
[00:27:42.000 --> 00:27:45.000]  原來我和他們一樣邪惡
[00:27:45.000 --> 00:27:47.000]  所以主耶穌來到的時候
[00:27:47.000 --> 00:27:49.000]  就將猶太人
[00:27:49.000 --> 00:27:51.000]  羅馬帝國所有的外邦人
[00:27:51.000 --> 00:27:54.000]  全部都圈在同一個位置
[00:27:54.000 --> 00:27:56.000]  全部都是罪人
[00:27:56.000 --> 00:27:57.000]  所以主耶穌說
[00:27:57.000 --> 00:27:58.000]  我不是救某一部分的人
[00:27:58.000 --> 00:28:00.000]  推倒某一部分的政權
[00:28:00.000 --> 00:28:02.000]  我是救所有的人
[00:28:02.000 --> 00:28:04.000]  從罪裡面出來
[00:28:04.000 --> 00:28:07.000]  這個就是主耶穌要來
[00:28:07.000 --> 00:28:09.000]  成立教會要做的事
[00:28:09.000 --> 00:28:11.000]  而教會所傳講的
[00:28:11.000 --> 00:28:13.000]  就是這個訊息
[00:28:13.000 --> 00:28:15.000]  不是神偏向某一個國家
[00:28:15.000 --> 00:28:16.000]  某一個政權
[00:28:16.000 --> 00:28:17.000]  而推翻某一個政權
[00:28:17.000 --> 00:28:19.000]  而是神藉著主耶穌來到
[00:28:19.000 --> 00:28:21.000]  將所有以為
[00:28:21.000 --> 00:28:22.000]  這個世界的問題
[00:28:22.000 --> 00:28:23.000]  就是因為某一個政權
[00:28:23.000 --> 00:28:24.000]  與我無關
[00:28:24.000 --> 00:28:26.000]  所有的人都有那個
[00:28:26.000 --> 00:28:27.000]  awakening moment
[00:28:27.000 --> 00:28:28.000]  突然間知道
[00:28:28.000 --> 00:28:29.000]  我的天啊
[00:28:29.000 --> 00:28:31.000]  原來我和他們一樣邪惡
[00:28:31.000 --> 00:28:34.000]  原來我是需要主耶穌的救贖
[00:28:34.000 --> 00:28:36.000]  是這個救贖的訊息
[00:28:36.000 --> 00:28:39.000]  為這個世界帶來盼望
[00:28:39.000 --> 00:28:41.000]  因為透過這個救贖的訊息
[00:28:41.000 --> 00:28:43.000]  神才認可
[00:28:43.000 --> 00:28:45.000]  只要你承認主耶穌是你的救主
[00:28:45.000 --> 00:28:46.000]  賜給你一份禮物
[00:28:46.000 --> 00:28:47.000]  就是聖靈
[00:28:47.000 --> 00:28:48.000]  聖靈進來
[00:28:48.000 --> 00:28:50.000]  才可以做轉化的生命
[00:28:50.000 --> 00:28:52.000]  你才有那個聖靈的果子
[00:28:52.000 --> 00:28:53.000]  剛剛所說的
[00:28:53.000 --> 00:28:54.000]  平安喜樂
[00:28:54.000 --> 00:28:55.000]  恩慈慈愛
[00:28:55.000 --> 00:28:57.000]  節制
[00:28:57.000 --> 00:28:59.000]  這些是沒有任何法律
[00:28:59.000 --> 00:29:01.000]  可以透過立法管制
[00:29:01.000 --> 00:29:03.000]  就出到來的果子
[00:29:03.000 --> 00:29:05.000]  這個聖靈的果子
[00:29:05.000 --> 00:29:07.000]  而主耶穌設立教會
[00:29:07.000 --> 00:29:09.000]  exactly是做這件事
[00:29:09.000 --> 00:29:11.000]  今天為什麼我們看這段聖經
[00:29:11.000 --> 00:29:12.000]  告訴我們
