
[00:00:00.000 --> 00:00:00.880]  我們一起看圖稿
[00:17:56.960 --> 00:18:01.960]  或者轉向其他偶像裡面的當中
[00:18:01.960 --> 00:18:03.960]  有時候我們每個人
[00:18:03.960 --> 00:18:05.960]  都面對很多試探的
[00:18:05.960 --> 00:18:07.960]  不單止金錢 情慾
[00:18:07.960 --> 00:18:10.960]  甚至是很多情緒性的試探
[00:18:10.960 --> 00:18:12.960]  當我們生氣的時候
[00:18:12.960 --> 00:18:14.960]  你怎麼辦呢?
[00:18:14.960 --> 00:18:17.960]  當你發怨言的時候
[00:18:17.960 --> 00:18:19.960]  我們又怎麼辦呢?
[00:18:19.960 --> 00:18:21.960]  我們問
[00:18:21.960 --> 00:18:24.960]  當我們的心轉離的時候
[00:18:24.960 --> 00:18:27.960]  我們敬拜了偶像的時候
[00:18:27.960 --> 00:18:28.960]  我們反而反過來問
[00:18:28.960 --> 00:18:30.960]  我們怎樣能夠忠心跟從上帝
[00:18:30.960 --> 00:18:33.960]  而不是轉離
[00:18:33.960 --> 00:18:34.960]  有一樣東西我發現
[00:18:34.960 --> 00:18:36.960]  其實我都會有試探
[00:18:36.960 --> 00:18:40.960]  我那時候都會對不準主的
[00:18:40.960 --> 00:18:41.960]  在我的成長歷程當中
[00:18:41.960 --> 00:18:42.960]  或者我的操練當中
[00:18:42.960 --> 00:18:45.960]  怎樣能夠忠心跟從主
[00:18:45.960 --> 00:18:47.960]  有一樣東西是幫助到我們的
[00:18:47.960 --> 00:18:50.960]  就是祈禱
[00:18:50.960 --> 00:18:52.960]  面對很多試探的時候
[00:18:52.960 --> 00:18:54.960]  我們有沒有好好禱告
[00:18:54.960 --> 00:18:58.960]  當中面對在我們面前的挑戰呢?
[00:18:58.960 --> 00:19:00.960]  每當試探的時候
[00:19:00.960 --> 00:19:01.960]  你有沒有禱告?
[00:19:01.960 --> 00:19:03.960]  每當你發怒的時候
[00:19:03.960 --> 00:19:05.960]  你有沒有禱告?
[00:19:05.960 --> 00:19:07.960]  或者當你想貪心的時候
[00:19:07.960 --> 00:19:08.960]  你有沒有禱告?
[00:19:08.960 --> 00:19:10.960]  甚至你發怨言的時候
[00:19:10.960 --> 00:19:12.960]  你講人壞話的時候
[00:19:12.960 --> 00:19:14.960]  或者你覺得不公的時候
[00:19:14.960 --> 00:19:16.960]  你在這個歷程當中
[00:19:16.960 --> 00:19:19.960]  有沒有忠心跟隨主
[00:19:19.960 --> 00:19:23.960]  就在乎你的心有沒有轉向惡化
[00:19:23.960 --> 00:19:26.960]  還是轉向其他東西
[00:19:26.960 --> 00:19:27.960]  在《真言》裡經常說
[00:19:27.960 --> 00:19:28.960]  你要保守你的心
[00:19:28.960 --> 00:19:30.960]  勝過保守一切
[00:19:30.960 --> 00:19:34.960]  一生的果效都是由心而發的
[00:19:34.960 --> 00:19:38.960]  回到香港有五個星期
[00:19:38.960 --> 00:19:40.960]  其實真的很多
[00:19:40.960 --> 00:19:42.960]  一來自己病了
[00:19:42.960 --> 00:19:44.960]  不想出街
[00:19:44.960 --> 00:19:47.960]  二來我經歷過上次回港的時候
[00:19:47.960 --> 00:19:50.960]  見到太多人真的很累
[00:19:50.960 --> 00:19:53.960]  所以都不是經常出街的
[00:19:53.960 --> 00:19:56.960]  但是在這五個星期當中
[00:19:56.960 --> 00:20:00.960]  我偶爾都會見到一些人
[00:20:00.960 --> 00:20:04.960]  我發現其中一個很獨特之處
[00:20:04.960 --> 00:20:07.960]  就是人的心
[00:20:07.960 --> 00:20:09.960]  我發現就是
[00:20:09.960 --> 00:20:11.960]  譬如剛才說的鎖魯門王
[00:20:11.960 --> 00:20:13.960]  鎖魯門我年幼的時候
[00:20:13.960 --> 00:20:15.960]  我什麼都不懂
[00:20:15.960 --> 00:20:17.960]  主要我求你給我有智慧
[00:20:17.960 --> 00:20:18.960]  如何管理你的民
[00:20:18.960 --> 00:20:19.960]  但是到了年老的時候
[00:20:19.960 --> 00:20:21.960]  為什麼特別說年老
[00:20:21.960 --> 00:20:24.960]  好像一老是否會做錯事
[00:20:24.960 --> 00:20:26.960]  或者一老就轉移上帝
[00:20:26.960 --> 00:20:29.960]  顯然這不是一個年紀的問題
[00:20:29.960 --> 00:20:32.960]  是說你的心
[00:20:32.960 --> 00:20:38.960]  你的心有沒有由起初培育
[00:20:38.960 --> 00:20:40.960]  向著上帝
[00:20:40.960 --> 00:20:42.960]  無論是什麼年紀
[00:20:42.960 --> 00:20:45.960]  你人生的歷程有沒有轉向上帝
[00:20:45.960 --> 00:20:48.960]  堅持去忠於上帝
[00:20:48.960 --> 00:20:50.960]  鎖魯門最懂的就是
[00:20:50.960 --> 00:20:51.960]  讀了很多聖經
[00:20:51.960 --> 00:20:53.960]  可能比你更厲害
[00:20:53.960 --> 00:20:54.960]  讀了這麼多聖經都好
[00:20:54.960 --> 00:20:56.960]  彷彿那次不是專注的
[00:20:56.960 --> 00:20:59.960]  中路的跟著上帝嗎
[00:20:59.960 --> 00:21:01.960]  而是你的心
[00:21:01.960 --> 00:21:03.960]  是你懂得很多東西
[00:21:03.960 --> 00:21:04.960]  是你做了很多事
[00:21:04.960 --> 00:21:05.960]  做了很多的侍奉
[00:21:05.960 --> 00:21:06.960]  其實我告訴你
[00:21:06.960 --> 00:21:07.960]  當你人生的侍奉
[00:21:07.960 --> 00:21:08.960]  在教會的侍奉當中
[00:21:08.960 --> 00:21:10.960]  是在操練著你的心
[00:21:10.960 --> 00:21:12.960]  如何能夠專注的
[00:21:12.960 --> 00:21:16.960]  忠心的跟從上帝
[00:21:16.960 --> 00:21:22.960]  你的心在影響你所做的每一個事情
[00:21:22.960 --> 00:21:25.960]  頂子會你的禱告生活是怎樣的呢
[00:21:25.960 --> 00:21:27.960]  我不是說你一定要回祈禱
[00:21:27.960 --> 00:21:29.960]  當然你回祈禱會當然好
[00:21:29.960 --> 00:21:31.960]  你去守望教會守望頂子會
[00:21:31.960 --> 00:21:34.960]  但我想除了祈禱會以外之外
[00:21:34.960 --> 00:21:37.960]  你有沒有自己禱告的時間呢
[00:21:37.960 --> 00:21:39.960]  你有沒有用你的心
[00:21:39.960 --> 00:21:43.960]  每次都專注對準著上帝呢
[00:21:43.960 --> 00:21:45.960]  頂子妹如果你不祈禱
[00:21:45.960 --> 00:21:47.960]  是很嚴重的
[00:21:47.960 --> 00:21:50.960]  不好意思是比較粗俗的
[00:21:50.960 --> 00:21:51.960]  當你不祈禱的時候
[00:21:51.960 --> 00:21:53.960]  你的心不能夠專注上帝
[00:21:53.960 --> 00:21:55.960]  你面對你的工作
[00:21:55.960 --> 00:21:56.960]  面對你的家庭
[00:21:56.960 --> 00:21:58.960]  面對你的職場的時候
[00:21:58.960 --> 00:22:00.960]  很多的誘惑
[00:22:00.960 --> 00:22:01.960]  很多的挑戰
[00:22:01.960 --> 00:22:02.960]  甚至你的情緒
[00:22:02.960 --> 00:22:03.960]  你的成長的時候
[00:22:03.960 --> 00:22:06.960]  你不禱告專注對上帝的時候
[00:22:06.960 --> 00:22:08.960]  你就容讓你的心自由奔放
[00:22:08.960 --> 00:22:12.960]  想做什麼就做什麼
[00:22:12.960 --> 00:22:14.960]  我們有沒有堅持主導
[00:22:14.960 --> 00:22:16.960]  我們有沒有忠心跟從主
[00:22:16.960 --> 00:22:17.960]  在每一件事情上
[00:22:17.960 --> 00:22:22.960]  知道上帝的心意
[00:22:22.960 --> 00:22:23.960]  在第九節
[00:22:23.960 --> 00:22:26.960]  姚華香在守龍門發怒
[00:22:26.960 --> 00:22:27.960]  終於生氣了
[00:22:27.960 --> 00:22:29.960]  跟你說了
[00:22:29.960 --> 00:22:32.960]  叫你不要跟其他外邦女子
[00:22:32.960 --> 00:22:35.960]  走在一起
[00:22:35.960 --> 00:22:37.960]  在第十一節到第十三節
[00:22:37.960 --> 00:22:44.960]  姚華向守龍門審判
[00:22:44.960 --> 00:22:46.960]  當我們的生命
[00:22:46.960 --> 00:22:49.960]  不斷的跟外間妥協
[00:22:49.960 --> 00:22:50.960]  跟社會文化妥協
[00:22:50.960 --> 00:22:51.960]  跟其他宗教妥協
[00:22:51.960 --> 00:22:53.960]  沒有堅持主導
[00:22:53.960 --> 00:22:54.960]  當我們的心
[00:22:54.960 --> 00:22:55.960]  不斷的不斷
[00:22:55.960 --> 00:22:57.960]  不是很幫助自己
[00:22:57.960 --> 00:22:59.960]  不是很牧養自己的心
[00:22:59.960 --> 00:23:01.960]  而是偏離上帝的時候
[00:23:01.960 --> 00:23:02.960]  你離開主導
[00:23:02.960 --> 00:23:07.960]  最終帶來的是審判
[00:23:07.960 --> 00:23:09.960]  我有時在想
[00:23:09.960 --> 00:23:14.960]  上帝為什麼不一次過
[00:23:14.960 --> 00:23:18.960]  將守龍門所有東西都收了就算了
[00:23:18.960 --> 00:23:19.960]  收了就算了
[00:23:19.960 --> 00:23:21.960]  他竟然是敬拜偶像
[00:23:21.960 --> 00:23:23.960]  熊烈邦女子這麼多
[00:23:23.960 --> 00:23:24.960]  心偏離了
[00:23:24.960 --> 00:23:25.960]  簡直是懲罰他就算了
[00:23:25.960 --> 00:23:27.960]  但在經文當中沒有
[00:23:27.960 --> 00:23:28.960]  經文當中就是
[00:23:28.960 --> 00:23:31.960]  上帝留下一個支派
[00:23:31.960 --> 00:23:32.960]  在經文當中給了所有門
[00:23:32.960 --> 00:23:34.960]  沒有將所有支派收門
[00:23:34.960 --> 00:23:36.960]  只是將一個支派拿回來
[00:23:36.960 --> 00:23:38.960]  我問為什麼呢
[00:23:38.960 --> 00:23:41.960]  在經文當中不斷提了兩個字
[00:23:41.960 --> 00:23:42.960]  是大衛的緣故
[00:23:42.960 --> 00:23:46.960]  和因我瀆人大衛這兩個字
[00:23:46.960 --> 00:23:47.960]  是在說什麼呢
[00:23:47.960 --> 00:23:51.960]  是在說上帝是紀念大衛
[00:23:51.960 --> 00:23:53.960]  上帝的守約
[00:23:53.960 --> 00:23:54.960]  上帝沒有忘記
[00:23:54.960 --> 00:23:57.960]  和大衛之前的立約
[00:23:57.960 --> 00:23:59.960]  之前說什麼立約呢
[00:23:59.960 --> 00:24:01.960]  上帝和大衛立約就是
[00:24:01.960 --> 00:24:03.960]  他的後裔必會成為一個王國
[00:24:03.960 --> 00:24:05.960]  上帝應許大衛就是
[00:24:05.960 --> 00:24:09.960]  他的國度王位是永遠堅立
[00:24:09.960 --> 00:24:11.960]  上帝不要忘記
[00:24:11.960 --> 00:24:14.960]  不要忘記大衛和他之間的關係
[00:24:14.960 --> 00:24:15.960]  縱然所有門犯罪
[00:24:15.960 --> 00:24:18.960]  縱然所有門得罪他
[00:24:18.960 --> 00:24:21.960]  上帝記得大衛的約
[00:24:21.960 --> 00:24:25.960]  上帝守約施慈愛
[00:24:25.960 --> 00:24:30.960]  弟兄姊妹今天你的心是怎樣的呢
[00:24:30.960 --> 00:24:32.960]  在你的生命成長當中
[00:24:32.960 --> 00:24:34.960]  有什麼還在妥協呢
[00:24:34.960 --> 00:24:37.960]  你的心轉向哪一方呢
[00:24:37.960 --> 00:24:41.960]  今天你的光景是怎樣的呢
[00:24:41.960 --> 00:24:48.960]  我覺得有時生命是有因和有果的
[00:24:48.960 --> 00:24:52.960]  因為我們很多時轉來上帝
[00:24:52.960 --> 00:24:56.960]  我們的生命有些事情是岩岩潺潺
[00:24:56.960 --> 00:25:01.960]  有些事情可能我們是受惡果的
[00:25:01.960 --> 00:25:05.960]  我知道有時我們在婚姻的不忠的時候
[00:25:05.960 --> 00:25:08.960]  帶來家庭很多的混亂
[00:25:08.960 --> 00:25:10.960]  你試想像一下
[00:25:10.960 --> 00:25:11.960]  試想像一下
[00:25:11.960 --> 00:25:15.960]  鎖路門犯罪得罪上帝
[00:25:15.960 --> 00:25:17.960]  審判不單止在鎖路門身上
[00:25:17.960 --> 00:25:19.960]  更加影響他的家庭
[00:25:19.960 --> 00:25:23.960]  更加影響整個皇國
[00:25:23.960 --> 00:25:24.960]  同樣道理
[00:25:24.960 --> 00:25:26.960]  當我們不是很持守上帝
[00:25:26.960 --> 00:25:28.960]  當我們不是忠於上帝的時候
[00:25:28.960 --> 00:25:32.960]  上帝的審判臨到我們當中
[00:25:32.960 --> 00:25:38.960]  有時審判好像很不願意
[00:25:38.960 --> 00:25:40.960]  或者不是很想有審判臨到我們當中
[00:25:40.960 --> 00:25:48.960]  但這個審判其實是幫我們調整對上帝的心意
[00:25:48.960 --> 00:25:51.960]  上帝願意管教
[00:25:51.960 --> 00:25:53.960]  為了叫我們回轉
[00:25:53.960 --> 00:25:55.960]  上帝是管教
[00:25:55.960 --> 00:25:59.960]  為了叫我們的心能夠重整回到上帝身邊
[00:25:59.960 --> 00:26:01.960]  有時我們的心轉移
[00:26:01.960 --> 00:26:06.960]  以致我們忘記不了惡惑
[00:26:06.960 --> 00:26:07.960]  今天鄧小妹
[00:26:07.960 --> 00:26:09.960]  你的家庭是怎樣的呢
[00:26:09.960 --> 00:26:11.960]  或者你在成長當中
[00:26:11.960 --> 00:26:14.960]  你覺得有些事情是在受苦的時候
[00:26:14.960 --> 00:26:16.960]  是因為罪過緣故
[00:26:16.960 --> 00:26:19.960]  還是別人的緣故呢
[00:26:19.960 --> 00:26:23.960]  有時我們在困境當中
[00:26:23.960 --> 00:26:24.960]  我們都不知道
[00:26:24.960 --> 00:26:27.960]  原來這是上帝審判我們的時候
[00:26:27.960 --> 00:26:30.960]  或者上帝懲罰我們的時候
[00:26:30.960 --> 00:26:32.960]  然而這些審判
[00:26:32.960 --> 00:26:34.960]  或者這些事情
[00:26:34.960 --> 00:26:39.960]  是叫我們回轉去敬拜上帝
[00:26:39.960 --> 00:26:44.960]  今天上帝很愛我們那個
[00:26:44.960 --> 00:26:46.960]  不僅是紀念大衛的約
[00:26:46.960 --> 00:26:52.960]  更加讓耶穌來到當中
[00:26:52.960 --> 00:26:54.960]  去拯救我們
[00:26:54.960 --> 00:26:55.960]  我們每個人都不能夠
[00:26:55.960 --> 00:26:57.960]  因為自己的能力
[00:26:57.960 --> 00:27:00.960]  因為自己的做多少事的補償
[00:27:00.960 --> 00:27:03.960]  離開這個困境
[00:27:03.960 --> 00:27:08.960]  或者這個所帶來的結果
[00:27:08.960 --> 00:27:12.960]  但是上帝有恩典有憐憫
[00:27:12.960 --> 00:27:14.960]  是因為恩典
[00:27:14.960 --> 00:27:16.960]  如果不是因為恩典的話
[00:27:16.960 --> 00:27:17.960]  我們是沒有出路的
[00:27:17.960 --> 00:27:20.960]  上帝不是被鎖路門王
[00:27:20.960 --> 00:27:22.960]  拿了十二個支派就算了
[00:27:22.960 --> 00:27:23.960]  上帝紀念大衛的約
[00:27:23.960 --> 00:27:26.960]  上帝仍然有恩典給鎖路門王
[00:27:26.960 --> 00:27:28.960]  沒有人可以做到事
[00:27:28.960 --> 00:27:31.960]  是上帝完全的私恩
[00:27:31.960 --> 00:27:34.960]  今天鄧小姐妹
[00:27:34.960 --> 00:27:36.960]  你面對出路的時候
[00:27:36.960 --> 00:27:38.960]  是靠自己還是上帝
[00:27:38.960 --> 00:27:40.960]  還是耶穌基督呢
[00:27:40.960 --> 00:27:42.960]  如果當我們今天面對
[00:27:42.960 --> 00:27:45.960]  我們的困苦的時候
[00:27:45.960 --> 00:27:47.960]  你見不見到恩典
[00:27:47.960 --> 00:27:51.960]  來到當中和大家一起
[00:27:51.960 --> 00:27:55.960]  而需要恩典就需要悔改
[00:27:55.960 --> 00:27:57.960]  天父求你的慈愛
[00:27:57.960 --> 00:27:59.960]  時常臨到我們當中
[00:27:59.960 --> 00:28:02.960]  願你的愛時常吸引我們迴轉
[00:28:02.960 --> 00:28:06.960]  你在裡面有恩典有憐憫
[00:28:06.960 --> 00:28:08.960]  不輕易發怒
[00:28:08.960 --> 00:28:10.960]  讓我們能夠再次回歸
[00:28:10.960 --> 00:28:13.960]  在你身邊享受和你一起的時間
[00:28:13.960 --> 00:28:15.960]  天父我們很多時過往
[00:28:15.960 --> 00:28:17.960]  我們都是很多困境
[00:28:17.960 --> 00:28:18.960]  都用自己的方法處理
[00:28:18.960 --> 00:28:21.960]  甚至可能我們犯罪得罪你
[00:28:21.960 --> 00:28:25.960]  但主你有恩典
[00:28:25.960 --> 00:28:27.960]  在裡面有恩典
[00:28:27.960 --> 00:28:28.960]  你給我們一條路
[00:28:28.960 --> 00:28:31.960]  讓我們知道走在你恩典的時候
[00:28:31.960 --> 00:28:33.960]  我們迴轉的時候
[00:28:33.960 --> 00:28:34.960]  你會帶領我們
[00:28:34.960 --> 00:28:37.960]  讓我們再次重新有新的生命
[00:28:37.960 --> 00:28:39.960]  主你幫助我們
[00:28:39.960 --> 00:28:40.960]  保守我們的心
[00:28:40.960 --> 00:28:42.960]  時常在你懷裡當中
[00:28:42.960 --> 00:28:44.960]  在你愛裡當中
[00:28:44.960 --> 00:28:46.960]  叫我們能夠專注的對準著
[00:28:46.960 --> 00:28:48.960]  行在上帝的心意
[00:28:48.960 --> 00:28:49.960]  主我們需要你
[00:28:49.960 --> 00:28:51.960]  帶領我們每一個
[00:28:51.960 --> 00:28:53.960]  求你康顧
[00:28:53.960 --> 00:28:54.960]  以上告告
[00:28:54.960 --> 00:28:55.960]  歡迎聰明祈禱
