
[00:00:00.000 --> 00:00:02.140]  剛才的思綱很好
[00:17:44.180 --> 00:17:46.340]  你吃了藥之後康復
[00:17:46.340 --> 00:17:48.140]  其實你也不明白
[00:17:48.140 --> 00:17:49.880]  裏面有很多的病理
[00:17:49.880 --> 00:17:51.420]  有很多的藥劑
[00:17:51.420 --> 00:17:53.160]  所以其實我們很多時候
[00:17:53.160 --> 00:17:54.260]  覺得我不明白
[00:17:54.260 --> 00:17:55.320]  不去做
[00:17:55.320 --> 00:17:58.500]  其實對我們是一個很大的障礙
[00:17:58.500 --> 00:18:01.320]  這個是令到我們和信心的行為
[00:18:01.320 --> 00:18:04.240]  是一個增強的距離
[00:18:04.240 --> 00:18:05.760]  所以很重要就是
[00:18:05.760 --> 00:18:08.540]  神叫我們做的事我不明白
[00:18:08.540 --> 00:18:12.140]  我記得有一個很出名的牧師
[00:18:12.140 --> 00:18:14.700]  他有一個口訣說
[00:18:14.700 --> 00:18:16.440]  To understand why
[00:18:16.440 --> 00:18:19.180]  Submit and apply
[00:18:19.180 --> 00:18:21.180]  很記得是吧
[00:18:21.180 --> 00:18:22.880]  其實如果你真的想明白
[00:18:22.880 --> 00:18:24.180]  未必一定是那件事
[00:18:24.180 --> 00:18:25.620]  命神多一點
[00:18:25.620 --> 00:18:27.920]  其實當你越多行的時候
[00:18:27.920 --> 00:18:29.720]  你就越來越明白
[00:18:29.720 --> 00:18:33.660]  上帝未必明白為什麼他會醫好你
[00:18:33.660 --> 00:18:36.320]  你更加明白上帝的屬性
[00:18:36.320 --> 00:18:38.300]  祂的性格
[00:18:38.300 --> 00:18:40.060]  第二個的情況
[00:18:40.060 --> 00:18:41.260]  我們很多時候
[00:18:41.260 --> 00:18:43.840]  為什麼有信心沒有行為呢?
[00:18:43.840 --> 00:18:46.400]  就是我們不肯
[00:18:46.400 --> 00:18:48.980]  其實我們很知道上帝的意思
[00:18:48.980 --> 00:18:51.980]  不過我就是不想去做
[00:18:51.980 --> 00:18:53.020]  有一個人
[00:18:53.020 --> 00:18:55.340]  我明知上帝要我和他復和
[00:18:55.340 --> 00:18:58.280]  我就是做不到
[00:18:58.280 --> 00:19:02.380]  他走前來我就可能繞路走
[00:19:02.380 --> 00:19:03.620]  聖經很清楚
[00:19:03.620 --> 00:19:05.060]  大家都很熟悉這個故事
[00:19:05.060 --> 00:19:06.720]  就是約拿
[00:19:06.720 --> 00:19:08.360]  約拿很清楚的
[00:19:08.360 --> 00:19:12.660]  叫他去利尼未成那裡宣告
[00:19:12.660 --> 00:19:14.660]  叫他們悔改
[00:19:14.660 --> 00:19:17.740]  但是約拿本身
[00:19:17.740 --> 00:19:20.740]  跟這幫人深仇大恨
[00:19:20.740 --> 00:19:23.540]  為什麼會讓他們得救這麼好?
[00:19:23.540 --> 00:19:25.880]  我真的不會向他們傳福音
[00:19:25.880 --> 00:19:27.880]  所以神叫他走右邊
[00:19:27.880 --> 00:19:29.820]  他走左邊
[00:19:29.820 --> 00:19:32.480]  這個是很明顯的
[00:19:32.480 --> 00:19:34.080]  大家都知道的
[00:19:34.080 --> 00:19:35.060]  有些事情
[00:19:35.060 --> 00:19:36.560]  其實不是不知道
[00:19:36.560 --> 00:19:38.720]  拉曼不明白的
[00:19:38.720 --> 00:19:41.900]  有些事情我們明知的
[00:19:41.900 --> 00:19:43.300]  十一奉獻
[00:19:43.300 --> 00:19:45.220]  或者很多很多
[00:19:45.220 --> 00:19:47.500]  很清楚很清晰的
[00:19:47.500 --> 00:19:50.360]  但是我們就是不肯
[00:19:50.360 --> 00:19:52.340]  十一奉獻不單止是說
[00:19:52.340 --> 00:19:54.740]  說我們的錢財
[00:19:54.740 --> 00:19:58.780]  其實神也叫我們要有安息
[00:19:58.780 --> 00:20:00.580]  在祂裡面有安息
[00:20:00.580 --> 00:20:02.280]  不好日做夜做
[00:20:02.280 --> 00:20:04.220]  二十四七
[00:20:04.220 --> 00:20:07.020]  很多時候我們不聽神的說話
[00:20:07.020 --> 00:20:08.880]  我們不能夠在祂面前
[00:20:08.880 --> 00:20:10.860]  有個休息和安息
[00:20:10.860 --> 00:20:12.960]  結果是怎樣?
[00:20:12.960 --> 00:20:15.020]  我們大病一場
[00:20:15.020 --> 00:20:17.320]  大病一場就不能不休息了
[00:20:17.320 --> 00:20:18.160]  是不是?
[00:20:18.160 --> 00:20:21.100]  很多時候我們真的可能在醫院裡面
[00:20:21.100 --> 00:20:22.740]  我自己也試過了
[00:20:22.740 --> 00:20:24.860]  剛剛出來工作的時候
[00:20:24.860 --> 00:20:25.740]  哇
[00:20:25.740 --> 00:20:26.940]  很希望
[00:20:26.940 --> 00:20:30.580]  升職、加薪、得到人的認同
[00:20:30.580 --> 00:20:32.500]  二十四七這樣去做
[00:20:32.500 --> 00:20:33.640]  到了一個地步
[00:20:33.640 --> 00:20:35.020]  我們燃燒了
[00:20:35.020 --> 00:20:37.780]  我們耗盡了
[00:20:37.780 --> 00:20:39.380]  到時候就死死地氣
[00:20:39.380 --> 00:20:41.580]  在醫院留幾個月
[00:20:41.580 --> 00:20:45.120]  但是在若娜這個案子
[00:20:45.120 --> 00:20:46.860]  大家都知道
[00:20:46.860 --> 00:20:48.700]  神放了她入獄
[00:20:48.700 --> 00:20:50.500]  沒得走了
[00:20:50.500 --> 00:20:52.460]  我們很多都有這樣的經歷
[00:20:52.460 --> 00:20:53.400]  到了最後
[00:20:53.400 --> 00:20:55.300]  我們的改變
[00:20:55.300 --> 00:20:58.440]  是真的要跟神相遇才行
[00:20:58.440 --> 00:21:00.200]  好像剛才奶晚
[00:21:00.200 --> 00:21:02.880]  她經過得到醫治的時候
[00:21:02.880 --> 00:21:04.780]  她從此跟神相遇
[00:21:04.780 --> 00:21:07.680]  就算她回去敘利亞
[00:21:07.680 --> 00:21:10.480]  她再去為她的王做事的時候
[00:21:10.480 --> 00:21:13.280]  她也很清晰她的主人是誰
[00:21:13.280 --> 00:21:15.060]  若娜也是
[00:21:15.060 --> 00:21:16.520]  走到沒得走了
[00:21:16.520 --> 00:21:18.360]  給神
[00:21:18.360 --> 00:21:21.320]  給一條吞拿魚吞了她
[00:21:21.320 --> 00:21:24.400]  在母福裡面她終於要求告了
[00:21:24.400 --> 00:21:26.640]  在患難裡面求告耶和華
[00:21:26.640 --> 00:21:28.660]  她就會應允我們
[00:21:28.660 --> 00:21:29.740]  最後
[00:21:29.740 --> 00:21:34.080]  經過她跟上帝的搏鬥掙扎祈禱
[00:21:34.080 --> 00:21:37.040]  她終於都要乖乖地
[00:21:37.040 --> 00:21:38.540]  聽上帝的話
[00:21:38.540 --> 00:21:39.540]  我們也是
[00:21:39.540 --> 00:21:41.420]  我們可以跟神糾纏
[00:21:41.420 --> 00:21:46.320]  但是其實我們也要為上帝
[00:21:46.320 --> 00:21:48.020]  這個神母問她
[00:21:48.020 --> 00:21:49.820]  若娜你想不想
[00:21:49.820 --> 00:21:53.020]  你進去那條魚的肚子裡面
[00:21:53.020 --> 00:21:54.460]  我們上帝不是的
[00:21:54.460 --> 00:21:57.400]  有時候我們發生的事情
[00:21:57.400 --> 00:21:59.360]  可能是大病一場
[00:21:59.360 --> 00:22:02.240]  可能是經濟等等
[00:22:02.240 --> 00:22:04.200]  真的要在這個地方
[00:22:04.200 --> 00:22:06.200]  我們有那種時間
[00:22:06.200 --> 00:22:09.040]  令到我們平時那種生活的態度
[00:22:09.040 --> 00:22:10.920]  或者很多時候
[00:22:10.920 --> 00:22:14.040]  我們根本是完全不知道
[00:22:14.040 --> 00:22:17.980]  我們越來越走遠神的道路
[00:22:17.980 --> 00:22:19.320]  第三個
[00:22:19.320 --> 00:22:21.920]  信心和行為的距離
[00:22:21.920 --> 00:22:24.300]  就是我們聽不到神的話
[00:22:24.300 --> 00:22:27.560]  我都不知道上帝想說什麼
[00:22:27.560 --> 00:22:28.760]  第一個
[00:22:28.760 --> 00:22:30.500]  前兩個都是聽到的
[00:22:30.500 --> 00:22:32.100]  第一個不明白
[00:22:32.100 --> 00:22:33.400]  第二個不肯
[00:22:33.400 --> 00:22:34.440]  第三就是
[00:22:34.440 --> 00:22:35.740]  我聽都聽不到
[00:22:35.740 --> 00:22:37.500]  那怎麼辦呢?
[00:22:37.500 --> 00:22:39.540]  聖經也不失這些例子
[00:22:39.540 --> 00:22:42.380]  可能我們很多時候都是這樣的狀況
[00:22:42.380 --> 00:22:44.040]  大家都記得
[00:22:44.040 --> 00:22:47.120]  這個以利亞
[00:22:47.120 --> 00:22:50.620]  在這個
[00:22:50.620 --> 00:22:52.380]  做了一件很大的事
[00:22:52.380 --> 00:22:54.280]  殺了很多的先知
[00:22:54.280 --> 00:22:56.220]  顯了很大的神蹟
[00:22:56.220 --> 00:22:58.860]  由不下雨到下雨
[00:22:58.860 --> 00:23:02.260]  很多人來說都是他的高峰
[00:23:02.260 --> 00:23:05.300]  但是高峰之下就很危險
[00:23:05.300 --> 00:23:06.740]  耶穌在別說了兩句
[00:23:06.740 --> 00:23:08.040]  就嚇到他逃跑
[00:23:08.040 --> 00:23:09.140]  逃跑逃跑
[00:23:09.140 --> 00:23:11.380]  逃到甚至要求死
[00:23:11.380 --> 00:23:13.680]  其實他自己以為自己
[00:23:13.680 --> 00:23:15.940]  大能的先知
[00:23:15.940 --> 00:23:17.440]  但是他可能不明白
[00:23:17.440 --> 00:23:20.480]  他裡面自己的狀態是怎樣
[00:23:20.480 --> 00:23:22.820]  他甚至跟耶和華說
[00:23:22.820 --> 00:23:23.980]  沒有了
[00:23:23.980 --> 00:23:26.060]  沒有人像你這麼忠心
[00:23:26.060 --> 00:23:28.180]  殺剩我一個
[00:23:28.180 --> 00:23:30.360]  但是其實
[00:23:30.360 --> 00:23:32.560]  他很想知道耶和華在這一刻
[00:23:32.560 --> 00:23:33.620]  那怎麼辦呢?
[00:23:33.620 --> 00:23:35.420]  我做完大神蹟了
[00:23:35.420 --> 00:23:37.060]  我應該怎麼辦?
[00:23:37.060 --> 00:23:38.600]  耶和華跟他說
[00:23:38.600 --> 00:23:40.540]  是,你來
[00:23:40.540 --> 00:23:42.300]  站在山上
[00:23:42.300 --> 00:23:43.900]  他馬上說
[00:23:43.900 --> 00:23:44.680]  也是啦
[00:23:44.680 --> 00:23:45.600]  我們經常都覺得
[00:23:45.600 --> 00:23:47.840]  神很大的事情
[00:23:47.840 --> 00:23:50.140]  跟裡面經過耶和華
[00:23:50.140 --> 00:23:52.020]  烈風大作
[00:23:52.020 --> 00:23:53.820]  山崩石裂
[00:23:53.820 --> 00:23:56.860]  但是祂不在風裡面
[00:23:56.860 --> 00:23:58.760]  風後有地震
[00:23:58.760 --> 00:24:00.760]  祂也不在裡面
[00:24:00.760 --> 00:24:02.760]  地震又有火
[00:24:02.760 --> 00:24:04.660]  祂也不在火裡面
[00:24:04.660 --> 00:24:06.520]  什麼都出來了
[00:24:06.520 --> 00:24:08.020]  又大風
[00:24:08.020 --> 00:24:09.940]  又地震
[00:24:09.940 --> 00:24:11.060]  又火
[00:24:11.060 --> 00:24:12.260]  最後
[00:24:12.260 --> 00:24:13.460]  在哪裡?
[00:24:13.460 --> 00:24:14.740]  火以後
[00:24:14.740 --> 00:24:17.900]  有輕微細小的聲音
[00:24:17.900 --> 00:24:19.980]  甚至有些事情
[00:24:19.980 --> 00:24:21.000]  或者
[00:24:21.000 --> 00:24:23.400]  亦這個微小細小的聲音
[00:24:23.400 --> 00:24:25.440]  是安靜
[00:24:25.440 --> 00:24:27.320]  靜靜
[00:24:27.320 --> 00:24:29.320]  很多時候我們經常都會覺得
[00:24:29.320 --> 00:24:31.820]  神沒有跟我們說話
[00:24:31.820 --> 00:24:33.820]  是不是應該大來大鼓的?
[00:24:33.820 --> 00:24:36.020]  是不是應該在我耳邊說的?
[00:24:36.020 --> 00:24:38.360]  但原來神很多時候跟我們說話
[00:24:38.360 --> 00:24:40.120]  是在植靜
[00:24:40.120 --> 00:24:41.700]  是在我們個人裡面
[00:24:41.700 --> 00:24:44.060]  安靜的時候跟我們說的
[00:24:44.060 --> 00:24:46.160]  因為可能我們
[00:24:46.160 --> 00:24:47.260]  很活躍
[00:24:47.260 --> 00:24:50.040]  覺得自己在做大事的時候
[00:24:50.040 --> 00:24:51.500]  我們
[00:24:51.500 --> 00:24:52.580]  很多時候忽略了
[00:24:52.580 --> 00:24:55.200]  耶和華要跟我們說的話
[00:24:55.200 --> 00:24:56.780]  所以今天我想跟大家
[00:24:56.780 --> 00:24:59.340]  說一說兩種的祈禱
[00:24:59.340 --> 00:25:01.040]  第一種就是我們很熟悉的
[00:25:01.040 --> 00:25:03.120]  叫做向外走的祈禱
[00:25:03.120 --> 00:25:07.080]  這裡大家看到有三個圈
[00:25:07.080 --> 00:25:07.720]  三個圈
[00:25:07.720 --> 00:25:09.180]  大家看到三個圈
[00:25:09.180 --> 00:25:10.920]  三個圈那裡
[00:25:10.920 --> 00:25:13.420]  我們看到你們的左手邊
[00:25:13.420 --> 00:25:14.720]  有一個雲
[00:25:14.720 --> 00:25:15.520]  有一個雲
[00:25:15.520 --> 00:25:17.100]  打著那些人
[00:25:17.100 --> 00:25:19.900]  那些人就躲躲躲躲避雨
[00:25:19.900 --> 00:25:22.300]  走到那個圈的另一邊
[00:25:22.300 --> 00:25:23.800]  結果是什麼?
[00:25:23.800 --> 00:25:25.940]  那個雲跟著他
[00:25:25.940 --> 00:25:27.200]  他避不了雨
[00:25:27.200 --> 00:25:28.940]  為什麼呢?
[00:25:28.940 --> 00:25:31.380]  很多時候你們看到三個圈
[00:25:31.380 --> 00:25:33.380]  裡面那個就是我們
[00:25:33.380 --> 00:25:34.840]  我們是誰
[00:25:34.840 --> 00:25:38.040]  外面就是怎樣
[00:25:38.040 --> 00:25:39.280]  再外面在哪裡
[00:25:39.280 --> 00:25:41.260]  再外面就是說你去哪裡
[00:25:41.260 --> 00:25:43.320]  由A到B
[00:25:43.320 --> 00:25:45.920]  中間就是怎樣做
[00:25:45.920 --> 00:25:50.300]  最噁心的就是我們是誰
[00:25:50.300 --> 00:25:52.060]  我們很多時候的祈禱
[00:25:52.060 --> 00:25:55.760]  都會留在外面那兩個圈
[00:25:55.760 --> 00:25:57.840]  譬如我在公司裡面
[00:25:57.840 --> 00:26:01.500]  我遇到一個很難相處的人
[00:26:01.500 --> 00:26:03.300]  通常那個很難相處的人
[00:26:03.300 --> 00:26:06.080]  還是你老闆
[00:26:06.080 --> 00:26:10.020]  我的祈禱通常跟主說他怎樣差
[00:26:10.020 --> 00:26:11.640]  他怎樣迫害我
[00:26:11.640 --> 00:26:14.460]  又要我做一些很無聊的事
[00:26:14.460 --> 00:26:16.760]  他騷擾我等等
[00:26:16.760 --> 00:26:18.760]  我們的焦點就是
[00:26:18.760 --> 00:26:22.200]  跟主說多慘多慘
[00:26:22.200 --> 00:26:24.200]  我們的祈禱通常都是
[00:26:24.200 --> 00:26:26.760]  把他調走
[00:26:26.760 --> 00:26:29.700]  或者調職等等
[00:26:29.700 --> 00:26:30.740]  我們很多時候
[00:26:30.740 --> 00:26:34.340]  都是跟主說解決方法
[00:26:34.340 --> 00:26:37.540]  祈求通常都是改變環境
[00:26:37.540 --> 00:26:39.780]  以及改變其他人
[00:26:39.780 --> 00:26:41.240]  甚至很多時候
[00:26:41.240 --> 00:26:43.240]  特別年輕人很多
[00:26:43.240 --> 00:26:45.020]  這個教會不適合我嗎
[00:26:45.020 --> 00:26:45.820]  是
[00:26:45.820 --> 00:26:48.580]  傳統人說港島不好聽
[00:26:48.580 --> 00:26:50.380]  說那些敬拜不夠厲害
[00:26:50.380 --> 00:26:52.260]  他們很多時候都有這些
[00:26:52.260 --> 00:26:54.660]  轉教會
[00:26:54.660 --> 00:26:56.360]  我們都見很多的
[00:26:56.360 --> 00:26:57.960]  轉到新的教會
[00:26:57.960 --> 00:26:59.200]  他就會不斷說
[00:26:59.200 --> 00:27:02.000]  舊的教會怎樣好不好
[00:27:02.000 --> 00:27:04.640]  但是他在新的教會
[00:27:04.640 --> 00:27:05.800]  幾個月之後
[00:27:05.800 --> 00:27:06.900]  他又會覺得新教會
[00:27:06.900 --> 00:27:09.500]  都有很多東西不好
[00:27:09.500 --> 00:27:10.840]  那些人冷酷一點
[00:27:10.840 --> 00:27:12.840]  不過都不夠冷酷
[00:27:12.840 --> 00:27:14.880]  港島好一點
[00:27:14.880 --> 00:27:16.940]  不過都不夠投入
[00:27:16.940 --> 00:27:19.520]  他們又會再轉教會
[00:27:19.520 --> 00:27:21.680]  就好像這個雲一樣
[00:27:21.680 --> 00:27:23.760]  其實他無論去到哪裡
[00:27:23.760 --> 00:27:26.360]  這塊雲都是跟著他的
[00:27:26.360 --> 00:27:28.560]  為什麼
[00:27:28.560 --> 00:27:30.620]  因為他自己沒有改變
[00:27:30.620 --> 00:27:31.920]  是不是
[00:27:31.920 --> 00:27:33.700]  所以呢
[00:27:33.700 --> 00:27:35.800]  我覺得我們基督徒
[00:27:35.800 --> 00:27:38.200]  很多時候當然祈禱很重要
[00:27:38.200 --> 00:27:39.740]  我不是說向外走的祈禱
[00:27:39.740 --> 00:27:40.640]  不要緊
[00:27:40.640 --> 00:27:43.680]  向外祈禱都重要的
[00:27:43.680 --> 00:27:45.580]  因為神都會醫治我們
[00:27:45.580 --> 00:27:47.340]  神都其實真的會有
[00:27:47.340 --> 00:27:50.140]  祂對付很多事情的方法
[00:27:50.140 --> 00:27:51.340]  但是我覺得
[00:27:51.340 --> 00:27:53.680]  我們現在的基督徒比較少
[00:27:53.680 --> 00:27:54.920]  就是一種我會叫做
[00:27:54.920 --> 00:27:57.280]  向內走的祈禱
[00:27:57.280 --> 00:27:59.380]  什麼叫做向內走的祈禱呢
[00:27:59.380 --> 00:28:03.400]  就真的跟主去分享自己的狀況
[00:28:03.400 --> 00:28:05.400]  不只是說那人怎樣壞
[00:28:05.400 --> 00:28:06.460]  那人怎樣不好
[00:28:06.460 --> 00:28:08.660]  這間教會多悶等等
[00:28:08.660 --> 00:28:11.800]  而去跟上帝說
[00:28:11.800 --> 00:28:13.860]  跟耶穌去分享
[00:28:13.860 --> 00:28:15.640]  我每一天
[00:28:15.640 --> 00:28:18.240]  其實如果要聽上帝的聲音
[00:28:18.240 --> 00:28:20.380]  不只是過時過節
[00:28:20.380 --> 00:28:21.640]  不只是聖誕節
[00:28:21.640 --> 00:28:24.540]  或者我有些很大的挑戰
[00:28:24.540 --> 00:28:27.640]  你跟神的關係是每一天的
[00:28:27.640 --> 00:28:30.660]  如果你每一天都有機會去想一想
[00:28:30.660 --> 00:28:32.560]  過去那24小時
[00:28:32.560 --> 00:28:35.160]  我有什麼很大的起伏
[00:28:35.160 --> 00:28:38.060]  可能你自己過了都不記得
[00:28:38.060 --> 00:28:42.140]  有些什麼讓我覺得特別興奮感恩的
[00:28:42.140 --> 00:28:44.800]  有些什麼讓我覺得特別納悶
[00:28:44.800 --> 00:28:46.700]  或者甚至煩躁的
[00:28:46.700 --> 00:28:48.340]  其實在那些地方
[00:28:48.340 --> 00:28:51.640]  最能夠看到我們是誰
[00:28:51.640 --> 00:28:53.600]  譬如我剛才講的那個例子
[00:28:53.600 --> 00:28:56.280]  我很不喜歡我老闆
[00:28:56.280 --> 00:28:59.440]  我一天到晚在神年前投訴我老闆
[00:28:59.440 --> 00:29:01.580]  但是我其實有沒有想過
[00:29:01.580 --> 00:29:03.620]  在那24小時裡面
[00:29:03.620 --> 00:29:06.960]  我跟我老闆的那個交往
[00:29:06.960 --> 00:29:13.620]  當中我自己究竟的感受是什麼呢
[00:29:13.620 --> 00:29:16.300]  我是不喜歡他
[00:29:16.300 --> 00:29:17.660]  是我不值得他
[00:29:17.660 --> 00:29:20.240]  其實那個感受都很豐富的
[00:29:20.240 --> 00:29:23.840]  或者其實可能他
[00:29:23.840 --> 00:29:24.880]  一個人不會絕對壞人
[00:29:24.880 --> 00:29:27.040]  不會絕對好人
[00:29:27.040 --> 00:29:28.640]  可能他要我想做的事
[00:29:28.640 --> 00:29:30.840]  不是我自己想做的事
[00:29:30.840 --> 00:29:32.740]  既然我在這間公司
[00:29:32.740 --> 00:29:34.820]  既然在這間學院
[00:29:34.820 --> 00:29:37.580]  我沒理由只是想做自己的事
[00:29:37.580 --> 00:29:38.560]  所以其實很重要
[00:29:38.560 --> 00:29:41.280]  那個向內走的祈禱
[00:29:41.280 --> 00:29:45.520]  就不是只是停留在哪裡
[00:29:45.520 --> 00:29:47.060]  以及怎麼做
[00:29:47.060 --> 00:29:50.260]  而是你自己是誰
[00:29:50.260 --> 00:29:52.000]  在裡面
[00:29:52.000 --> 00:29:53.640]  一次你就感受到
[00:29:53.640 --> 00:29:57.340]  而察覺到裡面的模式
[00:29:57.340 --> 00:29:59.740]  譬如有一次我跟我姐姐聊天
[00:29:59.740 --> 00:30:01.000]  我姐姐也是住在外國
[00:30:01.000 --> 00:30:02.280]  我們也不是經常聊天
[00:30:02.280 --> 00:30:04.980]  可能久不久
[00:30:04.980 --> 00:30:07.980]  我在那一天
[00:30:07.980 --> 00:30:09.980]  那一晚我做了一個意識政策
[00:30:09.980 --> 00:30:10.680]  就回想
[00:30:10.680 --> 00:30:14.580]  我在那一天有沒有一些很特別的起伏
[00:30:14.580 --> 00:30:15.620]  我就留意到
[00:30:15.620 --> 00:30:18.120]  我跟我姐姐聊天的時候
[00:30:18.120 --> 00:30:20.200]  我的心不是很舒服
[00:30:20.200 --> 00:30:21.400]  有些東西緊著
[00:30:21.400 --> 00:30:23.160]  緊著緊著
[00:30:23.160 --> 00:30:24.400]  那我就看回
[00:30:24.400 --> 00:30:27.000]  原來我跟我姐姐聊天的內容
[00:30:27.000 --> 00:30:31.100]  大家是在說自己的子女在做什麼
[00:30:31.100 --> 00:30:32.600]  我姐姐在說自己的女兒
[00:30:32.600 --> 00:30:34.240]  我又說自己的兒子
[00:30:34.240 --> 00:30:36.180]  當中我察覺到
[00:30:36.180 --> 00:30:39.480]  原來我們大家都在比較
[00:30:39.480 --> 00:30:41.220]  我們也有一種意識
[00:30:41.220 --> 00:30:42.220]  她想告訴我
[00:30:42.220 --> 00:30:44.280]  她的女兒做得多好
[00:30:44.280 --> 00:30:45.860]  我聽到當然會不值得
[00:30:45.860 --> 00:30:46.820]  就會跟她說
[00:30:46.820 --> 00:30:49.760]  我的兒子都怎樣怎樣
[00:30:49.760 --> 00:30:54.360]  我就陷入了那個圈裡面
[00:30:54.360 --> 00:30:56.600]  我在晚上的祈禱裡面
[00:30:56.600 --> 00:30:58.140]  我才發覺
[00:30:58.140 --> 00:31:00.100]  我跟她做了幾十年姐妹
[00:31:00.100 --> 00:31:02.800]  原來我們經常都這樣說話
[00:31:02.800 --> 00:31:03.840]  我就覺得
[00:31:03.840 --> 00:31:04.840]  我是誰呢
[00:31:04.840 --> 00:31:05.980]  為什麼我這麼緊張
[00:31:05.980 --> 00:31:07.640]  我姐姐要覺得
[00:31:07.640 --> 00:31:09.440]  我做得好做得OK
[00:31:09.440 --> 00:31:10.440]  我的子女
[00:31:10.440 --> 00:31:12.540]  現在我們不比較自己
[00:31:12.540 --> 00:31:15.080]  到了這個年紀不比較自己
[00:31:15.080 --> 00:31:16.480]  大家都知道怎樣
[00:31:16.480 --> 00:31:19.880]  很注重說自己的子女怎樣
[00:31:19.880 --> 00:31:22.280]  那一晚我跟神分享
[00:31:22.280 --> 00:31:22.960]  我說
[00:31:22.960 --> 00:31:24.900]  其實為什麼到今時今日
[00:31:24.900 --> 00:31:28.500]  我還跟姐姐做了這麼多年姐妹
[00:31:28.500 --> 00:31:32.800]  我還是要跟她有這個比較的衝動呢
[00:31:32.800 --> 00:31:34.960]  是不是我不了解
[00:31:34.960 --> 00:31:37.540]  我是神愛的兒女
[00:31:37.540 --> 00:31:39.540]  就算我姐姐怎樣想我
[00:31:39.540 --> 00:31:41.640]  我的兒子怎樣好怎樣不好
[00:31:41.640 --> 00:31:44.140]  其實完全不影響我的
[00:31:44.140 --> 00:31:45.940]  但是因為我那種憎敬
[00:31:45.940 --> 00:31:48.240]  以致到可能真的阻礙了
[00:31:48.240 --> 00:31:51.580]  我跟我姐姐的感情
[00:31:51.580 --> 00:31:53.660]  所以在那個
[00:31:53.660 --> 00:31:54.720]  跟神的祈禱
[00:31:54.720 --> 00:31:58.560]  其實這個祈禱是跟神講心事的
[00:31:58.560 --> 00:32:00.060]  真是心事
[00:32:00.060 --> 00:32:02.160]  不是講哪裡
[00:32:02.160 --> 00:32:04.100]  我跟我姐姐不是講心事
[00:32:04.100 --> 00:32:05.700]  我們講哪裡和為什麼
[00:32:05.700 --> 00:32:07.100]  充滿那些東西的
[00:32:07.100 --> 00:32:08.140]  她去哪裡讀書
[00:32:08.140 --> 00:32:09.140]  去哪裡工作
[00:32:09.140 --> 00:32:10.400]  去哪裡升職那些
[00:32:10.400 --> 00:32:11.740]  全部
[00:32:11.740 --> 00:32:14.080]  但是我真的跟神講心事
[00:32:14.080 --> 00:32:15.580]  就是說
[00:32:15.580 --> 00:32:17.180]  其實我跟我姐姐
[00:32:17.180 --> 00:32:19.740]  都是你心愛的女兒
[00:32:19.740 --> 00:32:21.680]  不會因為我們的子女怎樣
[00:32:21.680 --> 00:32:26.680]  在你裡面我們有任何不同的看法
[00:32:26.680 --> 00:32:30.680]  這些跟神聊這些的密集
[00:32:30.680 --> 00:32:34.760]  我會叫做由內走的祈禱
[00:32:34.760 --> 00:32:38.700]  我自己祈求的因典就是
[00:32:38.700 --> 00:32:41.100]  下次我跟姐姐聊天的時候
[00:32:41.100 --> 00:32:42.700]  告訴我
[00:32:42.700 --> 00:32:44.700]  要我記得我是神的兒女
[00:32:44.700 --> 00:32:47.500]  我真的不需要再跟我姐姐
[00:32:47.500 --> 00:32:49.740]  聽到姐姐稱讚她的女兒厲害
[00:32:49.740 --> 00:32:51.020]  我就祈求
[00:32:51.020 --> 00:32:53.940]  我也對她開心
[00:32:53.940 --> 00:32:55.580]  所以呢
[00:32:55.580 --> 00:32:57.820]  幾個向內走的祈禱是比較多
[00:32:57.820 --> 00:33:01.520]  是留意到你自己裡面經歷的東西
[00:33:01.520 --> 00:33:04.420]  而可能很多時候都是一些憎敬
[00:33:04.420 --> 00:33:07.620]  可能你和你老闆裡面
[00:33:07.620 --> 00:33:09.400]  沒有可能你老闆全錯的
[00:33:09.400 --> 00:33:10.360]  起碼一半一半
[00:33:10.360 --> 00:33:11.760]  Start with 一半一半
[00:33:11.760 --> 00:33:13.300]  當你這樣祈禱的時候
[00:33:13.300 --> 00:33:14.900]  其實他這樣叫我
[00:33:14.900 --> 00:33:16.640]  那樣東西也不是不合理的
[00:33:16.640 --> 00:33:17.340]  是吧
[00:33:17.340 --> 00:33:22.000]  而且很多時候都是自己的憎恨來作祟
[00:33:22.000 --> 00:33:23.340]  所以呢
[00:33:23.340 --> 00:33:25.980]  我覺得和大家希望今天
[00:33:25.980 --> 00:33:28.280]  最後的結論
[00:33:28.280 --> 00:33:30.720]  信心和行為的距離
[00:33:30.720 --> 00:33:34.420]  原來神經常問我們這幾個問題
[00:33:34.420 --> 00:33:35.660]  創世紀
[00:33:35.660 --> 00:33:37.180]  亞當
[00:33:37.180 --> 00:33:40.060]  亞當吃完禁果之後
[00:33:40.060 --> 00:33:40.960]  還沒吃完
[00:33:40.960 --> 00:33:42.260]  神第一句就問
[00:33:42.260 --> 00:33:43.860]  你在哪裡?
[00:33:43.860 --> 00:33:45.740]  有時候我們也會的
[00:33:45.740 --> 00:33:47.540]  我們有時候做了一些
[00:33:47.540 --> 00:33:49.840]  可能覺得和神不喜悅的事情
[00:33:49.840 --> 00:33:51.200]  我們也會躲起來
[00:33:51.200 --> 00:33:52.540]  或者祈禱一些
[00:33:52.540 --> 00:33:57.440]  或者和神說一些向外的祈禱
