
[00:00:00.000 --> 00:00:03.000]  各位來賓
[00:21:58.000 --> 00:22:00.000]  林牧師好像今天短了一點
[00:22:00.000 --> 00:22:03.000]  我其實預備了
[00:22:03.000 --> 00:22:05.000]  就是很想和大家提
[00:22:05.000 --> 00:22:06.000]  活像一個智慧人
[00:22:06.000 --> 00:22:08.000]  我們可以有四方面的應用
[00:22:08.000 --> 00:22:11.000]  首先我們來看一看
[00:22:11.000 --> 00:22:13.000]  我們必須要看見
[00:22:13.000 --> 00:22:15.000]  正如剛才說的謹慎行事
[00:22:15.000 --> 00:22:17.000]  就是你要細測
[00:22:17.000 --> 00:22:21.000]  明白上帝在你的人生裏面
[00:22:21.000 --> 00:22:24.000]  究竟教我們今天我們需要做什麼呢?
[00:22:24.000 --> 00:22:26.000]  大家如果記得
[00:22:26.000 --> 00:22:28.000]  在聖經裏面
[00:22:28.000 --> 00:22:30.000]  曾經有一個很有名的核子
[00:22:30.000 --> 00:22:32.000]  叫巴底邁
[00:22:32.000 --> 00:22:36.000]  當他見到耶穌來到耶利哥城的時候
[00:22:36.000 --> 00:22:38.000]  他聽到別人說是那撒勒人耶穌經過
[00:22:38.000 --> 00:22:40.000]  他就馬上怎樣呢?
[00:22:40.000 --> 00:22:42.000]  他馬上說大衛的子孫啊
[00:22:42.000 --> 00:22:44.000]  可憐我爸
[00:22:44.000 --> 00:22:47.000]  他來求告神的兒子
[00:22:47.000 --> 00:22:49.000]  他是出於一個謙卑的心
[00:22:49.000 --> 00:22:51.000]  今天我們要能夠看見
[00:22:51.000 --> 00:22:53.000]  首先你要謙卑
[00:22:53.000 --> 00:22:55.000]  我們今天就是因為這個知識
[00:22:55.000 --> 00:22:57.000]  太豐富
[00:22:57.000 --> 00:22:59.000]  和資訊已經氾濫到一個地步
[00:22:59.000 --> 00:23:03.000]  我們以為我們掌控了很多很多的知識
[00:23:03.000 --> 00:23:05.000]  我們就要自把自為
[00:23:05.000 --> 00:23:07.000]  首先你要明白
[00:23:07.000 --> 00:23:08.000]  你要看見的話
[00:23:08.000 --> 00:23:11.000]  你要謙卑在神的面前
[00:23:11.000 --> 00:23:13.000]  聖經有一個很好的提醒
[00:23:13.000 --> 00:23:17.000]  在《尊嚴書》29章18節所說的
[00:23:17.000 --> 00:23:22.000]  沒有異象,民就會放肆
[00:23:22.000 --> 00:23:26.000]  為遵守律法的便為有福
[00:23:26.000 --> 00:23:29.000]  這個原文在《希伯來文》裡面說的
[00:23:29.000 --> 00:23:35.000]  這個異象就是在說一個默士
[00:23:35.000 --> 00:23:37.000]  默士是源自上帝
[00:23:37.000 --> 00:23:39.000]  祂透露了祂的先知
[00:23:39.000 --> 00:23:40.000]  祂的僕人
[00:23:40.000 --> 00:23:42.000]  你要宣講祂自己的說話
[00:23:42.000 --> 00:23:45.000]  神的心意在聖經裏面
[00:23:45.000 --> 00:23:46.000]  由舊約至新約
[00:23:46.000 --> 00:23:50.000]  都是已經完全完整地
[00:23:50.000 --> 00:23:52.000]  來給予祂的兒女們
[00:23:52.000 --> 00:23:54.000]  來去查考
[00:23:54.000 --> 00:23:58.000]  我們要仔細查明神的心意
[00:23:58.000 --> 00:24:00.000]  透過這本《聖嚴書》
[00:24:00.000 --> 00:24:03.000]  給我們有生活的那種智慧
[00:24:03.000 --> 00:24:06.000]  否則當人迷失的話
[00:24:06.000 --> 00:24:07.000]  我們放肆
[00:24:07.000 --> 00:24:11.000]  我們放肆這個原文的意思就是
[00:24:11.000 --> 00:24:14.000]  你失去了自制的能力
[00:24:14.000 --> 00:24:16.000]  以致輕舉妄動
[00:24:16.000 --> 00:24:18.000]  新的一年的開始
[00:24:18.000 --> 00:24:23.000]  你可以有人生的一些立志計劃
[00:24:23.000 --> 00:24:26.000]  甚至你在職場的生涯裏面
[00:24:26.000 --> 00:24:28.000]  你可以有一些規劃
[00:24:28.000 --> 00:24:30.000]  但我要提醒大家
[00:24:30.000 --> 00:24:31.000]  有計劃有規劃
[00:24:31.000 --> 00:24:34.000]  不代表這些就能夠成就
[00:24:34.000 --> 00:24:37.000]  一切都要在乎上帝祂自己
[00:24:37.000 --> 00:24:38.000]  我們要依靠神
[00:24:38.000 --> 00:24:43.000]  你首先要有一個真是謙卑的心
[00:24:43.000 --> 00:24:45.000]  在過去這一整整一年裏面
[00:24:45.000 --> 00:24:48.000]  我相信大家都明白在疫情下很反覆
[00:24:48.000 --> 00:24:53.000]  教會由起初要進入網絡世界
[00:24:53.000 --> 00:24:55.000]  我們沒有辦法聚會的時候
[00:24:55.000 --> 00:25:02.000]  我們必須來去透過網上崇拜
[00:25:02.000 --> 00:25:06.000]  由起初錄播到後來變成直播
[00:25:06.000 --> 00:25:09.000]  我們都來繼續依靠上帝
[00:25:09.000 --> 00:25:13.000]  我們不停止這份對神的話語的學習
[00:25:13.000 --> 00:25:16.000]  我們都不停止將福音繼續傳開
[00:25:16.000 --> 00:25:20.000]  我們看見上帝有很多的恩典
[00:25:20.000 --> 00:25:22.000]  我曾經被人問過好幾次
[00:25:22.000 --> 00:25:24.000]  牧師你們習慣嗎
[00:25:24.000 --> 00:25:26.000]  以前整個禮堂滿了人
[00:25:26.000 --> 00:25:30.000]  現在只有幾個工作人員在
[00:25:30.000 --> 00:25:31.000]  我們看下去
[00:25:31.000 --> 00:25:34.000]  究竟你講道的時候
[00:25:34.000 --> 00:25:37.000]  你會不會覺得都沒有人聽
[00:25:37.000 --> 00:25:39.000]  我說不是
[00:25:39.000 --> 00:25:40.000]  我經過反思之後
[00:25:40.000 --> 00:25:43.000]  我覺得最重要的
[00:25:43.000 --> 00:25:47.000]  就是神是最重要的主角
[00:25:47.000 --> 00:25:49.000]  神不單止在我們崇拜裏面
[00:25:49.000 --> 00:25:50.000]  在我們的家庭
[00:25:50.000 --> 00:25:51.000]  在職場
[00:25:51.000 --> 00:25:52.000]  在我們生活任何一個處境
[00:25:52.000 --> 00:25:54.000]  祂是肉眼看不見的
[00:25:54.000 --> 00:25:56.000]  但是如果你用信心的眼睛
[00:25:56.000 --> 00:25:57.000]  你會看得見
[00:25:57.000 --> 00:25:59.000]  神在處處都在
[00:25:59.000 --> 00:26:01.000]  而且祂是掌權的
[00:26:01.000 --> 00:26:04.000]  故此神是興萬不得的
[00:26:04.000 --> 00:26:06.000]  人種什麼也收什麼
[00:26:06.000 --> 00:26:11.000]  今天我們已經經過一年的病毒肆虐之後
[00:26:11.000 --> 00:26:15.000]  有很多人都令人發覺難以置信
[00:26:15.000 --> 00:26:19.000]  病毒這件事是肉眼看不見的
[00:26:19.000 --> 00:26:22.000]  但是你要認識它真是存在的
[00:26:22.000 --> 00:26:24.000]  因為你看過很多後果
[00:26:24.000 --> 00:26:27.000]  但是今天竟然在西歐甚至美國
[00:26:27.000 --> 00:26:29.000]  竟然有些人還是很固執
[00:26:29.000 --> 00:26:35.000]  他說這個COVID-19是一個騙局
[00:26:35.000 --> 00:26:38.000]  他不相信有這個病毒
[00:26:38.000 --> 00:26:41.000]  這個不是在說窮鄉僻壤的地方
[00:26:41.000 --> 00:26:44.000]  是在說一些最先進最民主的國家裏面
[00:26:44.000 --> 00:26:51.000]  竟然有人民漠視這種病毒的威脅
[00:26:51.000 --> 00:26:56.000]  當人不盡我們的本份去謙卑盡己
[00:26:56.000 --> 00:26:59.000]  病毒沒有做好防護措施的時候
[00:26:59.000 --> 00:27:01.000]  是可以累己累人的
[00:27:01.000 --> 00:27:03.000]  是有致命的可能性的
[00:27:03.000 --> 00:27:06.000]  所以今天我們去看聖經的教導
[00:27:06.000 --> 00:27:08.000]  就是所羅門所說的
[00:27:08.000 --> 00:27:11.000]  我們需要專心去求告神
[00:27:11.000 --> 00:27:13.000]  在詩篇127篇
[00:27:13.000 --> 00:27:16.000]  最有智慧的皇帝所羅門說
[00:27:16.000 --> 00:27:18.000]  若不是耶和華建造房屋
[00:27:18.000 --> 00:27:20.000]  建造的人都枉然勞力
[00:27:20.000 --> 00:27:23.000]  若不是耶和華看守城池
[00:27:23.000 --> 00:27:26.000]  看守的人都會枉然警醒
[00:27:26.000 --> 00:27:28.000]  耶律米書17章7節說
[00:27:28.000 --> 00:27:34.000]  依靠耶和華 以耶和華為可靠的那人就有福了
[00:27:34.000 --> 00:27:36.000]  詩篇118篇第8節
[00:27:36.000 --> 00:27:39.000]  在全本聖經最中間那一節裏面
[00:27:39.000 --> 00:27:43.000]  他說到投靠耶和華 強似依賴人
[00:27:43.000 --> 00:27:45.000]  我們今天人不能夠自大
[00:27:45.000 --> 00:27:48.000]  我們需要有共同抗疫
[00:27:48.000 --> 00:27:53.000]  而且每個國家民族都需要互相合作
[00:27:53.000 --> 00:27:58.000]  和彼此一起去幫助
[00:27:58.000 --> 00:28:00.000]  事實勝於雄辯
[00:28:00.000 --> 00:28:02.000]  科學的理據的警告
[00:28:02.000 --> 00:28:05.000]  我們是不可以忽視的
[00:28:05.000 --> 00:28:07.000]  同樣 神的說話
[00:28:07.000 --> 00:28:11.000]  今天神的子民有沒有細心去聆聽呢
[00:28:11.000 --> 00:28:13.000]  有沒有去留意呢
[00:28:13.000 --> 00:28:15.000]  這是我第二點要說的
[00:28:15.000 --> 00:28:17.000]  我們要聽見
[00:28:17.000 --> 00:28:20.000]  贖回你的時間和機會
[00:28:20.000 --> 00:28:23.000]  在舊約有一段很重要的經文
[00:28:23.000 --> 00:28:26.000]  在《生命記》第6章所說的
[00:28:26.000 --> 00:28:30.000]  就是神的子民以色列 你要聽
[00:28:30.000 --> 00:28:33.000]  這個Shema這個希伯來文
[00:28:33.000 --> 00:28:37.000]  在舊約的神學裏面也是非常重要
[00:28:37.000 --> 00:28:45.000]  神的子民是必須要專心一致地去聽見
[00:28:45.000 --> 00:28:48.000]  不單止是聽覺上的聽見
[00:28:48.000 --> 00:28:51.000]  這個說的是你心裏的意志
[00:28:51.000 --> 00:28:53.000]  你的感性上
[00:28:53.000 --> 00:28:55.000]  所以接著那句是說
[00:28:55.000 --> 00:29:00.000]  我們要盡心盡性盡力愛耶和華的神
[00:29:00.000 --> 00:29:02.000]  神是獨一無二的主
[00:29:02.000 --> 00:29:04.000]  因為基於這樣的基礎底下
[00:29:04.000 --> 00:29:07.000]  我們要將神的反覆思想
[00:29:07.000 --> 00:29:08.000]  寄在心中
[00:29:08.000 --> 00:29:11.000]  也是殷勤教導我們的兒女
[00:29:11.000 --> 00:29:13.000]  還有在我們生活的不同的場景
[00:29:13.000 --> 00:29:15.000]  家裏 路上
[00:29:15.000 --> 00:29:17.000]  我們都要去背誦
[00:29:17.000 --> 00:29:20.000]  是在手上作記號
[00:29:20.000 --> 00:29:23.000]  但是在額上作經格
[00:29:23.000 --> 00:29:26.000]  他們這些虔誠的猶太人
[00:29:26.000 --> 00:29:29.000]  將神的話掛在額頭上
[00:29:29.000 --> 00:29:31.000]  就是提醒你的腦袋裏面
[00:29:31.000 --> 00:29:32.000]  你的手 你的腳
[00:29:32.000 --> 00:29:34.000]  你無論去到哪裏
[00:29:34.000 --> 00:29:35.000]  你進到你的家裏
[00:29:35.000 --> 00:29:37.000]  進到你的城門
[00:29:37.000 --> 00:29:40.000]  所有的都是充滿著神的話
[00:29:40.000 --> 00:29:43.000]  神的話就是這麼重要
[00:29:43.000 --> 00:29:45.000]  對我們今天來說
[00:29:45.000 --> 00:29:47.000]  我們今天有沒有聽到
[00:29:47.000 --> 00:29:49.000]  上帝祂自己的聲音
[00:29:49.000 --> 00:29:51.000]  祂自己的說話呢
[00:29:51.000 --> 00:29:53.000]  有一首打油詩很有意思
[00:29:53.000 --> 00:29:58.000]  雖然是給那些退休人士
[00:29:58.000 --> 00:29:59.000]  但是我看完之後
[00:29:59.000 --> 00:30:03.000]  我覺得很適合我們年青一代的人
[00:30:03.000 --> 00:30:05.000]  都要珍惜生命
[00:30:05.000 --> 00:30:07.000]  祂說生命其實只是三天
[00:30:07.000 --> 00:30:09.000]  昨天 今天 明天
[00:30:09.000 --> 00:30:11.000]  日夜雖然更替
[00:30:11.000 --> 00:30:13.000]  但是昨天如水逝而不返
[00:30:13.000 --> 00:30:16.000]  今天雖正在流走
[00:30:16.000 --> 00:30:17.000]  明天在即
[00:30:17.000 --> 00:30:19.000]  卻有來之即逝
[00:30:19.000 --> 00:30:21.000]  只有放下昨天
[00:30:21.000 --> 00:30:22.000]  珍惜今天
[00:30:22.000 --> 00:30:24.000]  才能無悔明天
[00:30:24.000 --> 00:30:27.000]  不知道大家會不會看見
[00:30:27.000 --> 00:30:31.000]  你的生命都好像很快就流逝 飛逝
[00:30:31.000 --> 00:30:34.000]  真的時間過得很快
[00:30:34.000 --> 00:30:35.000]  過得很快
[00:30:35.000 --> 00:30:37.000]  我和師母已經
[00:30:37.000 --> 00:30:40.000]  由愛國回流回來已經足足十六年
[00:30:40.000 --> 00:30:43.000]  但是在過去這十六年裏面我們看見
[00:30:43.000 --> 00:30:45.000]  我們在同一個教會的服事
[00:30:45.000 --> 00:30:48.000]  我們看到上帝有很多的恩典
[00:30:48.000 --> 00:30:51.000]  上帝有很多的使用
[00:30:51.000 --> 00:30:53.000]  我們也看到
[00:30:53.000 --> 00:30:56.000]  頂姐妹那種追求和他們對神的
[00:30:56.000 --> 00:30:58.000]  這一份的擺常
[00:30:58.000 --> 00:31:00.000]  但是最近
[00:31:00.000 --> 00:31:03.000]  師母也是因為一次的
[00:31:03.000 --> 00:31:07.000]  無意中的一個發現
[00:31:07.000 --> 00:31:11.000]  她左邊的腮線就好像有些腫脹
[00:31:11.000 --> 00:31:13.000]  起初以為是不是熱氣
[00:31:13.000 --> 00:31:14.000]  我們看完醫生的時候
[00:31:14.000 --> 00:31:16.000]  吃了消炎藥
[00:31:16.000 --> 00:31:18.000]  是消退了
[00:31:18.000 --> 00:31:21.000]  但是裏頭是有一個摸得到的
[00:31:21.000 --> 00:31:24.000]  一個在左邊下巴
[00:31:24.000 --> 00:31:26.000]  下邊的地方
[00:31:26.000 --> 00:31:29.000]  後來再做了一些CT scan
[00:31:29.000 --> 00:31:33.000]  各方面證實了她有一個腮線瘤
[00:31:33.000 --> 00:31:35.000]  這個突然其來
[00:31:35.000 --> 00:31:38.000]  對我自己也是一個
[00:31:38.000 --> 00:31:42.000]  沒有預到 沒有想過
[00:31:42.000 --> 00:31:45.000]  在去年
[00:31:45.000 --> 00:31:49.000]  當我自己要計劃今年的事公的時候
[00:31:49.000 --> 00:31:51.000]  我和黃國峰傳道
[00:31:51.000 --> 00:31:56.000]  都因為我們已經過了安息年假的時間
[00:31:56.000 --> 00:31:58.000]  我原本應該在2019年
[00:31:58.000 --> 00:32:00.000]  我就要放安息年假
[00:32:00.000 --> 00:32:01.000]  有六個月的
[00:32:01.000 --> 00:32:05.000]  但當年是因為教會有35週年的籌備
[00:32:05.000 --> 00:32:08.000]  所以我就想著2020年
[00:32:08.000 --> 00:32:12.000]  誰知道去年的時候又發生了瘟疫
[00:32:12.000 --> 00:32:15.000]  教會有很多應變
[00:32:15.000 --> 00:32:17.000]  教會有很多事要處理
[00:32:17.000 --> 00:32:22.000]  結果我和黃國峰傳道都要再延遲
[00:32:22.000 --> 00:32:24.000]  延遲到今年
[00:32:24.000 --> 00:32:27.000]  當我預備在2月到7月
[00:32:27.000 --> 00:32:30.000]  我會有休息的時間
[00:32:30.000 --> 00:32:32.000]  給自己多些安靜
[00:32:32.000 --> 00:32:34.000]  我希望能夠做一些寫作
[00:32:34.000 --> 00:32:37.000]  沒有想過在這個時候
[00:32:37.000 --> 00:32:40.000]  師母原來有這個病發
[00:32:40.000 --> 00:32:42.000]  我在1月第一個星期日
[00:32:42.000 --> 00:32:44.000]  完了崇拜之後
[00:32:44.000 --> 00:32:46.000]  我自己一個人
[00:32:46.000 --> 00:32:47.000]  因為現在限聚令
[00:32:47.000 --> 00:32:48.000]  最多也是兩個人
[00:32:48.000 --> 00:32:50.000]  我那天選擇自己獨自一人
[00:32:50.000 --> 00:32:52.000]  我吃了一個很簡單的午餐
[00:32:52.000 --> 00:32:57.000]  我就去我們教會附近的香港公園
[00:32:57.000 --> 00:33:00.000]  這個香港公園不知道你有沒有去過
[00:33:00.000 --> 00:33:01.000]  如果你有去過
[00:33:01.000 --> 00:33:02.000]  你會發覺這個就是
[00:33:02.000 --> 00:33:04.000]  石屎森林裏面的一個綠洲
[00:33:04.000 --> 00:33:06.000]  裏面是很漂亮
[00:33:06.000 --> 00:33:08.000]  那天神給我的預見是一個
[00:33:08.000 --> 00:33:11.000]  非常天朗氣清的日子
[00:33:11.000 --> 00:33:13.000]  我在那裏拿著我的手機
[00:33:13.000 --> 00:33:16.000]  邊走邊來拍攝
[00:33:16.000 --> 00:33:18.000]  但在邊拍攝的過程
[00:33:18.000 --> 00:33:20.000]  我看到我亦都聽見
[00:33:20.000 --> 00:33:23.000]  有這些小鳥的聲音
[00:33:23.000 --> 00:33:25.000]  我亦都看到路旁有很多
[00:33:25.000 --> 00:33:30.000]  這些很美麗的花草樹木
[00:33:30.000 --> 00:33:32.000]  甚至我一直走到紅綿道
[00:33:32.000 --> 00:33:34.000]  去到婚姻註冊處的時候
[00:33:34.000 --> 00:33:38.000]  你讓我看見還有一個心形的
[00:33:38.000 --> 00:33:40.000]  一個很漂亮的花圍
[00:33:40.000 --> 00:33:44.000]  每一朵的花都是神的傑作
[00:33:44.000 --> 00:33:47.000]  你在左下角那個叫做是花竹
[00:33:47.000 --> 00:33:51.000]  很漂亮的紅噹噹的一朵花朵
[00:33:51.000 --> 00:33:53.000]  但中間就好像一支蠟燭
[00:33:53.000 --> 00:33:55.000]  誰設計他們
[00:33:55.000 --> 00:33:58.000]  誰叫他們彰顯在人的眼前
[00:33:58.000 --> 00:34:00.000]  當時我就想起
[00:34:00.000 --> 00:34:05.000]  其實耶穌都是這樣提醒我們
[00:34:05.000 --> 00:34:07.000]  他說我們沒有一個人用憂慮
[00:34:07.000 --> 00:34:10.000]  叫我們的壽數可以多加一克
[00:34:10.000 --> 00:34:12.000]  我們今天無論穿甚麼
[00:34:12.000 --> 00:34:13.000]  吃甚麼
[00:34:13.000 --> 00:34:15.000]  你都不需要憂慮
[00:34:15.000 --> 00:34:17.000]  你看看天上的飛鳥
[00:34:17.000 --> 00:34:18.000]  是天父供應的
[00:34:18.000 --> 00:34:21.000]  你看看地上那些野地的百合花
[00:34:21.000 --> 00:34:24.000]  都比起最尊貴的所羅門王
[00:34:24.000 --> 00:34:26.000]  當時那種榮華
[00:34:26.000 --> 00:34:28.000]  他所穿著的那些華美的衣服
[00:34:28.000 --> 00:34:30.000]  是更加的寶貴
[00:34:30.000 --> 00:34:31.000]  神的傑作
[00:34:31.000 --> 00:34:35.000]  神手裏頭所作成的事
[00:34:35.000 --> 00:34:38.000]  是遠比我們人的聰明
[00:34:38.000 --> 00:34:42.000]  能夠展露更加極致
[00:34:42.000 --> 00:34:45.000]  所以當我們去看回
[00:34:45.000 --> 00:34:47.000]  我自己也反思
[00:34:47.000 --> 00:34:52.000]  今天下午我把這一輯拍出來很美的照片
[00:34:52.000 --> 00:34:54.000]  我送了給師母
[00:34:54.000 --> 00:34:59.000]  她看到也很安慰和激勵
[00:34:59.000 --> 00:35:02.000]  我們看見今天我們需要去明白
[00:35:02.000 --> 00:35:04.000]  是主的旨意
[00:35:04.000 --> 00:35:05.000]  這是第三方面
[00:35:05.000 --> 00:35:08.000]  我們不單止要看見
[00:35:08.000 --> 00:35:09.000]  要聽見
[00:35:09.000 --> 00:35:14.000]  更加要明白主的旨意究竟是甚麼
[00:35:14.000 --> 00:35:17.000]  主的旨意就是你要明白主的心腸肺腑
[00:35:17.000 --> 00:35:20.000]  耶穌祂走遍各城各鄉
[00:35:20.000 --> 00:35:22.000]  祂去教導人
[00:35:22.000 --> 00:35:24.000]  宣講天國的福音
[00:35:24.000 --> 00:35:27.000]  又醫治各樣的病症
[00:35:27.000 --> 00:35:33.000]  耶穌看見一大群人就憐憫他們
[00:35:33.000 --> 00:35:35.000]  他們好像很困苦無助
[00:35:35.000 --> 00:35:37.000]  如同羊沒有牧羊般
[00:35:37.000 --> 00:35:42.000]  所以耶穌就吩咐門徒要出去收這些莊稼
[00:35:42.000 --> 00:35:45.000]  莊稼已經發白熟透了
[00:35:45.000 --> 00:35:47.000]  今天這個大時代裏面
[00:35:47.000 --> 00:35:50.000]  有很多人其實都很渴望
[00:35:50.000 --> 00:35:54.000]  能夠尋回他們人生的價值和意義
[00:35:54.000 --> 00:35:56.000]  人生要走對的路
[00:35:56.000 --> 00:35:58.000]  走這條易路
[00:35:58.000 --> 00:35:59.000]  他才能夠找到
[00:35:59.000 --> 00:36:02.000]  發現到生命是有意義
[00:36:02.000 --> 00:36:04.000]  我們可以生存的
[00:36:04.000 --> 00:36:08.000]  我們不只是為了三餐一宿去戶口
[00:36:08.000 --> 00:36:10.000]  當然這是最基本的需要
[00:36:10.000 --> 00:36:12.000]  但是我們必須要找到
[00:36:12.000 --> 00:36:17.000]  我們生命的最重要的事
[00:36:17.000 --> 00:36:20.000]  最近教會都有很多白事
[00:36:20.000 --> 00:36:22.000]  有些是年紀大的
[00:36:22.000 --> 00:36:24.000]  但亦有些是中年人
[00:36:24.000 --> 00:36:28.000]  突然一個病患奪去寶貴的生命
[00:36:28.000 --> 00:36:33.000]  我最近都遇到一個眼睛末期
[00:36:33.000 --> 00:36:39.000]  接受邀請到他的家裏探訪
[00:36:39.000 --> 00:36:41.000]  我看見感恩
[00:36:41.000 --> 00:36:43.000]  當時他們的家人跟我說
[00:36:43.000 --> 00:36:45.000]  他當日的狀態是最好的
[00:36:45.000 --> 00:36:47.000]  在那幾天裏是最好的
[00:36:47.000 --> 00:36:53.000]  我們用神的話來安慰他
[00:36:53.000 --> 00:36:55.000]  鼓勵他為祈禱
[00:36:55.000 --> 00:36:58.000]  最後他不單止缺志
[00:36:58.000 --> 00:37:01.000]  他亦接受床邊的水禮
[00:37:01.000 --> 00:37:06.000]  我亦最近收到一位遠目告訴我
[00:37:06.000 --> 00:37:11.000]  我們有一位會友的家人
[00:37:11.000 --> 00:37:15.000]  因為他在醫院裏沒有辦法出來
[00:37:15.000 --> 00:37:20.000]  他需要在船上進行床邊的滴水禮
[00:37:20.000 --> 00:37:21.000]  我很支持
[00:37:21.000 --> 00:37:22.000]  我為他祈禱
[00:37:22.000 --> 00:37:26.000]  我們都知道這一切是要把握你的機會
[00:37:26.000 --> 00:37:29.000]  今天我們要很好的
[00:37:29.000 --> 00:37:31.000]  就是明白主的旨意
[00:37:31.000 --> 00:37:34.000]  明白父神的心意
[00:37:34.000 --> 00:37:38.000]  就是祂願意人人都能夠悔改
[00:37:38.000 --> 00:37:41.000]  耶穌遲遲未歸不是代表祂遲延
[00:37:41.000 --> 00:37:45.000]  祂乃是寬容我們
[00:37:45.000 --> 00:37:49.000]  我在最近亦遇到一個五年前
[00:37:49.000 --> 00:37:53.000]  當我和師母去西歐旅行的時候
[00:37:53.000 --> 00:37:56.000]  遇到的一對年長夫婦
[00:37:56.000 --> 00:37:59.000]  沒有想到在最近重遇這一對夫婦
[00:37:59.000 --> 00:38:01.000]  但已經有很多改變
[00:38:01.000 --> 00:38:07.000]  身體由早前跌傷亦患病
[00:38:07.000 --> 00:38:12.000]  但我自己心裏被聖靈的一個很重的提醒
[00:38:12.000 --> 00:38:13.000]  要把握機會
[00:38:13.000 --> 00:38:17.000]  你要贖回你的契機
[00:38:17.000 --> 00:38:21.000]  我就結果取回他的手提電話號碼
[00:38:21.000 --> 00:38:23.000]  我就立志為他祈禱
[00:38:23.000 --> 00:38:27.000]  而且我盼望能夠早日可以帶這對年長夫婦
[00:38:27.000 --> 00:38:29.000]  都來歸順主
[00:38:29.000 --> 00:38:32.000]  我們今天明白了主的旨意之後
[00:38:32.000 --> 00:38:35.000]  我們不是停在那裏
[00:38:35.000 --> 00:38:39.000]  我們還需要做到上帝的心意
[00:38:39.000 --> 00:38:42.000]  上帝的心意是願意祂
[00:38:42.000 --> 00:38:46.000]  叫我們每一個屬神的兒女成為真正的門徒
[00:38:46.000 --> 00:38:49.000]  我們聽了道之後不是不實踐
[00:38:49.000 --> 00:38:51.000]  就好像撒種的比喻裏面
[00:38:51.000 --> 00:38:55.000]  只有一種土壤就是好的土
[00:38:55.000 --> 00:38:58.000]  祂願意付代價 知而後行
[00:38:58.000 --> 00:39:01.000]  經得起各樣風浪的考驗
[00:39:01.000 --> 00:39:05.000]  可以結果只三十倍 六十倍 甚至一百倍
[00:39:05.000 --> 00:39:08.000]  信心是要經過考驗的 頂姐妹
[00:39:08.000 --> 00:39:11.000]  我很喜歡最近Pastor Johnny
[00:39:11.000 --> 00:39:15.000]  給學清區的頂姐妹一個鼓勵裏面
[00:39:15.000 --> 00:39:19.000]  他說到Diamonds are made from pressure
[00:39:19.000 --> 00:39:22.000]  Gold is formed through fire
[00:39:22.000 --> 00:39:25.000]  And faith grows through trials
[00:39:25.000 --> 00:39:31.000]  是的 信心是要經過試煉才能成長
[00:39:31.000 --> 00:39:33.000]  所以無論今年會發生甚麼事
[00:39:33.000 --> 00:39:38.000]  願意我們都是用專一的心去依靠上帝
[00:39:38.000 --> 00:39:42.000]  祂會帶領我們走這條易路
[00:39:42.000 --> 00:39:46.000]  頂姐妹 我們今天有沒有來反思
[00:39:46.000 --> 00:39:50.000]  我們的生命裏面有沒有這份智慧的心
[00:39:50.000 --> 00:39:53.000]  我們願意神人摩西再一次提醒我們
[00:39:53.000 --> 00:39:56.000]  指教我們怎樣數算自己的日子
[00:39:56.000 --> 00:40:00.000]  好叫我們有這份智慧的心
[00:40:00.000 --> 00:40:04.000]  你不要荒廢了神給你的日子和機會
[00:40:04.000 --> 00:40:09.000]  我們剛才有提到的另外一個神的旨意
[00:40:09.000 --> 00:40:12.000]  有些人說神的旨意是不是很難明白呢
[00:40:12.000 --> 00:40:14.000]  其實一點都不是
[00:40:14.000 --> 00:40:18.000]  神概括的旨意已經在我們生命裏面很清晰
[00:40:18.000 --> 00:40:25.000]  神有些比較具體的旨意是需要我們透過個人的禱告
[00:40:25.000 --> 00:40:30.000]  你可以和屬靈的長者 教會的牧者一起祈禱去尋求
[00:40:30.000 --> 00:40:32.000]  但是有一個是很清楚的
[00:40:32.000 --> 00:40:36.000]  在《貼薩諾爾家前書》四章三至五節所提及的
[00:40:36.000 --> 00:40:42.000]  這種旨意是說我們要成為聖潔軟臂吟行
[00:40:42.000 --> 00:40:45.000]  頂姐妹 今天在這個網絡世界
[00:40:45.000 --> 00:40:50.000]  充斥著各樣的資訊裏面太方便了
[00:40:50.000 --> 00:40:57.000]  我們千萬不要墮入這些網絡的陷阱
[00:40:57.000 --> 00:41:02.000]  有些人為了談戀愛誤入一些情網
[00:41:02.000 --> 00:41:05.000]  有些人可能被騙子欺騙
[00:41:05.000 --> 00:41:12.000]  甚至有些人可以沉迷在一些遊戲裏面
[00:41:12.000 --> 00:41:15.000]  甚至有一些色情的網站
[00:41:15.000 --> 00:41:16.000]  不要貪得宜
[00:41:16.000 --> 00:41:21.000]  你進去之後 你以後就好像上癮了
[00:41:21.000 --> 00:41:24.000]  這些全部就是神的說話
[00:41:24.000 --> 00:41:29.000]  你要守著自己的身體
[00:41:29.000 --> 00:41:32.000]  你用聖潔尊貴控制自己的身體
[00:41:32.000 --> 00:41:35.000]  不要放縱私慾的邪情
[00:41:35.000 --> 00:41:37.000]  像不認識的外邦人
[00:41:37.000 --> 00:41:39.000]  我們需要明白神的心意之後
[00:41:39.000 --> 00:41:44.000]  你要好好善用神給你的餘下的光陰
[00:41:44.000 --> 00:41:47.000]  你要贖回這些契機
[00:41:47.000 --> 00:41:49.000]  我們活像智慧人
[00:41:49.000 --> 00:41:51.000]  你要看見是神的意象
[00:41:51.000 --> 00:41:53.000]  聽見神的話
