
[00:00:00.000 --> 00:00:02.380]  好,弟兄姊妹,早晨,平安
[00:20:12.960 --> 00:20:14.960]  他說本末倒置
[00:20:14.960 --> 00:20:16.960]  我們想著建這個建築物
[00:20:16.960 --> 00:20:18.960]  是希望這個建築物可以傳福音
[00:20:18.960 --> 00:20:20.960]  但是現在因為這個建築物
[00:20:20.960 --> 00:20:22.960]  每樣東西限制多多
[00:20:22.960 --> 00:20:26.960]  搞到要做的東西做不到
[00:20:26.960 --> 00:20:27.960]  是真實的
[00:20:27.960 --> 00:20:31.960]  不是我作出來的
[00:20:31.960 --> 00:20:34.960]  事實上
[00:20:34.960 --> 00:20:37.960]  教會的主導
[00:20:37.960 --> 00:20:39.960]  有時候不是刻意的
[00:20:39.960 --> 00:20:41.960]  人不是刻意的
[00:20:41.960 --> 00:20:43.960]  每個人都說
[00:20:43.960 --> 00:20:46.960]  教會不應該由建築物做主導
[00:20:46.960 --> 00:20:48.960]  是人都會說的
[00:20:48.960 --> 00:20:49.960]  但是慢慢慢慢
[00:20:49.960 --> 00:20:51.960]  如果我們沒有將我們的心思意念
[00:20:51.960 --> 00:20:53.960]  來矯正的時候
[00:20:53.960 --> 00:20:55.960]  這些東西就出來了
[00:20:55.960 --> 00:20:57.960]  我聽過有另外一個例子
[00:20:57.960 --> 00:20:59.960]  也是一樣類似的
[00:20:59.960 --> 00:21:01.960]  就是說他們搞一個
[00:21:01.960 --> 00:21:03.960]  另外一個教會
[00:21:03.960 --> 00:21:07.960]  是搞一個給新人傳福音的
[00:21:07.960 --> 00:21:09.960]  課後的一個
[00:21:09.960 --> 00:21:11.960]  給年輕人在那裏
[00:21:11.960 --> 00:21:15.960]  溫習室補習
[00:21:15.960 --> 00:21:17.960]  每次完結之後
[00:21:17.960 --> 00:21:19.960]  搞到烏煙瘴氣
[00:21:19.960 --> 00:21:21.960]  垃圾很多東西
[00:21:21.960 --> 00:21:25.960]  後來就開始有些人投訴
[00:21:25.960 --> 00:21:28.960]  後來整個programme就close down了
[00:21:28.960 --> 00:21:30.960]  岡木師就說
[00:21:30.960 --> 00:21:33.960]  很可惜其實都成功的
[00:21:33.960 --> 00:21:35.960]  有些人是來教會的
[00:21:35.960 --> 00:21:37.960]  但是你知道有些新人來
[00:21:37.960 --> 00:21:38.960]  可能有些新移民
[00:21:38.960 --> 00:21:40.960]  他不是美國的文化
[00:21:40.960 --> 00:21:42.960]  當然是隨地吐痰都有的
[00:21:42.960 --> 00:21:44.960]  他的文化是這樣的
[00:21:44.960 --> 00:21:46.960]  你慢慢要教
[00:21:46.960 --> 00:21:48.960]  他每一天進來就不吐痰
[00:21:48.960 --> 00:21:50.960]  他吐了幾十年
[00:21:50.960 --> 00:21:52.960]  年輕人可能吐了十幾年
[00:21:52.960 --> 00:21:55.960]  你因為見了他吐痰
[00:21:55.960 --> 00:21:57.960]  不讓他來教會
[00:21:57.960 --> 00:22:00.960]  整個programme就close down了
[00:22:00.960 --> 00:22:04.960]  之後就很可惜
[00:22:04.960 --> 00:22:06.960]  另外一個
[00:22:06.960 --> 00:22:09.960]  就是活動做主導
[00:22:09.960 --> 00:22:10.960]  很多時候就是
[00:22:10.960 --> 00:22:12.960]  看看那個活動
[00:22:12.960 --> 00:22:14.960]  效果很多人
[00:22:14.960 --> 00:22:17.960]  就是做那件事
[00:22:17.960 --> 00:22:19.960]  但是這種活動做主導的時候
[00:22:19.960 --> 00:22:22.960]  很多時候背後其實要問一個問題
[00:22:22.960 --> 00:22:24.960]  究竟有什麼目的
[00:22:24.960 --> 00:22:26.960]  究竟有什麼目的
[00:22:26.960 --> 00:22:27.960]  舉例來說
[00:22:27.960 --> 00:22:31.960]  我們搞一個church picnic
[00:22:31.960 --> 00:22:34.960]  可能搞到很興高采烈
[00:22:34.960 --> 00:22:35.960]  很成功
[00:22:35.960 --> 00:22:38.960]  很多人很開心
[00:22:38.960 --> 00:22:41.960]  這個活動很值得做
[00:22:41.960 --> 00:22:42.960]  下年又再做
[00:22:42.960 --> 00:22:45.960]  或者可能一年做一個不夠
[00:22:45.960 --> 00:22:47.960]  一年做兩次
[00:22:47.960 --> 00:22:49.960]  這個是活動
[00:22:49.960 --> 00:22:51.960]  但是如果這個活動
[00:22:51.960 --> 00:22:53.960]  只是尋求活動的那一刻
[00:22:53.960 --> 00:22:55.960]  大家很happy
[00:22:55.960 --> 00:22:57.960]  是不夠的
[00:22:57.960 --> 00:22:59.960]  我們要多問一個問題
[00:22:59.960 --> 00:23:02.960]  究竟這個活動背後有什麼目的
[00:23:02.960 --> 00:23:04.960]  它有沒有達到
[00:23:04.960 --> 00:23:05.960]  要達到的目的
[00:23:05.960 --> 00:23:07.960]  如果這個活動是傳福音的活動
[00:23:07.960 --> 00:23:09.960]  它有沒有達到
[00:23:09.960 --> 00:23:14.960]  要為傳福音而設想各方面的
[00:23:14.960 --> 00:23:16.960]  佈置安排
[00:23:16.960 --> 00:23:18.960]  可不可以達到傳福音的目的
[00:23:18.960 --> 00:23:21.960]  還是只是很開心
[00:23:21.960 --> 00:23:23.960]  活動很有效果就是
[00:23:23.960 --> 00:23:25.960]  每一樣東西有它的目的
[00:23:25.960 --> 00:23:29.960]  甚至團契的聚餐也有它的目的
[00:23:29.960 --> 00:23:30.960]  以前我們
[00:23:30.960 --> 00:23:32.960]  例如崇拜之前
[00:23:32.960 --> 00:23:33.960]  弄一些早餐
[00:23:33.960 --> 00:23:35.960]  不是弄早餐
[00:23:35.960 --> 00:23:36.960]  可能有些咖啡
[00:23:36.960 --> 00:23:38.960]  有些小小早點
[00:23:38.960 --> 00:23:40.960]  都有它的目的
[00:23:40.960 --> 00:23:42.960]  但如果它沒有目的的時候
[00:23:42.960 --> 00:23:43.960]  再繼續做
[00:23:43.960 --> 00:23:45.960]  那樣東西
[00:23:45.960 --> 00:23:49.960]  是失去了原本的意義的時候
[00:23:49.960 --> 00:23:55.960]  我們要重新反省和重新計劃
[00:23:55.960 --> 00:23:58.960]  究竟是否應該再這樣做
[00:23:58.960 --> 00:24:02.960]  這個就是活動背後的主導
[00:24:02.960 --> 00:24:05.960]  有些教會是用新來賓做主導
[00:24:05.960 --> 00:24:07.960]  為了新來賓什麼都可以
[00:24:07.960 --> 00:24:11.960]  例如薩諾貝爾教會
[00:24:11.960 --> 00:24:13.960]  他們星期天的時候
[00:24:13.960 --> 00:24:16.960]  因為星期天是接觸新來賓
[00:24:16.960 --> 00:24:18.960]  新來賓做主導的時候
[00:24:18.960 --> 00:24:21.960]  所以他星期天說到
[00:24:21.960 --> 00:24:25.960]  從來都不會說很長篇大論的聖經
[00:24:25.960 --> 00:24:27.960]  因為新來賓不喜歡聽
[00:24:27.960 --> 00:24:30.960]  你說一些比較生活瑣事那些
[00:24:30.960 --> 00:24:32.960]  或者生活應用那些
[00:24:32.960 --> 00:24:34.960]  新來賓才會喜歡聽
[00:24:34.960 --> 00:24:36.960]  這就是新來賓做主導
[00:24:36.960 --> 00:24:38.960]  我就想到一個問題
[00:24:38.960 --> 00:24:41.960]  教會不說聖經
[00:24:41.960 --> 00:24:43.960]  當然動睹笑
[00:24:43.960 --> 00:24:44.960]  更多人喜歡聽
[00:24:44.960 --> 00:24:45.960]  是不是教會就說動睹笑
[00:24:45.960 --> 00:24:47.960]  當然沒有理由
[00:24:47.960 --> 00:24:49.960]  所以新來賓做主導
[00:24:49.960 --> 00:24:54.960]  亦都有他的問題
[00:24:54.960 --> 00:24:57.960]  所以我們的教會
[00:24:57.960 --> 00:25:01.960]  應該有五個目標做主導
[00:25:01.960 --> 00:25:04.960]  這五個目標就是我們使命宣言
[00:25:04.960 --> 00:25:06.960]  所說的五個目標
[00:25:06.960 --> 00:25:10.960]  就是敬拜是中心
[00:25:10.960 --> 00:25:13.960]  然後要團契
[00:25:13.960 --> 00:25:15.960]  要傳福音
[00:25:15.960 --> 00:25:16.960]  要團契
[00:25:16.960 --> 00:25:17.960]  要門徒訓練
[00:25:17.960 --> 00:25:19.960]  和要侍奉
[00:25:19.960 --> 00:25:26.960]  這個就應該是我們衡量教會的目標
[00:25:26.960 --> 00:25:28.960]  剛才所說過
[00:25:28.960 --> 00:25:30.960]  主導教會的
[00:25:30.960 --> 00:25:32.960]  就是引導著教會
[00:25:32.960 --> 00:25:33.960]  控制著教會
[00:25:33.960 --> 00:25:36.960]  和驅使著教會的動力
[00:25:36.960 --> 00:25:38.960]  引導著我們教會
[00:25:38.960 --> 00:25:39.960]  驅使著我們教會
[00:25:39.960 --> 00:25:43.960]  和令我們教會所做的事有動力的
[00:25:43.960 --> 00:25:46.960]  應該是這五樣東西
[00:25:46.960 --> 00:25:50.960]  這五樣東西成為我們新的視野
[00:25:50.960 --> 00:25:53.960]  就是其實我們回來教會
[00:25:53.960 --> 00:25:54.960]  剛才所說過
[00:25:54.960 --> 00:25:55.960]  當我們每個禮拜
[00:25:55.960 --> 00:25:57.960]  每個禮拜重重複做一樣東西的時候
[00:25:57.960 --> 00:25:59.960]  其實很多時候
[00:25:59.960 --> 00:26:01.960]  我們沒有想過是什麼意思
[00:26:01.960 --> 00:26:03.960]  但是如果我們明白
[00:26:03.960 --> 00:26:06.960]  我們有五個目標的時候
[00:26:06.960 --> 00:26:09.960]  我們看我們教會的活動
[00:26:09.960 --> 00:26:10.960]  教會的生活
[00:26:10.960 --> 00:26:15.960]  應該就是看這五個目標
[00:26:15.960 --> 00:26:16.960]  我們所做的事
[00:26:16.960 --> 00:26:19.960]  有沒有符合這五個目標
[00:26:19.960 --> 00:26:23.960]  或者是否包括在這五個目標之內
[00:26:23.960 --> 00:26:25.960]  坦白說剛才那五個目標
[00:26:25.960 --> 00:26:28.960]  如果不在這五個目標之內
[00:26:28.960 --> 00:26:31.960]  有很多東西其實是可以省略的
[00:26:31.960 --> 00:26:33.960]  你明白嗎
[00:26:33.960 --> 00:26:35.960]  而這五個目標的內容
[00:26:35.960 --> 00:26:39.960]  是整個教會存在的最重要
[00:26:39.960 --> 00:26:41.960]  教會可以沒有建築物
[00:26:41.960 --> 00:26:43.960]  可以成為教會
[00:26:43.960 --> 00:26:44.960]  是不是
[00:26:44.960 --> 00:26:46.960]  有很多教會借別人的學校
[00:26:46.960 --> 00:26:48.960]  我記得我以前那時候
[00:26:48.960 --> 00:26:50.960]  地方不夠
[00:26:50.960 --> 00:26:52.960]  上主一學的時候
[00:26:52.960 --> 00:26:54.960]  要搭巴士去到
[00:26:54.960 --> 00:26:56.960]  借了一間中學
[00:26:56.960 --> 00:26:57.960]  那裡上主一學
[00:26:57.960 --> 00:26:59.960]  上完主一學又再搭巴士
[00:26:59.960 --> 00:27:01.960]  又回到教會另外那邊
[00:27:01.960 --> 00:27:03.960]  來到去譬如祈禱會那些
[00:27:03.960 --> 00:27:05.960]  都可以的
[00:27:05.960 --> 00:27:06.960]  是不是
[00:27:06.960 --> 00:27:08.960]  建築物不是的
[00:27:08.960 --> 00:27:10.960]  反而是教會所能不能達到
[00:27:10.960 --> 00:27:12.960]  神所要我們的目標
[00:27:12.960 --> 00:27:14.960]  那個才是重要的
[00:27:14.960 --> 00:27:16.960]  所以我們看一切事情的時候
[00:27:16.960 --> 00:27:18.960]  在教會我們的活動
[00:27:18.960 --> 00:27:20.960]  譬如你的團契當中
[00:27:20.960 --> 00:27:22.960]  有沒有達到這些目標
[00:27:22.960 --> 00:27:25.960]  你的個人生活的時候
[00:27:25.960 --> 00:27:26.960]  有沒有達到這些目標
[00:27:26.960 --> 00:27:29.960]  整體教會我們所做的事情
[00:27:29.960 --> 00:27:30.960]  有沒有達到這些目標
[00:27:30.960 --> 00:27:32.960]  那個是重要的
[00:27:32.960 --> 00:27:33.960]  這個是新的視野
[00:27:33.960 --> 00:27:34.960]  當然了
[00:27:34.960 --> 00:27:36.960]  這些目標本身
[00:27:36.960 --> 00:27:39.960]  不是馬上就會達到的
[00:27:39.960 --> 00:27:41.960]  我們不完美的
[00:27:41.960 --> 00:27:42.960]  我們明白
[00:27:42.960 --> 00:27:44.960]  我們是一個過程來的
[00:27:44.960 --> 00:27:46.960]  我們是需要成長的
[00:27:46.960 --> 00:27:47.960]  我們有我們的目標
[00:27:47.960 --> 00:27:49.960]  那個目標是我們的理想
[00:27:49.960 --> 00:27:50.960]  是我們前面的
[00:27:50.960 --> 00:27:53.960]  好像要達到的終點
[00:27:53.960 --> 00:27:56.960]  但是我們一天都還沒到終點
[00:27:56.960 --> 00:27:57.960]  一天還沒到天交
[00:27:57.960 --> 00:27:58.960]  我們還沒到終點
[00:27:58.960 --> 00:28:00.960]  但是我們是要去那個
[00:28:00.960 --> 00:28:02.960]  終點那裡的時候
[00:28:02.960 --> 00:28:04.960]  我們就向著這五個目標來進發
[00:28:04.960 --> 00:28:07.960]  我們明白
[00:28:07.960 --> 00:28:08.960]  OK
[00:28:08.960 --> 00:28:09.960]  所以聖經那裡說
[00:28:09.960 --> 00:28:12.960]  在哥倫多前書第三章第十節
[00:28:12.960 --> 00:28:13.960]  第十一節
[00:28:13.960 --> 00:28:16.960]  指示各人要謹慎怎樣在上面建造
[00:28:16.960 --> 00:28:19.960]  因為這乃已經立好的根基
[00:28:19.960 --> 00:28:23.960]  就是耶穌基督始沒有人能納別的根基
[00:28:23.960 --> 00:28:26.960]  教會是建築於根基上面
[00:28:26.960 --> 00:28:29.960]  而這個根基是連於耶穌基督
[00:28:29.960 --> 00:28:33.960]  而這個由耶穌基督而引發出來
[00:28:33.960 --> 00:28:35.960]  我們的教會的使命
[00:28:35.960 --> 00:28:40.960]  和那五個目標是絕對有關
[00:28:40.960 --> 00:28:42.960]  說到最後
[00:28:42.960 --> 00:28:46.960]  這個目標就是我們的存在目的
[00:28:46.960 --> 00:28:51.960]  我們今天教會之所以存在
[00:28:51.960 --> 00:28:56.960]  是在於我們有沒有達到那五個目標
[00:28:56.960 --> 00:28:58.960]  我們使命宣言那五個目標
[00:28:58.960 --> 00:29:03.960]  我們教會47年了
[00:29:03.960 --> 00:29:04.960]  如果我問你
[00:29:04.960 --> 00:29:06.960]  我們教會存在什麼目標
[00:29:06.960 --> 00:29:07.960]  然後你告訴我
[00:29:07.960 --> 00:29:11.960]  47年創會的時候是怎樣怎樣
[00:29:11.960 --> 00:29:13.960]  我告訴你
[00:29:13.960 --> 00:29:15.960]  第一
[00:29:15.960 --> 00:29:18.960]  47年創會的那些人
[00:29:18.960 --> 00:29:20.960]  已經不在了
[00:29:20.960 --> 00:29:21.960]  已經不在了
[00:29:21.960 --> 00:29:22.960]  沒有一個在了
[00:29:22.960 --> 00:29:24.960]  可以這樣說
[00:29:24.960 --> 00:29:27.960]  Who cares?
[00:29:27.960 --> 00:29:30.960]  不重要的了
[00:29:30.960 --> 00:29:32.960]  重要不是47年他們
[00:29:32.960 --> 00:29:35.960]  想為什麼要創立我們這間教會
[00:29:35.960 --> 00:29:37.960]  重要是現在
[00:29:37.960 --> 00:29:40.960]  我們47年之後
[00:29:40.960 --> 00:29:45.960]  我們有沒有我們的使命和我們的目標
[00:29:45.960 --> 00:29:46.960]  他們47年之前
[00:29:46.960 --> 00:29:47.960]  他們有他們的意象
[00:29:47.960 --> 00:29:48.960]  有他們的使命
[00:29:48.960 --> 00:29:50.960]  他們創立教會
[00:29:50.960 --> 00:29:52.960]  但47年之後
[00:29:52.960 --> 00:29:54.960]  我們有沒有我們的意象
[00:29:54.960 --> 00:29:56.960]  我們有沒有我們的使命
[00:29:56.960 --> 00:29:58.960]  去延續我們的教會呢
[00:29:58.960 --> 00:30:03.960]  這個才是更重要
[00:30:03.960 --> 00:30:05.960]  47年前
[00:30:05.960 --> 00:30:09.960]  你在哪裏買牛奶呢
[00:30:09.960 --> 00:30:11.960]  你在哪裏買雜貨呢
[00:30:11.960 --> 00:30:13.960]  有沒有想過
[00:30:13.960 --> 00:30:17.960]  我在家附近住的Covina那裏
[00:30:17.960 --> 00:30:18.960]  有時經過
[00:30:18.960 --> 00:30:20.960]  有些很舊的
[00:30:20.960 --> 00:30:23.960]  只是賣牛奶的店舖
[00:30:23.960 --> 00:30:25.960]  你有沒有見過
[00:30:25.960 --> 00:30:28.960]  只賣牛奶的
[00:30:28.960 --> 00:30:29.960]  我心想
[00:30:29.960 --> 00:30:32.960]  今時今日
[00:30:32.960 --> 00:30:36.960]  有沒有人去那裏買牛奶呢
[00:30:36.960 --> 00:30:37.960]  我不知道
[00:30:37.960 --> 00:30:39.960]  我從來都沒有進去過
[00:30:39.960 --> 00:30:40.960]  為什麼呢
[00:30:40.960 --> 00:30:42.960]  因為我買牛奶
[00:30:42.960 --> 00:30:45.960]  我買雜貨去哪裏買的
[00:30:45.960 --> 00:30:47.960]  去超級市場買的
[00:30:47.960 --> 00:30:49.960]  47年前可能
[00:30:49.960 --> 00:30:51.960]  還有士多
[00:30:51.960 --> 00:30:53.960]  還有那些牛奶店
[00:30:53.960 --> 00:30:54.960]  只是賣牛奶
[00:30:54.960 --> 00:30:56.960]  但47年之後
[00:30:56.960 --> 00:30:57.960]  你做生意
[00:30:57.960 --> 00:31:00.960]  還是這樣做呢
[00:31:00.960 --> 00:31:03.960]  不倒閉真是新奇
[00:31:03.960 --> 00:31:05.960]  但47年前
[00:31:05.960 --> 00:31:07.960]  我們的教會
[00:31:07.960 --> 00:31:11.960]  現在47年之後
[00:31:11.960 --> 00:31:13.960]  我們有沒有趕上
[00:31:13.960 --> 00:31:17.960]  去找今日神給我們的使命
[00:31:17.960 --> 00:31:19.960]  神給我們現在的挑戰
[00:31:19.960 --> 00:31:22.960]  我們去回應呢
[00:31:22.960 --> 00:31:24.960]  這個是重要
[00:31:24.960 --> 00:31:25.960]  如果沒有的時候
[00:31:25.960 --> 00:31:27.960]  我們還是用47年前
[00:31:27.960 --> 00:31:30.960]  這樣來做牛奶生意
[00:31:30.960 --> 00:31:32.960]  根本沒得做
[00:31:32.960 --> 00:31:34.960]  你明不明
[00:31:34.960 --> 00:31:36.960]  真是沒得做
[00:31:36.960 --> 00:31:38.960]  不說47年前
[00:31:38.960 --> 00:31:39.960]  20年前
[00:31:39.960 --> 00:31:43.960]  你去那些士多
[00:31:43.960 --> 00:31:45.960]  20年前可能還有士多仔
[00:31:45.960 --> 00:31:47.960]  現在都沒有士多
[00:31:47.960 --> 00:31:48.960]  你明不明
[00:31:48.960 --> 00:31:50.960]  根本不是這樣做生意
[00:31:50.960 --> 00:31:53.960]  但是47年前的教會
[00:31:53.960 --> 00:31:54.960]  和47年前的教會
[00:31:54.960 --> 00:31:56.960]  很多是一樣的
[00:31:56.960 --> 00:31:57.960]  最低限度外表是一樣的
[00:31:57.960 --> 00:31:59.960]  去哪裏我不知道
[00:31:59.960 --> 00:32:01.960]  但這個也是我們反省
[00:32:01.960 --> 00:32:03.960]  人家我不說
[00:32:03.960 --> 00:32:06.960]  那我們自己呢
[00:32:06.960 --> 00:32:09.960]  47年前和47年後
[00:32:09.960 --> 00:32:11.960]  我們的教會
[00:32:11.960 --> 00:32:13.960]  除了有些人面前非之外
[00:32:13.960 --> 00:32:16.960]  但所去追求
[00:32:16.960 --> 00:32:18.960]  所去跟從神
[00:32:18.960 --> 00:32:20.960]  所去神所給我們的使命
[00:32:20.960 --> 00:32:22.960]  在這個時代的回應
[00:32:22.960 --> 00:32:25.960]  我們有沒有說得上呢
[00:32:25.960 --> 00:32:29.960]  是不是
[00:32:29.960 --> 00:32:33.960]  教會我們的五個目標
[00:32:33.960 --> 00:32:36.960]  其實是根據聖經兩段
[00:32:36.960 --> 00:32:38.960]  剛才讀經的時候讀過
[00:32:38.960 --> 00:32:40.960]  一段就稱為大誡命
[00:32:40.960 --> 00:32:42.960]  一段就稱為大使命
[00:32:42.960 --> 00:32:43.960]  大誡命是什麼呢
[00:32:43.960 --> 00:32:45.960]  我們一起讀
[00:32:45.960 --> 00:32:50.960]  你要盡心盡性盡義愛主你的神
[00:32:50.960 --> 00:32:52.960]  這是誡命中的第一
[00:32:52.960 --> 00:32:53.960]  這是最大的
[00:32:53.960 --> 00:32:55.960]  其次也相反
[00:32:55.960 --> 00:32:57.960]  就是要愛人如己
[00:32:57.960 --> 00:33:03.960]  這兩條誡命是律法和先知一切道理的總綱
[00:33:03.960 --> 00:33:05.960]  這條稱為大誡命
[00:33:05.960 --> 00:33:11.960]  是耶穌基督吩咐的Great Commandment
[00:33:11.960 --> 00:33:16.960]  一切的總結就在於愛神愛人
[00:33:16.960 --> 00:33:18.960]  而且是怎樣愛呢
[00:33:18.960 --> 00:33:23.960]  是盡心盡性盡義這樣來愛
[00:33:23.960 --> 00:33:27.960]  盡心盡性盡義這樣來愛
[00:33:27.960 --> 00:33:30.960]  第二條就稱為大使命
[00:33:30.960 --> 00:33:32.960]  大使命就是主耶穌復活升天之後
[00:33:32.960 --> 00:33:33.960]  吩咐門徒的
[00:33:33.960 --> 00:33:35.960]  我們一起讀
[00:33:35.960 --> 00:33:37.960]  所以你們要去
[00:33:37.960 --> 00:33:39.960]  使萬民作我的門徒
[00:33:39.960 --> 00:33:41.960]  奉父子聖靈的名
[00:33:41.960 --> 00:33:43.960]  給他們施洗
[00:33:43.960 --> 00:33:45.960]  凡我所吩咐你們的
[00:33:45.960 --> 00:33:47.960]  都教訓他們遵守
[00:33:47.960 --> 00:33:49.960]  我就常與你們同在
[00:33:49.960 --> 00:33:52.960]  直到世界的末了
[00:33:52.960 --> 00:33:54.960]  這個就稱為大使命
[00:33:54.960 --> 00:33:57.960]  我們那五個目標
[00:33:57.960 --> 00:34:03.960]  其實就在於從這兩段聖經而來
[00:34:03.960 --> 00:34:06.960]  盡心盡義盡力愛主你的神
[00:34:06.960 --> 00:34:08.960]  當然就是要敬拜
[00:34:08.960 --> 00:34:10.960]  當我們敬拜的時候
[00:34:10.960 --> 00:34:13.960]  我們是盡心盡義去敬拜
[00:34:13.960 --> 00:34:15.960]  時代可以不同
[00:34:15.960 --> 00:34:16.960]  形式可以不同
[00:34:16.960 --> 00:34:20.960]  唱的詩歌的風格都可以不同
[00:34:20.960 --> 00:34:23.960]  講道的風格都可以不同
[00:34:23.960 --> 00:34:25.960]  但我們都是盡上我們自己
[00:34:25.960 --> 00:34:28.960]  來投入去敬拜神
[00:34:28.960 --> 00:34:32.960]  這是第一個教會存在的目標
[00:34:32.960 --> 00:34:34.960]  我們所做的每一件事
[00:34:34.960 --> 00:34:39.960]  配不配得上去敬拜神呢?
[00:34:39.960 --> 00:34:41.960]  我們的生活
[00:34:41.960 --> 00:34:45.960]  有沒有好像敬拜的生活
[00:34:45.960 --> 00:34:48.960]  我們不是星期天才敬拜
[00:34:48.960 --> 00:34:51.960]  我們整個人都是敬拜的時候
[00:34:51.960 --> 00:34:53.960]  七天都是敬拜
[00:34:53.960 --> 00:34:55.960]  星期天好像是集中於
[00:34:55.960 --> 00:35:00.960]  專一來去敬拜
[00:35:00.960 --> 00:35:04.960]  所以法蘭福音第四章十四說
[00:35:04.960 --> 00:35:07.960]  當拜主你的神單要侍奉他
[00:35:07.960 --> 00:35:09.960]  這是第一個敬拜的目標
[00:35:09.960 --> 00:35:12.960]  第二個目標就是
[00:35:12.960 --> 00:35:15.960]  侍奉別人
[00:35:15.960 --> 00:35:20.960]  所以愛倫社如同自己去侍奉
[00:35:20.960 --> 00:35:22.960]  你愛一個人
[00:35:22.960 --> 00:35:24.960]  你會為他做一些事
[00:35:24.960 --> 00:35:26.960]  你說很愛你
[00:35:26.960 --> 00:35:29.960]  從來不會為你做任何事
[00:35:29.960 --> 00:35:32.960]  行不行呢?
[00:35:32.960 --> 00:35:37.960]  基本上你們知道是假話
[00:35:37.960 --> 00:35:41.960]  所以我們愛倫社如同自己
[00:35:41.960 --> 00:35:44.960]  一定是去服侍別人
[00:35:44.960 --> 00:35:45.960]  一定是服侍別人
[00:35:45.960 --> 00:35:48.960]  這是我們第二個目標
[00:35:48.960 --> 00:35:50.960]  當然那五個目標
[00:35:50.960 --> 00:35:52.960]  先後的次序是不分的
[00:35:52.960 --> 00:35:54.960]  五個都是同樣重要
[00:35:54.960 --> 00:35:58.960]  但是我們基督徒的生活
[00:35:58.960 --> 00:36:03.960]  有沒有去服侍我們身邊的人
[00:36:03.960 --> 00:36:05.960]  我們教會的生活
[00:36:05.960 --> 00:36:07.960]  是不是一個
[00:36:07.960 --> 00:36:11.960]  健全有份服侍的教會生活呢?
[00:36:11.960 --> 00:36:14.960]  你不是回來只是吸的
[00:36:14.960 --> 00:36:17.960]  這是一個gift和take
[00:36:17.960 --> 00:36:19.960]  才能夠成長的
[00:36:19.960 --> 00:36:22.960]  你想想我們很多時候
[00:36:22.960 --> 00:36:24.960]  老人家特別是
[00:36:24.960 --> 00:36:27.960]  看到小朋友吃東西就很開心
[00:36:27.960 --> 00:36:29.960]  我記得我以前的探望
[00:36:29.960 --> 00:36:32.960]  阿媽阿婆
[00:36:32.960 --> 00:36:34.960]  經常都側我吃東西
[00:36:34.960 --> 00:36:37.960]  老人家看到小朋友吃東西就很開心
[00:36:37.960 --> 00:36:40.960]  可能有些公公婆婆
[00:36:40.960 --> 00:36:43.960]  看到小朋友吃東西就很開心
[00:36:43.960 --> 00:36:45.960]  在老人家的觀念當中
[00:36:45.960 --> 00:36:47.960]  吃東西intake
[00:36:47.960 --> 00:36:49.960]  他就會grow
[00:36:49.960 --> 00:36:51.960]  可能因為在他們的背景當中
[00:36:51.960 --> 00:36:53.960]  他們經過困難的日子
[00:36:53.960 --> 00:36:55.960]  打過仗很多時候沒有東西吃
[00:36:55.960 --> 00:36:57.960]  吃東西才長大
[00:36:57.960 --> 00:36:59.960]  吃東西才長大
[00:36:59.960 --> 00:37:00.960]  不吃東西就不長大
[00:37:00.960 --> 00:37:02.960]  你以後就不高了
[00:37:02.960 --> 00:37:04.960]  這個是很多時候的觀念
[00:37:04.960 --> 00:37:06.960]  但是我告訴你
[00:37:06.960 --> 00:37:07.960]  這樣的觀念帶回來教會
[00:37:07.960 --> 00:37:09.960]  你就死定了
[00:37:09.960 --> 00:37:10.960]  為什麼?
[00:37:10.960 --> 00:37:12.960]  你不斷地take
[00:37:12.960 --> 00:37:15.960]  就不gift的
[00:37:15.960 --> 00:37:19.960]  你的屬靈生命不僅不高
[00:37:19.960 --> 00:37:23.960]  是一潭死水
[00:37:23.960 --> 00:37:25.960]  而真實來說
[00:37:25.960 --> 00:37:27.960]  大家都明白的
[00:37:27.960 --> 00:37:29.960]  小朋友不斷地吃
[00:37:29.960 --> 00:37:30.960]  不動不做運動
[00:37:30.960 --> 00:37:31.960]  變了痴肥
[00:37:31.960 --> 00:37:33.960]  現在美國痴肥小朋友
[00:37:33.960 --> 00:37:36.960]  是第一大的問題
[00:37:36.960 --> 00:37:39.960]  健康第一大問題
[00:37:39.960 --> 00:37:43.960]  只是take不gift是不行的
[00:37:43.960 --> 00:37:48.960]  侍奉就是gift
[00:37:48.960 --> 00:37:50.960]  所以聖經說過
[00:37:50.960 --> 00:37:52.960]  因為你們立志行善
[00:37:52.960 --> 00:37:54.960]  神在你們心裡運行
[00:37:54.960 --> 00:37:57.960]  為了成就他的美意
[00:37:57.960 --> 00:37:59.960]  我們要行善
[00:37:59.960 --> 00:38:00.960]  要走出來
[00:38:00.960 --> 00:38:02.960]  將我們的good work
[00:38:02.960 --> 00:38:06.960]  去work it out
[00:38:06.960 --> 00:38:09.960]  所以侍奉是第二個目標
[00:38:09.960 --> 00:38:12.960]  第三個目標當然就是傳福音
[00:38:12.960 --> 00:38:14.960]  大使命說過
[00:38:14.960 --> 00:38:18.960]  你們要去司馬文作的門徒
[00:38:18.960 --> 00:38:21.960]  奉父子的名和他們施浸
[00:38:21.960 --> 00:38:25.960]  傳福音當然是的
[00:38:25.960 --> 00:38:28.960]  我們教會
[00:38:28.960 --> 00:38:29.960]  坦白說
