
[00:00:00.000 --> 00:00:02.000]  我們今天的主題就是
[00:11:46.200 --> 00:11:47.200]  其實已經有個
[00:11:47.200 --> 00:11:48.200]  到期日的
[00:11:48.200 --> 00:11:50.200]  不過當然你要和我不知道
[00:11:50.200 --> 00:11:51.200]  不用找找不到
[00:11:51.200 --> 00:11:52.200]  神會知道
[00:11:52.200 --> 00:11:53.200]  或者其實這個到期日
[00:11:53.200 --> 00:11:55.200]  我自己覺得
[00:11:55.200 --> 00:11:57.200]  因着你在世上
[00:11:57.200 --> 00:11:58.200]  活得有沒有意義
[00:11:58.200 --> 00:11:59.200]  或者神的旨意
[00:11:59.200 --> 00:12:01.200]  或者因着你生命的
[00:12:01.200 --> 00:12:03.200]  那個品
[00:12:03.200 --> 00:12:05.200]  那個質素不同了
[00:12:05.200 --> 00:12:07.200]  可能神都有不同的安排
[00:12:07.200 --> 00:12:08.200]  這是我自己的想法
[00:12:08.200 --> 00:12:09.200]  但是怎樣都好
[00:12:09.200 --> 00:12:10.200]  我們人生總會有盡頭一日
[00:12:10.200 --> 00:12:11.200]  當我們盡頭一日的時候
[00:12:11.200 --> 00:12:12.200]  離開這個世界
[00:12:12.200 --> 00:12:14.200]  其實最大的安慰
[00:12:14.200 --> 00:12:16.200]  或者最大的禮物
[00:12:16.200 --> 00:12:18.200]  最大的優點是什麼
[00:12:18.200 --> 00:12:19.200]  就是當我們能夠
[00:12:19.200 --> 00:12:20.200]  很清楚知道
[00:12:20.200 --> 00:12:23.200]  我們人生是不枉此生
[00:12:23.200 --> 00:12:25.200]  但是最大的禍患是什麼
[00:12:25.200 --> 00:12:26.200]  就是當我們離開世界的時候
[00:12:26.200 --> 00:12:27.200]  我們後悔終生
[00:12:27.200 --> 00:12:28.200]  爲什麼我不做多些這些事
[00:12:28.200 --> 00:12:29.200]  爲什麼我不要花時間
[00:12:29.200 --> 00:12:31.200]  做那些廢事呢
[00:12:31.200 --> 00:12:33.200]  這個就是人生最大的
[00:12:33.200 --> 00:12:35.200]  一個禍患和智慧
[00:12:35.200 --> 00:12:38.200]  我們看第二節經文
[00:12:38.200 --> 00:12:40.200]  就是提後三章十二節
[00:12:40.200 --> 00:12:41.200]  讀一讀這一節經文
[00:12:41.200 --> 00:12:43.200]  我想你們不太熟悉這一節經文
[00:12:43.200 --> 00:12:44.200]  不過我們一起讀一讀
[00:12:44.200 --> 00:12:46.200]  不但如此
[00:12:47.200 --> 00:12:50.200]  凡立志在基督耶穌裏敬虔度日的
[00:12:50.200 --> 00:12:52.200]  也都要受逼迫
[00:12:52.200 --> 00:12:53.200]  你知道我們基督徒很多時候
[00:12:53.200 --> 00:12:54.200]  都有很多金句
[00:12:54.200 --> 00:12:55.200]  金句只是你最喜歡的那些
[00:12:55.200 --> 00:12:56.200]  請用經文
[00:12:56.200 --> 00:12:58.200]  一般來說都是什麼
[00:12:58.200 --> 00:13:00.200]  神愛你 摟你 疼你
[00:13:00.200 --> 00:13:02.200]  賜福給你那些
[00:13:02.200 --> 00:13:04.200]  那麼多年在教會
[00:13:04.200 --> 00:13:05.200]  我去探訪那些弟兄姊妹
[00:13:05.200 --> 00:13:07.200]  我從來沒見人掛這一節經文
[00:13:07.200 --> 00:13:09.200]  我們可不可以出那一節經文
[00:13:09.200 --> 00:13:11.200]  不用經常拍着我
[00:13:11.200 --> 00:13:13.200]  拍經文可以的
[00:13:13.200 --> 00:13:16.200]  這一節經文說
[00:13:16.200 --> 00:13:19.200]  凡是立志在基督耶穌裏敬虔度日的
[00:13:19.200 --> 00:13:21.200]  都要受逼迫
[00:13:21.200 --> 00:13:23.200]  但是你又會問一個問題
[00:13:23.200 --> 00:13:25.200]  什麼人才在耶穌基督裏
[00:13:25.200 --> 00:13:27.200]  立志敬虔度日呢
[00:13:27.200 --> 00:13:29.200]  特木斯那些傳道
[00:13:29.200 --> 00:13:31.200]  當然我們一定要立志敬虔度日
[00:13:31.200 --> 00:13:34.200]  但是這一節經文當然是給所有基督徒
[00:13:34.200 --> 00:13:36.200]  所以其實基督信仰
[00:13:36.200 --> 00:13:38.200]  不只是放在這裏給我們看
[00:13:38.200 --> 00:13:39.200]  或者不只是上天堂
[00:13:39.200 --> 00:13:41.200]  是需要我們活出這個信仰
[00:13:41.200 --> 00:13:42.200]  還有
[00:13:42.200 --> 00:13:44.200]  基督信仰最棒的地方
[00:13:44.200 --> 00:13:46.200]  當我們活出的時候我們經歷到
[00:13:46.200 --> 00:13:47.200]  當中的真實
[00:13:47.200 --> 00:13:48.200]  所以我們以敬虔度日
[00:13:48.200 --> 00:13:49.200]  這個目標其實是
[00:13:49.200 --> 00:13:51.200]  對每一個基督徒都是這樣的要求
[00:13:51.200 --> 00:13:53.200]  或者這個是最終的目標
[00:13:53.200 --> 00:13:55.200]  當我們去這樣做的時候
[00:13:55.200 --> 00:13:58.200]  其實我們才能夠真真正正經驗到
[00:13:58.200 --> 00:14:01.200]  基督信仰當中的真實和寶貴
[00:14:01.200 --> 00:14:02.200]  我可以這樣說
[00:14:02.200 --> 00:14:03.200]  我大膽地這樣說
[00:14:03.200 --> 00:14:05.200]  我們如果沒有這樣去做的話
[00:14:05.200 --> 00:14:06.200]  我們只不過是剛剛入門
[00:14:06.200 --> 00:14:08.200]  譬如你聽了福音
[00:14:08.200 --> 00:14:09.200]  信了主
[00:14:09.200 --> 00:14:10.200]  你上教會聚會
[00:14:10.200 --> 00:14:11.200]  沒問題的
[00:14:11.200 --> 00:14:12.200]  參加小組
[00:14:12.200 --> 00:14:14.200]  參加講座或者其他東西都好
[00:14:14.200 --> 00:14:16.200]  但其實這個是一個入門
[00:14:16.200 --> 00:14:17.200]  即是幼稚園
[00:14:17.200 --> 00:14:18.200]  即是小學
[00:14:18.200 --> 00:14:20.200]  但我們需要在信仰上面
[00:14:20.200 --> 00:14:22.200]  你既然入到寶山
[00:14:22.200 --> 00:14:23.200]  你就不可以空手而回
[00:14:23.200 --> 00:14:24.200]  或者你既然入了
[00:14:24.200 --> 00:14:25.200]  去這個基督信仰
[00:14:25.200 --> 00:14:26.200]  你作爲基督徒
[00:14:26.200 --> 00:14:27.200]  其實你就要做一個
[00:14:27.200 --> 00:14:29.200]  貨真價實的基督徒
[00:14:29.200 --> 00:14:30.200]  不要做一個牙嗚
[00:14:30.200 --> 00:14:32.200]  或者做一個表面的基督徒
[00:14:32.200 --> 00:14:33.200]  很多時候這個世界的人
[00:14:33.200 --> 00:14:34.200]  不喜歡上教會
[00:14:34.200 --> 00:14:35.200]  或者不相信福音
[00:14:35.200 --> 00:14:36.200]  其實就是因爲我們
[00:14:36.200 --> 00:14:39.200]  活不出一個基督徒應該有的樣式
[00:14:39.200 --> 00:14:40.200]  OK
[00:14:40.200 --> 00:14:41.200]  但如果我們活出的話
[00:14:41.200 --> 00:14:43.200]  其實你就算不用用口說
[00:14:43.200 --> 00:14:45.200]  人家都會對基督信仰或者福音
[00:14:45.200 --> 00:14:47.200]  產生濃厚的興趣
[00:14:47.200 --> 00:14:48.200]  所以這裏講我們每一個人
[00:14:48.200 --> 00:14:49.200]  都應該要敬虔
[00:14:49.200 --> 00:14:50.200]  敬虔的意思其實就是
[00:14:50.200 --> 00:14:53.200]  將主擺在中心點
[00:14:53.200 --> 00:14:55.200]  剛纔講成功神學的問題
[00:14:55.200 --> 00:14:56.200]  就是將人擺在中心
[00:14:56.200 --> 00:14:57.200]  如果人不是中心
[00:14:57.200 --> 00:14:58.200]  誰是中心
[00:14:58.200 --> 00:15:00.200]  誰纔有資格在宇宙中心
[00:15:00.200 --> 00:15:01.200]  請問你
[00:15:01.200 --> 00:15:02.200]  當然是神
[00:15:02.200 --> 00:15:03.200]  爲什麼
[00:15:03.200 --> 00:15:04.200]  因爲祂是真善美的源頭
[00:15:04.200 --> 00:15:07.200]  祂是一切美善的源頭
[00:15:07.200 --> 00:15:09.200]  祂纔有資格在宇宙中心
[00:15:09.200 --> 00:15:10.200]  如果人在中心
[00:15:10.200 --> 00:15:12.200]  我們是控制不了的
[00:15:12.200 --> 00:15:13.200]  我們坐在那裏
[00:15:13.200 --> 00:15:14.200]  我們不夠格
[00:15:14.200 --> 00:15:16.200]  我們不夠這樣的資料
[00:15:16.200 --> 00:15:17.200]  坐在那裏
[00:15:17.200 --> 00:15:19.200]  你不就是害己害人
[00:15:19.200 --> 00:15:21.200]  你聽得明白我說什麼嗎
[00:15:21.200 --> 00:15:22.200]  很多時候我們人就是這樣
[00:15:22.200 --> 00:15:24.200]  要所有人都膜拜我
[00:15:24.200 --> 00:15:25.200]  膜拜自己
[00:15:25.200 --> 00:15:26.200]  那不就出事了
[00:15:26.200 --> 00:15:28.200]  所以暴君歷年歷代
[00:15:28.200 --> 00:15:30.200]  不同朝代古今中外的暴君
[00:15:30.200 --> 00:15:32.200]  都是這個問題
[00:15:32.200 --> 00:15:35.200]  他要人當他是神這樣拜的時候
[00:15:35.200 --> 00:15:37.200]  那不就出事了
[00:15:37.200 --> 00:15:39.200]  因爲我們人根本就不是無限的
[00:15:39.200 --> 00:15:41.200]  我們不是完美的
[00:15:41.200 --> 00:15:43.200]  那我們應該就是圍繞神
[00:15:43.200 --> 00:15:44.200]  我們應該以敬畏神
[00:15:44.200 --> 00:15:46.200]  當然神會選擇猜派一些人
[00:15:46.200 --> 00:15:47.200]  在不同的崗位上
[00:15:47.200 --> 00:15:48.200]  作爲領袖
[00:15:48.200 --> 00:15:49.200]  千夫長八夫長
[00:15:49.200 --> 00:15:50.200]  或者是以前的大衛
[00:15:50.200 --> 00:15:52.200]  素來這些是王
[00:15:52.200 --> 00:15:53.200]  但不是代表他們完美無限
[00:15:53.200 --> 00:15:55.200]  不是代表他們高人一等
[00:15:55.200 --> 00:15:56.200]  在教會里一樣
[00:15:56.200 --> 00:15:57.200]  有牧師有傳道
[00:15:57.200 --> 00:15:59.200]  但不是代表我們超級
[00:15:59.200 --> 00:16:01.200]  屬靈的超人
[00:16:01.200 --> 00:16:03.200]  Spiritual Superman
[00:16:03.200 --> 00:16:04.200]  我們都是人
[00:16:04.200 --> 00:16:06.200]  也不是一個藉口說我們會犯錯
[00:16:06.200 --> 00:16:07.200]  所以你原諒我
[00:16:07.200 --> 00:16:08.200]  不是這個意思
[00:16:08.200 --> 00:16:10.200]  其實我們覺得我們需要互相的勉勵
[00:16:10.200 --> 00:16:12.200]  當然神會猜派我們來做領袖
[00:16:12.200 --> 00:16:14.200]  你對我的尊重
[00:16:14.200 --> 00:16:15.200]  不是單單是我的title
[00:16:15.200 --> 00:16:16.200]  而是我的生命
[00:16:16.200 --> 00:16:18.200]  應該是這樣
[00:16:18.200 --> 00:16:19.200]  但無論怎樣都好
[00:16:19.200 --> 00:16:21.200]  我們一定要是圍繞上帝
[00:16:21.200 --> 00:16:22.200]  圍繞神的心意
[00:16:22.200 --> 00:16:23.200]  來行事爲人
[00:16:23.200 --> 00:16:24.200]  教會都一樣
[00:16:24.200 --> 00:16:25.200]  我們所有的政策
[00:16:25.200 --> 00:16:26.200]  所有的策略
[00:16:26.200 --> 00:16:27.200]  所有的事工
[00:16:27.200 --> 00:16:28.200]  都應該是圍繞神的心意
[00:16:28.200 --> 00:16:29.200]  不應該有私意
[00:16:29.200 --> 00:16:30.200]  當然有時候
[00:16:30.200 --> 00:16:32.200]  因着客觀條件的緣故
[00:16:32.200 --> 00:16:34.200]  有先有後
[00:16:34.200 --> 00:16:35.200]  等等
[00:16:35.200 --> 00:16:36.200]  好了
[00:16:36.200 --> 00:16:37.200]  那第二點
[00:16:37.200 --> 00:16:39.200]  其實和剛纔第一點
[00:16:39.200 --> 00:16:40.200]  不要作愚昧
[00:16:40.200 --> 00:16:42.200]  都是一個延續
[00:16:42.200 --> 00:16:45.200]  都是同一個主題裏面
[00:16:45.200 --> 00:16:46.200]  那我們第二點
[00:16:46.200 --> 00:16:47.200]  不要做糊塗人
[00:16:47.200 --> 00:16:48.200]  剛纔說過了
[00:16:48.200 --> 00:16:49.200]  糊塗人不單止是
[00:16:49.200 --> 00:16:50.200]  傻傻的
[00:16:50.200 --> 00:16:51.200]  不分青紅皁白
[00:16:51.200 --> 00:16:52.200]  最主要就是
[00:16:52.200 --> 00:16:54.200]  他們不明白神的旨意是怎樣
[00:16:54.200 --> 00:16:56.200]  因爲明白神的旨意
[00:16:56.200 --> 00:16:57.200]  才能做一個
[00:16:57.200 --> 00:16:59.200]  心思純正的人
[00:16:59.200 --> 00:17:01.200]  做一個心境澄明的人
[00:17:01.200 --> 00:17:03.200]  我不知道你熟不熟
[00:17:03.200 --> 00:17:04.200]  有些人
[00:17:04.200 --> 00:17:05.200]  我們中國人
[00:17:05.200 --> 00:17:07.200]  喜歡佛學
[00:17:07.200 --> 00:17:09.200]  我是研究這些東西的人
[00:17:09.200 --> 00:17:11.200]  所以一脈相承這個講座
[00:17:11.200 --> 00:17:12.200]  遲下慢慢會講到
[00:17:12.200 --> 00:17:13.200]  餘道佛的東西
[00:17:13.200 --> 00:17:14.200]  by the way
[00:17:14.200 --> 00:17:15.200]  一脈相承這個講座
[00:17:15.200 --> 00:17:17.200]  大家訂14號
[00:17:17.200 --> 00:17:18.200]  就是下個星期日
[00:17:18.200 --> 00:17:20.200]  其實這個講座
[00:17:20.200 --> 00:17:23.200]  講所有文化與信仰的關係
[00:17:23.200 --> 00:17:24.200]  和我告訴你
[00:17:24.200 --> 00:17:25.200]  譬如我自己很有興趣
[00:17:25.200 --> 00:17:26.200]  我上一代
[00:17:26.200 --> 00:17:27.200]  很多都是講這些
[00:17:27.200 --> 00:17:28.200]  譬如溫偉耀博士
[00:17:28.200 --> 00:17:29.200]  梁永強牧師
[00:17:29.200 --> 00:17:31.200]  我聽他們很多
[00:17:31.200 --> 00:17:32.200]  但我告訴你
[00:17:32.200 --> 00:17:33.200]  在我這一代
[00:17:33.200 --> 00:17:38.200]  基本上都是隻有我
[00:17:38.200 --> 00:17:40.200]  所以11月14號
[00:17:40.200 --> 00:17:41.200]  在我們教會舉辦
[00:17:41.200 --> 00:17:42.200]  這個一脈相承的講座
[00:17:42.200 --> 00:17:44.200]  在全世界
[00:17:44.200 --> 00:17:46.200]  暫時我所知道
[00:17:46.200 --> 00:17:47.200]  都是在這個地方纔有
[00:17:47.200 --> 00:17:48.200]  所以你們很難得在這裏
[00:17:48.200 --> 00:17:50.200]  我們一起來學習
[00:17:50.200 --> 00:17:53.200]  當然
[00:17:53.200 --> 00:17:54.200]  怎麼說
[00:17:54.200 --> 00:17:55.200]  真的有很多
[00:17:55.200 --> 00:17:56.200]  很豐富的
[00:17:56.200 --> 00:17:58.200]  我們每一次只講一點點
[00:17:58.200 --> 00:17:59.200]  但如果你慢慢
[00:17:59.200 --> 00:18:00.200]  每一次來
[00:18:00.200 --> 00:18:01.200]  累積了的時候
[00:18:01.200 --> 00:18:03.200]  你的眼界
[00:18:03.200 --> 00:18:04.200]  和你的境界
[00:18:04.200 --> 00:18:05.200]  越來越開闊
[00:18:05.200 --> 00:18:08.200]  記得報名
[00:18:08.200 --> 00:18:09.200]  完了之後
[00:18:09.200 --> 00:18:11.200]  可以按QR Code
[00:18:11.200 --> 00:18:14.200]  要明白主人的旨意是怎麼樣的
[00:18:14.200 --> 00:18:16.200]  很有趣的是
[00:18:16.200 --> 00:18:17.200]  美國這個地方
[00:18:17.200 --> 00:18:20.200]  當初是一個清教徒
[00:18:20.200 --> 00:18:22.200]  去到美國這個新大陸
[00:18:22.200 --> 00:18:25.200]  以基督教信仰立國
[00:18:25.200 --> 00:18:26.200]  但當然近年
[00:18:26.200 --> 00:18:28.200]  已經是有形無實
[00:18:28.200 --> 00:18:31.200]  但很多時候出來的統計
[00:18:31.200 --> 00:18:32.200]  或者一些東西
[00:18:32.200 --> 00:18:33.200]  很有趣的
[00:18:33.200 --> 00:18:34.200]  反映了他們這種
[00:18:34.200 --> 00:18:36.200]  有形無實的信仰
[00:18:36.200 --> 00:18:37.200]  這裏有一個這樣的報告
[00:18:37.200 --> 00:18:38.200]  超過半數的美國人
[00:18:38.200 --> 00:18:40.200]  同意聖經的信息
[00:18:40.200 --> 00:18:41.200]  是很有幫助的
[00:18:41.200 --> 00:18:43.200]  有54%的人都認爲
[00:18:43.200 --> 00:18:44.200]  聖經包含了一個人
[00:18:44.200 --> 00:18:45.200]  可以過有意義人生
[00:18:45.200 --> 00:18:47.200]  所需要知道一切的道理
[00:18:47.200 --> 00:18:49.200]  但是根據美國聖經協會
[00:18:49.200 --> 00:18:50.200]  American Bible Society
[00:18:50.200 --> 00:18:52.200]  或者Barnard Group
[00:18:52.200 --> 00:18:54.200]  Barnard Group是很多統計數字
[00:18:54.200 --> 00:18:57.200]  如果你是一個統計學的迷
[00:18:57.200 --> 00:19:00.200]  你應該多點上去這裏
[00:19:00.200 --> 00:19:01.200]  你就會看到
[00:19:01.200 --> 00:19:02.200]  不過它限於美國
[00:19:02.200 --> 00:19:04.200]  因爲它是美國的機構
[00:19:04.200 --> 00:19:05.200]  我由讀神學開始
[00:19:05.200 --> 00:19:06.200]  十幾二十年
[00:19:06.200 --> 00:19:08.200]  我經常都偶爾看一下
[00:19:08.200 --> 00:19:09.200]  它的統計數字
[00:19:09.200 --> 00:19:10.200]  都有些幫助
[00:19:10.200 --> 00:19:11.200]  或者說到
[00:19:11.200 --> 00:19:13.200]  有些具體的數字
[00:19:13.200 --> 00:19:15.200]  它有一份報告
[00:19:15.200 --> 00:19:16.200]  但是這裏
[00:19:16.200 --> 00:19:17.200]  剛纔說這些人認爲
[00:19:17.200 --> 00:19:18.200]  聖經信息很好
[00:19:18.200 --> 00:19:19.200]  能夠幫助我們
[00:19:19.200 --> 00:19:21.200]  可以找到一個有意義人生
[00:19:21.200 --> 00:19:22.200]  其實他們對於聖經
[00:19:22.200 --> 00:19:25.200]  有一半人都是沒有讀聖經的
[00:19:25.200 --> 00:19:27.200]  那是什麼意思
[00:19:27.200 --> 00:19:28.200]  你沒有讀聖經
[00:19:28.200 --> 00:19:29.200]  但是你有印象當中
[00:19:29.200 --> 00:19:30.200]  覺得基督教是好的
[00:19:30.200 --> 00:19:31.200]  聖經是好的
[00:19:31.200 --> 00:19:32.200]  爲什麼
[00:19:32.200 --> 00:19:33.200]  美國是一個基督教立國國家
[00:19:33.200 --> 00:19:34.200]  等於我們今天
[00:19:34.200 --> 00:19:35.200]  有很多父母都說
[00:19:35.200 --> 00:19:38.200]  信這些兒子去基督教的幼稚園
[00:19:38.200 --> 00:19:39.200]  小學中學都是好的
[00:19:39.200 --> 00:19:41.200]  因爲那裏你不會學壞的
[00:19:41.200 --> 00:19:42.200]  然後你問他
[00:19:42.200 --> 00:19:43.200]  爲什麼不會學壞
[00:19:43.200 --> 00:19:44.200]  是不會學壞的
[00:19:44.200 --> 00:19:45.200]  教會好一點
[00:19:45.200 --> 00:19:46.200]  怎樣好呢
[00:19:46.200 --> 00:19:47.200]  他說不出口
[00:19:47.200 --> 00:19:48.200]  所以原來
[00:19:48.200 --> 00:19:49.200]  信徒有時候也是這樣
[00:19:49.200 --> 00:19:50.200]  問你
[00:19:50.200 --> 00:19:51.200]  你跟他說信耶穌
[00:19:51.200 --> 00:19:52.200]  信耶穌有什麼好
[00:19:52.200 --> 00:19:53.200]  好呢
[00:19:53.200 --> 00:19:54.200]  真的很棒
[00:19:54.200 --> 00:19:55.200]  說不出口
[00:19:55.200 --> 00:19:56.200]  總之你信吧
[00:19:56.200 --> 00:19:58.200]  不要怕只要信
[00:19:58.200 --> 00:20:00.200]  你是不是這樣
[00:20:00.200 --> 00:20:04.200]  很多時候我們
[00:20:04.200 --> 00:20:06.200]  自己本人對於信仰
[00:20:06.200 --> 00:20:07.200]  第一
[00:20:07.200 --> 00:20:08.200]  認知上面
[00:20:08.200 --> 00:20:09.200]  很含糊
[00:20:09.200 --> 00:20:11.200]  好像這裏這樣都不一定
[00:20:11.200 --> 00:20:12.200]  大致上
[00:20:12.200 --> 00:20:13.200]  神是愛
[00:20:13.200 --> 00:20:14.200]  信耶穌
[00:20:14.200 --> 00:20:15.200]  信福音
[00:20:15.200 --> 00:20:16.200]  你就行
[00:20:16.200 --> 00:20:17.200]  怎樣行
[00:20:17.200 --> 00:20:18.200]  回來教會聽到
[00:20:18.200 --> 00:20:19.200]  我怎會跟你說行不行
[00:20:19.200 --> 00:20:21.200]  然後我們又沒有經歷
[00:20:21.200 --> 00:20:23.200]  講一下自己的經歷
[00:20:23.200 --> 00:20:24.200]  沒有的
[00:20:24.200 --> 00:20:25.200]  總之
[00:20:25.200 --> 00:20:26.200]  回來
[00:20:26.200 --> 00:20:27.200]  總之信
[00:20:27.200 --> 00:20:28.200]  不要問那麼多
[00:20:28.200 --> 00:20:29.200]  那麼多問題
[00:20:29.200 --> 00:20:30.200]  牧師不喜歡你問問題
[00:20:30.200 --> 00:20:31.200]  是嗎
[00:20:31.200 --> 00:20:32.200]  我沒有說過
[00:20:32.200 --> 00:20:33.200]  我很歡迎你們問問題
[00:20:33.200 --> 00:20:34.200]  是吧
[00:20:34.200 --> 00:20:35.200]  OK
[00:20:35.200 --> 00:20:36.200]  所以其實這個統計
[00:20:36.200 --> 00:20:38.200]  表達了很多信徒
[00:20:38.200 --> 00:20:39.200]  當然這個是美國
[00:20:39.200 --> 00:20:40.200]  不過
[00:20:40.200 --> 00:20:42.200]  都可以舉一反三的
[00:20:42.200 --> 00:20:43.200]  我們不要做一個
[00:20:43.200 --> 00:20:45.200]  大概的基督徒
[00:20:45.200 --> 00:20:46.200]  以前我小時候
[00:20:46.200 --> 00:20:47.200]  有一篇文章
[00:20:47.200 --> 00:20:48.200]  我不知道現在有沒有讀
[00:20:48.200 --> 00:20:49.200]  文一多先生
[00:20:49.200 --> 00:20:50.200]  差不多多先生
[00:20:50.200 --> 00:20:51.200]  有沒有讀
[00:20:51.200 --> 00:20:52.200]  差不多多先生
[00:20:52.200 --> 00:20:54.200]  差不多多先生
[00:20:54.200 --> 00:20:55.200]  其實是一篇很好的文章
[00:20:55.200 --> 00:20:56.200]  其實是什麼意思
[00:20:56.200 --> 00:20:57.200]  就是他很能夠
[00:20:57.200 --> 00:20:59.200]  講出中國人的民族特性
[00:20:59.200 --> 00:21:01.200]  我們什麼事都差不多
[00:21:01.200 --> 00:21:03.200]  其實我們很計較
[00:21:03.200 --> 00:21:04.200]  不過那些差不多
[00:21:04.200 --> 00:21:06.200]  其實就是我們讀書的東西
[00:21:06.200 --> 00:21:07.200]  那些很硬的東西
[00:21:07.200 --> 00:21:08.200]  我們就說差不多
[00:21:08.200 --> 00:21:09.200]  但是如果你出糧
[00:21:09.200 --> 00:21:10.200]  跟我說差不多
[00:21:10.200 --> 00:21:12.200]  我跟你死過
[00:21:12.200 --> 00:21:13.200]  就是這樣
[00:21:13.200 --> 00:21:16.200]  你明白我的意思嗎
[00:21:16.200 --> 00:21:18.200]  我們爲什麼要讀神的話
[00:21:18.200 --> 00:21:20.200]  如果我們再看幾次經文
[00:21:20.200 --> 00:21:21.200]  我們會更加認識到
[00:21:21.200 --> 00:21:22.200]  真理在哪裏
[00:21:22.200 --> 00:21:23.200]  我們看看這個經文
[00:21:23.200 --> 00:21:25.200]  詩篇119篇第11節
[00:21:25.200 --> 00:21:27.200]  我們一起來讀
[00:21:27.200 --> 00:21:28.200]  我將你的話
[00:21:28.200 --> 00:21:30.200]  藏在心裏
[00:21:30.200 --> 00:21:32.200]  免得我得罪你
[00:21:32.200 --> 00:21:33.200]  我將你的話
[00:21:33.200 --> 00:21:34.200]  你的話是什麼
[00:21:34.200 --> 00:21:35.200]  就是聖經裏面
[00:21:35.200 --> 00:21:36.200]  神的話語放在聖經裏面
[00:21:36.200 --> 00:21:37.200]  就是讀聖經
[00:21:37.200 --> 00:21:38.200]  藏在心裏
[00:21:38.200 --> 00:21:39.200]  我真的要講一講
[00:21:39.200 --> 00:21:40.200]  很多時候我們
[00:21:40.200 --> 00:21:41.200]  我特別覺得
[00:21:41.200 --> 00:21:42.200]  我們華人基督徒
[00:21:42.200 --> 00:21:43.200]  對於這節經文
[00:21:43.200 --> 00:21:45.200]  我以前回教會都很看重
[00:21:45.200 --> 00:21:46.200]  但是問題是
[00:21:46.200 --> 00:21:47.200]  不懂解的
[00:21:47.200 --> 00:21:48.200]  就永遠將神的話語
[00:21:48.200 --> 00:21:49.200]  藏在心裏面
[00:21:49.200 --> 00:21:52.200]  就不會活出來
[00:21:52.200 --> 00:21:53.200]  你懂得笑
[00:21:53.200 --> 00:21:54.200]  好東西
[00:21:54.200 --> 00:21:56.200]  果然是翻了一遍
[00:21:56.200 --> 00:21:58.200]  藏在心裏有個誤解
[00:21:58.200 --> 00:21:59.200]  就是怎麼樣
[00:21:59.200 --> 00:22:00.200]  我讀完之後
[00:22:00.200 --> 00:22:01.200]  我放在心裏
[00:22:01.200 --> 00:22:02.200]  不需要走出來
[00:22:02.200 --> 00:22:03.200]  是嗎
[00:22:03.200 --> 00:22:05.200]  我們今年是什麼
[00:22:05.200 --> 00:22:07.200]  進入社區
[00:22:07.200 --> 00:22:09.200]  沒有聲音
[00:22:09.200 --> 00:22:11.200]  進入社區
[00:22:11.200 --> 00:22:13.200]  活出福音
[00:22:13.200 --> 00:22:14.200]  所以其實真正藏在心裏
[00:22:14.200 --> 00:22:15.200]  藏在心裏
[00:22:15.200 --> 00:22:16.200]  讓神的話語
[00:22:16.200 --> 00:22:18.200]  改變我們的心思意念
[00:22:18.200 --> 00:22:19.200]  記不記得我剛纔說
[00:22:19.200 --> 00:22:20.200]  謹慎自守
[00:22:20.200 --> 00:22:21.200]  你要保守你心
[00:22:21.200 --> 00:22:22.200]  勝過保守一切
[00:22:22.200 --> 00:22:23.200]  因爲一生的果效
[00:22:23.200 --> 00:22:24.200]  是由心發春的
[00:22:24.200 --> 00:22:25.200]  所以其實
[00:22:25.200 --> 00:22:26.200]  將神的話語
[00:22:26.200 --> 00:22:27.200]  藏在心裏的意思
[00:22:27.200 --> 00:22:28.200]  就是在心裏面
[00:22:28.200 --> 00:22:29.200]  對我們造成天翻地覆
[00:22:29.200 --> 00:22:30.200]  深層次
[00:22:30.200 --> 00:22:32.200]  最根本的改變
[00:22:32.200 --> 00:22:34.200]  然後我們再行事爲人
[00:22:34.200 --> 00:22:35.200]  就會活出
[00:22:35.200 --> 00:22:37.200]  一個合神意思的
[00:22:37.200 --> 00:22:38.200]  能夠榮耀神的
[00:22:38.200 --> 00:22:39.200]  好見證的
[00:22:39.200 --> 00:22:40.200]  一個這樣的
[00:22:40.200 --> 00:22:41.200]  生活的態度
[00:22:41.200 --> 00:22:42.200]  或者人家看到我們的時候
[00:22:42.200 --> 00:22:43.200]  能夠歸榮耀給神
[00:22:43.200 --> 00:22:44.200]  所以永遠不是
[00:22:44.200 --> 00:22:45.200]  只是藏在心裏
[00:22:45.200 --> 00:22:46.200]  愛在什麼
[00:22:46.200 --> 00:22:47.200]  心裏口難開
[00:22:47.200 --> 00:22:48.200]  我們中國人
[00:22:48.200 --> 00:22:49.200]  經常都是這樣的
[00:22:49.200 --> 00:22:50.200]  不是這樣的
[00:22:50.200 --> 00:22:51.200]  上一代是這樣
[00:22:51.200 --> 00:22:52.200]  我們不是
[00:22:52.200 --> 00:22:53.200]  我們現在新的父母
[00:22:53.200 --> 00:22:54.200]  我們和子女說什麼
[00:22:54.200 --> 00:22:55.200]  哎呀
[00:22:55.200 --> 00:22:56.200]  我愛你
[00:22:56.200 --> 00:22:57.200]  我很疼你的
[00:22:57.200 --> 00:22:58.200]  這樣
[00:22:58.200 --> 00:22:59.200]  或者你說不出口
[00:22:59.200 --> 00:23:00.200]  就說其他文
[00:23:00.200 --> 00:23:01.200]  通常說
[00:23:01.200 --> 00:23:02.200]  I love you
