
[00:00:00.000 --> 00:00:01.400]  不知道大家還記不記得
[00:19:04.000 --> 00:19:05.280]  基督教是講信心
[00:19:05.280 --> 00:19:06.480]  我們通過信心的時候
[00:19:06.480 --> 00:19:09.360]  實際上所彰顯的就是神的智慧與能力
[00:19:09.360 --> 00:19:11.360]  不過我們要留意
[00:19:11.360 --> 00:19:17.160]  保羅這番話並不是講給不信的人聽
[00:19:17.160 --> 00:19:20.720]  保羅這封信是寫給信徒
[00:19:20.720 --> 00:19:23.000]  就是說當人成為信徒之後
[00:19:23.000 --> 00:19:26.440]  等於我們的言語和行為
[00:19:26.440 --> 00:19:29.240]  就一定合乎神的心意
[00:19:29.240 --> 00:19:32.120]  要在熟悉的文化裡面要活出
[00:19:32.120 --> 00:19:35.680]  神的智慧、十字架的能力
[00:19:35.680 --> 00:19:40.040]  我們需要操練、學習、成長
[00:19:40.040 --> 00:19:43.520]  互相提醒、代討、互相問責
[00:19:43.520 --> 00:19:48.840]  這個就是我們教會肢體生活的重要性
[00:19:48.840 --> 00:19:50.480]  中國人有句話
[00:19:50.480 --> 00:19:55.520]  水能載舟亦能覆舟
[00:19:55.520 --> 00:19:58.360]  熟悉的智慧
[00:19:58.360 --> 00:19:59.960]  其實我們需要
[00:19:59.960 --> 00:20:01.560]  但是我們要搞清楚
[00:20:01.560 --> 00:20:02.920]  熟悉的智慧
[00:20:02.920 --> 00:20:07.640]  可以讓我們在地上有某一類型的成功
[00:20:07.640 --> 00:20:14.280]  但是如果完全將熟悉的智慧引入教會的時候
[00:20:14.280 --> 00:20:15.840]  我們就會發覺
[00:20:15.840 --> 00:20:18.520]  會有很大的困難
[00:20:18.520 --> 00:20:21.040]  很大的問題
[00:20:21.040 --> 00:20:23.720]  唯有一個按神的智慧行事
[00:20:23.720 --> 00:20:26.800]  以神的愛來活出肢體的生活
[00:20:26.800 --> 00:20:30.920]  信徒才能夠真正體驗到熟悉的成長
[00:20:30.920 --> 00:20:34.640]  相反來說,一個人如果用人的智慧行事
[00:20:34.640 --> 00:20:39.760]  按著社會的文化標準來運作教會的時候
[00:20:39.760 --> 00:20:42.600]  問題很多時候就會出現
[00:20:42.600 --> 00:20:45.360]  很容易會製造一個只有外表
[00:20:45.360 --> 00:20:48.880]  而缺乏生命的基督徒
[00:20:48.880 --> 00:20:52.080]  昔日的哥倫多教會以辯論
[00:20:52.080 --> 00:20:55.840]  來作為表達自己的文化
[00:20:55.840 --> 00:20:58.000]  將這個文化帶入教會
[00:20:58.000 --> 00:20:59.840]  我想問大家
[00:20:59.840 --> 00:21:02.040]  你覺得這一種的熟悉文化
[00:21:02.040 --> 00:21:05.360]  有沒有在侵蝕今天的教會?
[00:21:05.360 --> 00:21:06.560]  有沒有?
[00:21:06.560 --> 00:21:09.240]  如果有的時候我們應該怎樣來處理呢?
[00:21:09.240 --> 00:21:10.400]  我相信有很多
[00:21:10.400 --> 00:21:13.520]  由於時間關係,我只不過想提三點
[00:21:13.520 --> 00:21:15.920]  不過當我提的時候,我想大家不要誤會
[00:21:15.920 --> 00:21:19.360]  我並不是要批評教會甚麼
[00:21:19.360 --> 00:21:21.960]  只不過是有些觀察我們都需要留意
[00:21:21.960 --> 00:21:23.640]  讓我們可以在神面前做得更好
[00:21:23.640 --> 00:21:27.600]  第一樣我想跟大家分享的是消費主義
[00:21:27.600 --> 00:21:28.480]  消費主義
[00:21:28.480 --> 00:21:31.200]  我想問大家
[00:21:31.200 --> 00:21:33.640]  當你找教會的時候
[00:21:33.640 --> 00:21:38.400]  找一間教會是能夠適切到自己需要
[00:21:38.400 --> 00:21:40.040]  有沒有問題?
[00:21:40.040 --> 00:21:41.880]  講得很清楚
[00:21:41.880 --> 00:21:44.440]  今天我們找教會的時候
[00:21:44.440 --> 00:21:45.880]  這個很重要
[00:21:45.880 --> 00:21:48.120]  我們需要找一間教會
[00:21:48.120 --> 00:21:53.520]  是能夠適切到我們屬靈上面的需要
[00:21:53.520 --> 00:21:55.920]  既然是這樣的時候
[00:21:55.920 --> 00:21:59.680]  既然教會是需要滿足信徒的需要的時候
[00:21:59.680 --> 00:22:02.960]  那甚麼才算是消費者主義呢?
[00:22:02.960 --> 00:22:05.360]  我相信大家要清楚一件事
[00:22:05.360 --> 00:22:08.240]  教會的責任是要提供屬靈上面的需要
[00:22:08.240 --> 00:22:10.480]  包括甚麼呢?
[00:22:10.480 --> 00:22:12.680]  一間教一定要有的
[00:22:12.680 --> 00:22:15.960]  敬虔的崇拜
[00:22:15.960 --> 00:22:20.200]  學習神話語的機會、地方
[00:22:20.200 --> 00:22:21.760]  一起禱告
[00:22:21.760 --> 00:22:24.080]  一起領聖餐
[00:22:24.080 --> 00:22:27.720]  當信耶穌的時候有水禮
[00:22:27.720 --> 00:22:29.720]  這些全部都是屬靈上面的需要
[00:22:29.720 --> 00:22:30.480]  每一間教會
[00:22:30.480 --> 00:22:33.400]  如果你發覺我剛才所講的是漏了沒有的時候
[00:22:33.400 --> 00:22:35.520]  或者做得馬馬虎虎的時候
[00:22:35.520 --> 00:22:38.600]  這個就是問題所在
[00:22:38.600 --> 00:22:40.880]  但是我們需要明白的是
[00:22:40.880 --> 00:22:46.640]  當一個消費者的心態進入教會的時候
[00:22:46.640 --> 00:22:49.840]  那個心態是怎樣的心態?
[00:22:49.840 --> 00:22:51.240]  心態就是說
[00:22:51.240 --> 00:22:53.000]  我來到這間教會
[00:22:53.000 --> 00:22:54.600]  我有份奉獻的
[00:22:54.600 --> 00:22:55.800]  我有份侍奉的
[00:22:55.800 --> 00:22:57.000]  我有份付出的
[00:22:57.000 --> 00:22:59.000]  我有份這樣,有份那樣的
[00:22:59.000 --> 00:23:02.720]  所以當我在這樣付出的時候
[00:23:02.720 --> 00:23:05.760]  教會是你當滿足我的
[00:23:05.760 --> 00:23:07.200]  符合我的要求
[00:23:07.200 --> 00:23:08.280]  符合我的需要
[00:23:08.280 --> 00:23:13.320]  更加需要滿足我的渴想
[00:23:13.320 --> 00:23:17.000]  如果有任何事教會做得我覺得不妥當
[00:23:17.000 --> 00:23:18.120]  我覺得教會應該這樣做
[00:23:18.120 --> 00:23:20.200]  教會沒有這樣做的時候
[00:23:20.200 --> 00:23:23.080]  停教會奉獻
[00:23:23.080 --> 00:23:27.280]  執行包袱,去另一間教會
[00:23:27.280 --> 00:23:29.280]  有一次有一個姐妹
[00:23:29.280 --> 00:23:31.040]  我見她一段時間沒有回來
[00:23:31.040 --> 00:23:32.160]  我就打電話給她
[00:23:32.160 --> 00:23:32.720]  不是這裡的
[00:23:32.720 --> 00:23:35.560]  所以不用想是誰
[00:23:35.560 --> 00:23:36.600]  我問那個姐妹
[00:23:36.600 --> 00:23:38.800]  我說很久沒見你了
[00:23:38.800 --> 00:23:40.080]  那個姐妹跟我說
[00:23:40.080 --> 00:23:42.880]  我和我先生決定還是不回這間教會了
[00:23:42.880 --> 00:23:43.920]  我就問為什麼
[00:23:43.920 --> 00:23:47.880]  有什麼地方我們需要改善呢
[00:23:47.880 --> 00:23:48.520]  她跟我說
[00:23:48.520 --> 00:23:49.640]  沒有什麼都很好
[00:23:49.640 --> 00:23:51.360]  不過你們的禮堂沒有冷氣
[00:23:51.360 --> 00:23:55.080]  太熱了,你不相信嗎
[00:23:55.080 --> 00:23:57.000]  我聽了之後我無語
[00:23:57.000 --> 00:23:58.200]  我感恩的是
[00:23:58.200 --> 00:24:03.840]  主耶穌沒有因為馬槽太骯髒而不降世
[00:24:03.840 --> 00:24:07.400]  另外一次我邀請一個弟兄來我們教會
[00:24:07.400 --> 00:24:08.280]  你也信耶穌的
[00:24:08.280 --> 00:24:10.480]  不如我們教會試一下
[00:24:10.480 --> 00:24:11.240]  他第一句問我
[00:24:11.240 --> 00:24:13.680]  我們那天問什麼呢
[00:24:13.680 --> 00:24:17.880]  你們教會有沒有音樂節目
[00:24:17.880 --> 00:24:20.560]  在台上載歌載舞那一種
[00:24:20.560 --> 00:24:22.440]  我就說沒有
[00:24:22.440 --> 00:24:24.760]  我們教會是神給我們的
[00:24:24.760 --> 00:24:25.720]  我們就有什麼
[00:24:25.720 --> 00:24:27.240]  我們也有一些師班團
[00:24:27.240 --> 00:24:28.920]  很賣力,很用心地去唱
[00:24:28.920 --> 00:24:30.800]  但是如果你和僥倖比較的話
[00:24:30.800 --> 00:24:33.880]  未到那個職業水準
[00:24:33.880 --> 00:24:36.480]  她真的沒有來
[00:24:36.480 --> 00:24:38.200]  各位姐妹
[00:24:38.200 --> 00:24:40.160]  我們要能夠分辨
[00:24:40.160 --> 00:24:43.800]  需要與渴求是兩回事
[00:24:43.800 --> 00:24:51.040]  不要讓消費主義侵蝕了教會的屬靈質素
[00:24:51.040 --> 00:24:54.680]  第二就是個人主義
[00:24:54.680 --> 00:24:59.560]  其中一個教會應該要有的就是關愛每一個弟兄姐妹
[00:24:59.560 --> 00:25:02.760]  不過日漸高漲的個人主義
[00:25:02.760 --> 00:25:05.000]  侵蝕了教會很多不同的範圍
[00:25:05.000 --> 00:25:07.120]  我今天只說一個範圍
[00:25:07.120 --> 00:25:08.560]  這是真人真事
[00:25:08.560 --> 00:25:10.120]  我也好像和大家分享過
[00:25:10.120 --> 00:25:12.880]  曾經有一個弟兄
[00:25:12.880 --> 00:25:15.800]  被教會發現了他有婚外情
[00:25:15.800 --> 00:25:18.480]  牧師就知道了之後
[00:25:18.480 --> 00:25:21.320]  就約了這個弟兄出來和他聊聊天
[00:25:21.320 --> 00:25:24.440]  這個弟兄一坐下來的時候
[00:25:24.440 --> 00:25:27.240]  牧師還沒開始說話的時候
[00:25:27.240 --> 00:25:28.760]  這個弟兄就和牧師說
[00:25:28.760 --> 00:25:32.000]  牧師,我平時和你都有兩句聊聊天的
[00:25:32.000 --> 00:25:34.440]  我知道你今天來約我聊天
[00:25:34.440 --> 00:25:36.480]  當然是聊我婚姻的問題
[00:25:36.480 --> 00:25:37.880]  如果你打算說這件事的時候
[00:25:37.880 --> 00:25:38.760]  拜託你不用說了
[00:25:38.760 --> 00:25:41.800]  這是我私人的事
[00:25:41.800 --> 00:25:44.520]  你和我講信仰、講耶穌沒問題
[00:25:44.520 --> 00:25:47.360]  但是不要插一隻腳下來
[00:25:47.360 --> 00:25:51.680]  我婚姻私人的空間
[00:25:51.680 --> 00:25:53.400]  大家怎麼看呢?
[00:25:53.400 --> 00:25:54.120]  沒錯
[00:25:54.120 --> 00:25:57.080]  這個世界所嚮往
[00:25:57.080 --> 00:25:59.120]  或者很多時候我們所強調的
[00:25:59.120 --> 00:26:00.840]  就是我們要有私人的空間
[00:26:00.840 --> 00:26:01.720]  私人的時間
[00:26:01.720 --> 00:26:02.720]  私人的權利
[00:26:02.720 --> 00:26:04.080]  是不是?
[00:26:04.080 --> 00:26:08.800]  但是請大家不要將自由變成事由
[00:26:08.800 --> 00:26:11.160]  事由你愛怎樣就怎樣
[00:26:11.160 --> 00:26:13.400]  但是自由不是愛怎樣就怎樣
[00:26:13.400 --> 00:26:16.440]  在教會裏面我們需要有肢體生活的時候
[00:26:16.440 --> 00:26:21.920]  我們弟兄姐妹之間是應該有一個互相
[00:26:21.920 --> 00:26:23.160]  服侍
[00:26:23.160 --> 00:26:27.880]  互相關愛的一個肢體關係
[00:26:27.880 --> 00:26:30.880]  以致我們能夠互相提點
[00:26:30.880 --> 00:26:32.480]  互相勉勵
[00:26:32.480 --> 00:26:34.280]  當我這樣講的時候
[00:26:34.280 --> 00:26:35.280]  要很小心
[00:26:35.280 --> 00:26:39.360]  因為很多時候如果我們沒有經過合適的訓練的時候
[00:26:39.360 --> 00:26:42.760]  我們很多時候都會好心做壞事
[00:26:42.760 --> 00:26:46.920]  所以大家在關愛周圍弟兄姐妹的同時
[00:26:46.920 --> 00:26:49.720]  我們都需要有熟齡的智慧
[00:26:49.720 --> 00:26:51.400]  但是無論如何我想提出的是
[00:26:51.400 --> 00:26:55.000]  教會其實是一個有互助互愛互相承擔
[00:26:55.000 --> 00:26:56.920]  互相守望的群體
[00:26:56.920 --> 00:26:58.520]  教會如果失去了這個特質的時候
[00:26:58.520 --> 00:27:00.520]  其實跟一個俱樂部
[00:27:00.520 --> 00:27:03.040]  跟一個Club沒有什麼大分別
[00:27:03.040 --> 00:27:04.680]  第三是成功主義
[00:27:04.680 --> 00:27:06.640]  我相信成功每一個人都追求的
[00:27:06.640 --> 00:27:07.640]  由我們出生
[00:27:07.640 --> 00:27:09.120]  入幼稚園、小學、中學
[00:27:09.120 --> 00:27:10.240]  我們所講的都是追求
[00:27:10.240 --> 00:27:11.040]  考好的成績
[00:27:11.040 --> 00:27:12.040]  做好的報告
[00:27:12.040 --> 00:27:14.440]  做好的事業等等
[00:27:14.440 --> 00:27:17.840]  全部都是在講一個成功
[00:27:17.840 --> 00:27:19.680]  不過我們要很小心
[00:27:19.680 --> 00:27:21.120]  成功在基督徒來講
[00:27:21.120 --> 00:27:25.080]  不是單單講這個世界成功
[00:27:25.080 --> 00:27:27.720]  而是在講神眼中的成功
[00:27:27.720 --> 00:27:30.080]  也是一個真人真事
[00:27:30.080 --> 00:27:33.360]  有一次一間教會
[00:27:33.360 --> 00:27:35.440]  為了要做外展的工作
[00:27:35.440 --> 00:27:40.000]  決定我們崇拜完了之後
[00:27:40.000 --> 00:27:42.960]  我們就弄一個免費午餐
[00:27:42.960 --> 00:27:44.400]  讓人們可以留下來吃東西
[00:27:44.400 --> 00:27:45.200]  吃完東西之後
[00:27:45.200 --> 00:27:47.120]  就鼓勵人們留下來繼續查經
[00:27:47.120 --> 00:27:48.280]  我們就傳福音
[00:27:48.280 --> 00:27:52.720]  是一個很好的事工
[00:27:52.720 --> 00:27:55.920]  也表現到這班弟兄姐妹
[00:27:55.920 --> 00:27:57.920]  傳福音的熱誠
[00:27:57.920 --> 00:27:59.440]  但是過了一段時間之後
[00:27:59.440 --> 00:28:00.000]  過了一段時間之後
[00:28:00.000 --> 00:28:00.720]  他繼續說
[00:28:00.720 --> 00:28:02.880]  咦,不太行
[00:28:02.880 --> 00:28:04.160]  我們花了這麼多錢
[00:28:04.160 --> 00:28:05.200]  請人吃午餐
[00:28:05.200 --> 00:28:07.000]  沒錯,很多人留下來吃午餐
[00:28:07.000 --> 00:28:09.280]  不過跟著留下來查經的
[00:28:09.280 --> 00:28:10.680]  只有兩三個
[00:28:10.680 --> 00:28:11.960]  這筆帳
[00:28:11.960 --> 00:28:14.800]  無法盤算
[00:28:14.800 --> 00:28:17.160]  最後我們一班人開會
[00:28:17.160 --> 00:28:19.320]  決定是怎樣
[00:28:19.320 --> 00:28:20.880]  決定就是
[00:28:20.880 --> 00:28:21.720]  不是的
[00:28:21.720 --> 00:28:24.920]  來吃飯一定要留下來查經
[00:28:24.920 --> 00:28:25.760]  你不查經的時候
[00:28:25.760 --> 00:28:28.640]  你就不要留下來吃飯
[00:28:28.640 --> 00:28:30.520]  這個做法對不對
[00:28:30.520 --> 00:28:33.320]  從熟悉的角度來講很合理
[00:28:33.320 --> 00:28:35.440]  你講求回報率
[00:28:35.440 --> 00:28:36.320]  你花了這麼多錢
[00:28:36.320 --> 00:28:37.120]  花了這麼多時間
[00:28:37.120 --> 00:28:38.520]  花了這麼多資源
[00:28:38.520 --> 00:28:41.400]  你為了那兩個人來查經
[00:28:41.400 --> 00:28:42.280]  不合理
[00:28:42.280 --> 00:28:43.320]  報回報率
[00:28:43.320 --> 00:28:44.560]  算不來
[00:28:44.560 --> 00:28:46.760]  沒錯,你可能從熟悉的角度來看
[00:28:46.760 --> 00:28:51.880]  這個決定才是合乎回報率的原則
[00:28:51.880 --> 00:28:52.880]  但是
[00:28:52.880 --> 00:28:56.040]  如果從屬靈的角度來看
[00:28:56.040 --> 00:28:57.800]  我們所要問的就是這個決定
[00:28:57.800 --> 00:29:01.160]  是否真的帶來神的榮耀
[00:29:01.160 --> 00:29:04.080]  這個決定是否真的能幫助到一些
[00:29:04.080 --> 00:29:07.000]  對信仰有追求的人
[00:29:07.000 --> 00:29:07.600]  所以頂智妹
[00:29:07.600 --> 00:29:13.360]  當我們去運作教會的時候
[00:29:13.360 --> 00:29:14.800]  我們需要很小心
[00:29:14.800 --> 00:29:18.320]  不要將世界的成功主義帶入教會
[00:29:18.320 --> 00:29:20.040]  因為十字架的道理
[00:29:20.040 --> 00:29:21.960]  在那滅亡的人為主
[00:29:21.960 --> 00:29:23.800]  在那得救的人
[00:29:23.800 --> 00:29:26.040]  卻是神的大能
[00:29:26.040 --> 00:29:28.440]  大家都很明白
[00:29:28.440 --> 00:29:30.400]  有時候這是事實
[00:29:30.400 --> 00:29:34.920]  按著聖經的原則來做決定
[00:29:34.920 --> 00:29:36.000]  做事工
[00:29:36.000 --> 00:29:39.400]  在人眼中看來好像是傻乎乎的
[00:29:39.400 --> 00:29:40.560]  無能的、軟弱的
[00:29:40.560 --> 00:29:41.840]  但是保祿說得很清楚
[00:29:41.840 --> 00:29:42.880]  在第25節
[00:29:42.880 --> 00:29:46.480]  他說神的愚蠢總比人智慧
[00:29:46.480 --> 00:29:48.840]  神的軟弱總比人剛強
[00:29:48.840 --> 00:29:51.400]  你想做一個在人面前的天才
[00:29:51.400 --> 00:29:53.280]  但是他是在神面前的白痴
[00:29:53.280 --> 00:29:56.120]  抑或做一個在神面前的天才
[00:29:56.120 --> 00:30:00.240]  他是在人面前的白痴呢?
[00:30:00.240 --> 00:30:03.560]  我希望大家決定在神面前做一個天才
[00:30:03.560 --> 00:30:05.400]  縱然當我們這樣做的時候
[00:30:05.400 --> 00:30:07.360]  也許在世界的角度來看
[00:30:07.360 --> 00:30:10.240]  我們是一群傻子
[00:30:10.240 --> 00:30:12.640]  但是主耶穌說得很清楚
[00:30:12.640 --> 00:30:16.600]  天國就是屬於這一群人
[00:30:16.600 --> 00:30:18.480]  請我們徒弟來祈禱
[00:30:18.480 --> 00:30:20.640]  主耶穌基督我們多謝你
[00:30:20.640 --> 00:30:22.080]  因為屬世的智慧
[00:30:22.080 --> 00:30:23.960]  屬天的智慧
[00:30:23.960 --> 00:30:27.080]  當兩個智慧陳列在我們面前的時候
[00:30:27.080 --> 00:30:33.360]  讓我們有勇氣去挑選一個合適屬理的智慧
[00:30:33.360 --> 00:30:35.000]  以致我們在人生路上
[00:30:35.000 --> 00:30:39.280]  我們不是單單從世界的角度去理解周圍的事物
[00:30:39.280 --> 00:30:41.320]  主耶穌是從屬靈的角度
[00:30:41.320 --> 00:30:45.560]  去解讀一切發生在我們周圍的事情
[00:30:45.560 --> 00:30:46.560]  祂幫助我們
[00:30:46.560 --> 00:30:49.160]  讓我們成為一個在你面前的智者
[00:30:49.160 --> 00:30:53.040]  而不是世界的聰明人
[00:30:53.040 --> 00:30:54.520]  我們多謝你給我們一隻祈禱
[00:30:54.520 --> 00:30:55.520]  奉主名禱
